horizon,product_definition,product_definition_label,countries,country_windows,positive_expansion_2024_usd,net_contribution_2024_usd,total_positive_expansion_2024_usd,total_net_growth_2024_usd,median_positive_expansion_share,median_net_growth_share,median_product_count,pooled_positive_expansion_share,pooled_net_growth_share
5,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),60,1500,19020307837980.773,19020307837980.773,110454949046753.11,58781186732146.24,0.21625127208429568,0.2557217932421747,1789.5,0.17219968867062627,0.3235781530688109
5,persistent_new_product,Persistent new LT/HGL HS1992 products,60,1500,4403222608981.485,4321770134671.671,110454949046753.11,58781186732146.24,0.04792615381071863,0.042631960502104584,267.0,0.03986442116883056,0.07352301603513191
10,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),60,1204,28653147906547.85,28653147906547.85,151704140444692.97,99179411922971.62,0.23500408257599217,0.29022407750620005,1827.5,0.18887518707502896,0.2889021758749842
10,persistent_new_product,Persistent new LT/HGL HS1992 products,60,1204,6750659177279.985,6659806337747.95,151704140444692.97,99179411922971.62,0.06442988429145276,0.07603984064963823,353.5,0.04449884596090563,0.06714908072776571
