window,flow,countries,median_abs_slope_per_decade,p90_abs_slope_per_decade,max_abs_slope_per_decade,share_stable_slope_10yr_0p02,share_stable_endpoint_0p05,share_stable_sd_0p02,median_abs_endpoint_change,p90_abs_endpoint_change,max_abs_endpoint_change,median_within_country_sd,p90_within_country_sd,countries_with_slope_p_lt_0p05,countries_with_slope_q_lt_0p05,share_abs_slope_10yr_le_0p01,share_abs_slope_10yr_le_0p02,share_abs_slope_10yr_le_0p03,share_abs_slope_10yr_le_0p05,share_abs_endpoint_le_0p03,share_abs_endpoint_le_0p05,share_abs_endpoint_le_0p1
balanced_2001_2021,Exports,59,0.0068750898178278515,0.028498361864433087,0.04316863299585452,0.8135593220338984,0.8813559322033898,0.8135593220338984,0.014507087187567436,0.05119934358654084,0.09764091190507607,0.011198929782635491,0.023543791863747176,33,29,0.576271186440678,0.8135593220338984,0.9152542372881356,1.0,0.7627118644067796,0.8813559322033898,1.0
balanced_2001_2021,Imports,60,0.004619247053125851,0.019255539417663788,0.045389852110057305,0.9,0.95,0.9,0.011148815521916322,0.03642465875690783,0.09642859240759938,0.008089747681544555,0.01905506524519671,36,31,0.75,0.9,0.9833333333333333,1.0,0.8833333333333333,0.95,1.0
main_2000_2024,Exports,60,0.007021361342316179,0.02541491227217705,0.0369355539973494,0.85,0.85,0.7333333333333333,0.013563481033885327,0.06593998849210772,0.11872750056941439,0.011546832993176548,0.02476929267803682,34,32,0.5833333333333334,0.85,0.9333333333333333,1.0,0.8,0.85,0.9833333333333333
main_2000_2024,Imports,60,0.004561594277829742,0.019228928486311993,0.046317357423064934,0.9166666666666666,0.9,0.8833333333333333,0.01279950082136705,0.044753922281975535,0.12371865586810016,0.007929162844609818,0.020189486646239662,33,32,0.8,0.9166666666666666,0.9666666666666667,1.0,0.7833333333333333,0.9,0.9833333333333333
