flow,metric_name,observations,entity_count,slope_p05,slope_p95,turning_point_ppp_2011_usd,turning_point_inside_p05_p95,u_test_p_value,u_test_q_value,classification,support_p05_ppp_2011_usd,support_p95_ppp_2011_usd,slope_sign_pattern
Exports,Gini,1670,13,-0.0110603592736896,0.0028925848174689,30142.006643855933,True,0.4549454945494549,0.8414841484148415,insufficient_support,1970.35359298648,37509.660250894936,U-shaped signs
Exports,Theil,1670,13,-0.0127902140679733,0.0341056180045695,11663.226496464364,True,0.4547454745474547,0.8414841484148415,suggestive_only,1970.35359298648,37509.660250894936,U-shaped signs
Exports,HHI,1670,13,-0.0357874227864494,-0.0076557395043246,47181.30596113009,False,0.76997699769977,0.8414841484148415,outside_support,1970.35359298648,37509.660250894936,negative to negative
Imports,Gini,1634,13,-0.0080824843432042,-0.0090788374492346,-287797.753029154,False,0.7701770177017702,0.8414841484148415,outside_support,2076.299999999999,37809.98049095329,negative to negative
Imports,Theil,1634,13,0.0476768521207636,-0.0451378055100318,20431.90722827605,True,0.7313731373137313,0.8414841484148415,no_u_shape,2076.299999999999,37809.98049095329,inverted-U signs
Imports,HHI,1634,13,-0.0084833426643956,-0.0090294172877397,-553051.228923385,False,0.8414841484148415,0.8414841484148415,outside_support,2076.299999999999,37809.98049095329,negative to negative
