nobs,countries,years,r2_country_fe,r2_country_year_fe,incremental_r2_year_fe,rmse_country_fe,rmse_country_year_fe,window,flow
1239,59,21,0.8077363548301137,0.8158876953317784,0.008151340501664661,0.014513071295482056,0.014202086386186804,balanced_2001_2021,Exports
1260,60,21,0.8045133784871313,0.8088403454879527,0.004326967000821358,0.013709505080912274,0.013556930661875789,balanced_2001_2021,Imports
1491,60,25,0.7729153968701948,0.7815412838988804,0.008625887028685608,0.015876908484461712,0.015572444274669556,main_2000_2024,Exports
1492,60,25,0.7876897102858967,0.7939227367140342,0.0062330264281375,0.014129427061388167,0.013920475475100296,main_2000_2024,Imports
