rich_side_ct,product_channel,rows,countries,median_mismatch,mean_mismatch,median_prody,median_base_log_income,total_base_value_2024_usd,total_future_value_2024_usd,total_contraction_2024_usd,total_positive_expansion_2024_usd
0,continuing_product,219469,28,-0.8092387983121778,-0.8543866853042436,10.320645421743203,9.54797225534987,60697887551521.61,81035882212750.2,5853887363868.457,26191882025097.05
0,dying_product,24908,28,-0.9910065579335257,-1.067999384109001,10.2854473454661,9.324059773401236,426739070665.246,157016704795.74637,291486732253.8744,21764366384.374786
0,new_product,28653,28,-1.0982143630004817,-1.1818582415676178,10.325656305273526,9.254531572453146,66105125465.72362,240958487238.59372,6498156343.494487,181351518116.36456
1,continuing_product,559536,33,0.5323173663611129,0.6422503158117595,10.348722621253204,10.848790398509038,205849737735970.66,226893068507344.03,25943208388206.297,46986539159579.66
1,dying_product,27720,33,0.6455230887767014,0.7636736616723651,10.202177265292294,10.8091826468475,1408033279480.38,262178607284.53885,1174077438310.2378,28222766114.39675
1,new_product,19386,33,0.6632953328011784,0.7833755368714366,10.20738423476345,10.826288404778559,81018289576.5749,288410462901.3124,8720700831.730837,216112874156.46832
