model_label,sample,flow,dimension,metric,outcome,row_type,label,export_level_bin,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,low_middle_export_cutoff,middle_high_export_cutoff,horizon,bh_q_value,leveling_off_supported
growth_by_lagged_export_level_tercile,rd2_countries,Imports,product,top_5pct_share,product_top_5pct_share,slope,low,low,prior_export_growth_low,0.004744969596561739,0.019087432142613756,0.2485913013918897,0.8045863564909548,-0.03349175168976781,0.04298169088289129,1231,57,0.9081071951974241,ok,1237,6,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.9763519831575631,False
growth_by_lagged_export_level_tercile,rd2_countries,Imports,product,top_5pct_share,product_top_5pct_share,slope,middle,middle,prior_export_growth_middle,-0.009853219006042635,0.02523997206313025,-0.3903815337591401,0.6977355020122333,-0.06041495878548788,0.04070852077340261,1231,57,0.9081071951974241,ok,1237,6,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.9538662559154583,False
growth_by_lagged_export_level_tercile,rd2_countries,Imports,product,top_5pct_share,product_top_5pct_share,slope,high,high,prior_export_growth_high,0.0003511096820814283,0.02374295418795195,0.014787952640686738,0.9882539109330108,-0.04721174293296352,0.047913962297126376,1231,57,0.9081071951974241,ok,1237,6,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.9954981269631591,False
growth_by_lagged_export_level_tercile,rd2_countries,Imports,product,top_5pct_share,product_top_5pct_share,difference,high_minus_low,high_minus_low,high_minus_low_growth_slope,-0.004393859914480311,0.027233000720389706,-0.16134321588698708,0.8724037736295617,-0.0589481158539784,0.050160396025017776,1231,57,0.9081071951974241,ok,1237,6,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.9237216426665947,False
growth_by_lagged_export_level_tercile,rd2_countries,Imports,partner,top_1pct_share,partner_top_1pct_share,slope,low,low,prior_export_growth_low,-0.0232348604556087,0.03782193690928122,-0.6143223312793121,0.5414902677608393,-0.09900130453797606,0.052531583626758666,1237,57,0.8323087502345111,ok,1237,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.9323166150617614,False
growth_by_lagged_export_level_tercile,rd2_countries,Imports,partner,top_1pct_share,partner_top_1pct_share,slope,middle,middle,prior_export_growth_middle,0.0002940070191299049,0.051875636626386376,0.005667535634258784,0.9954981269631592,-0.10362538058700332,0.10421339462526313,1237,57,0.8323087502345111,ok,1237,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.9954981269631591,False
growth_by_lagged_export_level_tercile,rd2_countries,Imports,partner,top_1pct_share,partner_top_1pct_share,slope,high,high,prior_export_growth_high,-0.055391625301011355,0.08723543615087923,-0.6349670242401038,0.5280358621652406,-0.23014520312490627,0.11936195252288356,1237,57,0.8323087502345111,ok,1237,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.9323166150617614,False
growth_by_lagged_export_level_tercile,rd2_countries,Imports,partner,top_1pct_share,partner_top_1pct_share,difference,high_minus_low,high_minus_low,high_minus_low_growth_slope,-0.032156764845402655,0.09018774830096245,-0.3565535835099621,0.7227659894846007,-0.21282453458309358,0.1485110048922883,1237,57,0.8323087502345111,ok,1237,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.9232810007811081,False
growth_by_lagged_export_level_tercile,rd2_countries,Imports,partner,top_5pct_share,partner_top_5pct_share,slope,low,low,prior_export_growth_low,-0.015162086837782208,0.031672591042313826,-0.4787131819283753,0.6340065703463702,-0.07860991088516163,0.04828573720959721,1237,57,0.8407496471780554,ok,1237,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.9379823232521641,False
growth_by_lagged_export_level_tercile,rd2_countries,Imports,partner,top_5pct_share,partner_top_5pct_share,slope,middle,middle,prior_export_growth_middle,0.021414844513355083,0.03277051485397871,0.6534790377501525,0.5161218172950595,-0.04423238521974408,0.08706207424645425,1237,57,0.8407496471780554,ok,1237,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.9323166150617614,False
growth_by_lagged_export_level_tercile,rd2_countries,Imports,partner,top_5pct_share,partner_top_5pct_share,slope,high,high,prior_export_growth_high,0.007649541370047877,0.051728338131319454,0.14787912479671145,0.8829693392245769,-0.09597477189294229,0.11127385463303804,1237,57,0.8407496471780554,ok,1237,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.9933405066276491,False
growth_by_lagged_export_level_tercile,rd2_countries,Imports,partner,top_5pct_share,partner_top_5pct_share,difference,high_minus_low,high_minus_low,high_minus_low_growth_slope,0.022811628207830087,0.05351907163686552,0.4262336305571631,0.6715715706465586,-0.08439995533007515,0.13002321174573533,1237,57,0.8407496471780554,ok,1237,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.9232810007811081,False
growth_by_lagged_export_level_tercile,rd2_countries,Exports,product,gini,product_gini,slope,low,low,prior_export_growth_low,-0.008039785942725013,0.013435021318255318,-0.598420036133524,0.551972558289439,-0.03495336770604328,0.018873795820593252,1225,57,0.9436936833387319,ok,1231,6,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.9323166150617614,False
growth_by_lagged_export_level_tercile,rd2_countries,Exports,product,gini,product_gini,slope,middle,middle,prior_export_growth_middle,0.017132263192524935,0.01154139724040012,1.4844184664707885,0.14330531375193042,-0.005987933711843044,0.040252460096892914,1225,57,0.9436936833387319,ok,1231,6,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.5095226834488428,False
growth_by_lagged_export_level_tercile,rd2_countries,Exports,product,gini,product_gini,slope,high,high,prior_export_growth_high,-0.0028097360452041253,0.010649681707187234,-0.26383286585061944,0.7928771808782891,-0.024143612083810908,0.018524139993402657,1225,57,0.9436936833387319,ok,1231,6,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.9763519831575631,False
growth_by_lagged_export_level_tercile,rd2_countries,Exports,product,gini,product_gini,difference,high_minus_low,high_minus_low,high_minus_low_growth_slope,0.005230049897520888,0.01799878555611209,0.2905779326730658,0.7724475552153766,-0.030825850218293784,0.04128595001333556,1225,57,0.9436936833387319,ok,1231,6,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.9232810007811081,False
growth_by_lagged_export_level_tercile,rd2_countries,Exports,partner,gini,partner_gini,slope,low,low,prior_export_growth_low,0.023213935788751472,0.013104650494984618,1.771427311063035,0.08193093445188133,-0.0030378336890716333,0.04946570526657458,1231,57,0.8100022276554093,ok,1231,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.5095226834488428,False
growth_by_lagged_export_level_tercile,rd2_countries,Exports,partner,gini,partner_gini,slope,middle,middle,prior_export_growth_middle,0.017353298527178776,0.018234765123172503,0.9516601069419002,0.34535892777413635,-0.019175325466187408,0.05388192252054496,1231,57,0.8100022276554093,ok,1231,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.8476991863546982,False
growth_by_lagged_export_level_tercile,rd2_countries,Exports,partner,gini,partner_gini,slope,high,high,prior_export_growth_high,0.004202537170050272,0.014182235601180853,0.2963240273416665,0.7680788275447021,-0.02420789467052914,0.03261296901062968,1231,57,0.8100022276554093,ok,1231,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.9763519831575631,False
growth_by_lagged_export_level_tercile,rd2_countries,Exports,partner,gini,partner_gini,difference,high_minus_low,high_minus_low,high_minus_low_growth_slope,-0.0190113986187012,0.017660814625590573,-1.0764734822114959,0.2863313236109191,-0.054390261604708265,0.016367464367305865,1231,57,0.8100022276554093,ok,1231,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.6267001351969449,False
growth_by_lagged_export_level_tercile,rd2_countries,Exports,product,top_1pct_share,product_top_1pct_share,slope,low,low,prior_export_growth_low,0.041704031253181006,0.030529088578082703,1.3660424596861684,0.177386690279128,-0.01945308209574774,0.10286114460210975,1225,57,0.9071787599683565,ok,1231,6,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.5473646442898807,False
growth_by_lagged_export_level_tercile,rd2_countries,Exports,product,top_1pct_share,product_top_1pct_share,slope,middle,middle,prior_export_growth_middle,0.09866498432209314,0.0625653631298502,1.5769905165789673,0.12043059125735149,-0.026668498689126102,0.22399846733331238,1225,57,0.9071787599683565,ok,1231,6,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.5095226834488428,False
growth_by_lagged_export_level_tercile,rd2_countries,Exports,product,top_1pct_share,product_top_1pct_share,slope,high,high,prior_export_growth_high,0.02482734783917334,0.049771873513805104,0.4988228508675093,0.6198580356361789,-0.07487769583702694,0.12453239151537362,1225,57,0.9071787599683565,ok,1231,6,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.9363677717402885,False
growth_by_lagged_export_level_tercile,rd2_countries,Exports,product,top_1pct_share,product_top_1pct_share,difference,high_minus_low,high_minus_low,high_minus_low_growth_slope,-0.016876683414007665,0.047327177241474484,-0.3565960278572885,0.7227343848534657,-0.11168441197225965,0.07793104514424432,1225,57,0.9071787599683565,ok,1231,6,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.9232810007811081,False
growth_by_lagged_export_level_tercile,rd2_countries,Exports,product,top_5pct_share,product_top_5pct_share,slope,low,low,prior_export_growth_low,-0.005963821185283935,0.026022614763679144,-0.22917839884437327,0.8195652153897869,-0.05809338269077778,0.04616574032020991,1225,57,0.9454099653819248,ok,1231,6,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.9834782584677443,False
growth_by_lagged_export_level_tercile,rd2_countries,Exports,product,top_5pct_share,product_top_5pct_share,slope,middle,middle,prior_export_growth_middle,0.050967694853719325,0.02996588496669854,1.7008573219299332,0.0945171883806545,-0.009061186087882492,0.11099657579532114,1225,57,0.9454099653819248,ok,1231,6,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.5095226834488428,False
growth_by_lagged_export_level_tercile,rd2_countries,Exports,product,top_5pct_share,product_top_5pct_share,slope,high,high,prior_export_growth_high,0.003170340951187095,0.027030917299784255,0.1172857330747114,0.9070532758231042,-0.05097909325155009,0.05731977515392428,1225,57,0.9454099653819248,ok,1231,6,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.9954981269631591,False
growth_by_lagged_export_level_tercile,rd2_countries,Exports,product,top_5pct_share,product_top_5pct_share,difference,high_minus_low,high_minus_low,high_minus_low_growth_slope,0.00913416213647103,0.0362927859745336,0.25167982813114453,0.8022098925376757,-0.06356902452814563,0.08183734880108769,1225,57,0.9454099653819248,ok,1231,6,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.9232810007811081,False
growth_by_lagged_export_level_tercile,rd2_countries,Exports,partner,top_1pct_share,partner_top_1pct_share,slope,low,low,prior_export_growth_low,0.10671511403976154,0.07148586608927122,1.4928141726155517,0.14109875166623445,-0.03648828373237285,0.24991851181189595,1231,57,0.8190534101165143,ok,1231,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.5095226834488428,False
growth_by_lagged_export_level_tercile,rd2_countries,Exports,partner,top_1pct_share,partner_top_1pct_share,slope,middle,middle,prior_export_growth_middle,0.03596975292991744,0.04573776044754131,0.7864345035252166,0.43492838489298025,-0.05565399118750697,0.12759349704734185,1231,57,0.8190534101165143,ok,1231,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.8861684908991376,False
growth_by_lagged_export_level_tercile,rd2_countries,Exports,partner,top_1pct_share,partner_top_1pct_share,slope,high,high,prior_export_growth_high,0.021587849414391347,0.06978618986956593,0.3093427145792051,0.7582089322219308,-0.11821068774557197,0.16138638657435467,1231,57,0.8190534101165143,ok,1231,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.9763519831575631,False
growth_by_lagged_export_level_tercile,rd2_countries,Exports,partner,top_1pct_share,partner_top_1pct_share,difference,high_minus_low,high_minus_low,high_minus_low_growth_slope,-0.0851272646253702,0.0857782766172868,-0.9924105260960044,0.325266192201603,-0.2569618011377154,0.08670727188697501,1231,57,0.8190534101165143,ok,1231,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.6267001351969449,False
growth_by_lagged_export_level_tercile,rd2_countries,Exports,partner,top_5pct_share,partner_top_5pct_share,slope,low,low,prior_export_growth_low,0.07919541682709488,0.04069907979225806,1.945877332640817,0.056694561048091556,-0.0023346370323950455,0.16072547068658483,1231,57,0.8105965457548775,ok,1231,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.5095226834488428,False
growth_by_lagged_export_level_tercile,rd2_countries,Exports,partner,top_5pct_share,partner_top_5pct_share,slope,middle,middle,prior_export_growth_middle,0.039009221695602385,0.04422474432183417,0.8820677720988693,0.3815107417407144,-0.04958358691053203,0.1276020303017368,1231,57,0.8105965457548775,ok,1231,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.8861684908991376,False
growth_by_lagged_export_level_tercile,rd2_countries,Exports,partner,top_5pct_share,partner_top_5pct_share,slope,high,high,prior_export_growth_high,0.010635337834593118,0.041982106891226584,0.2533302547713652,0.8009407416293577,-0.07346492815293582,0.09473560382212207,1231,57,0.8105965457548775,ok,1231,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",26333739048.965607,171579326936.8483,1,0.9763519831575631,False
