period,country,iso3,reporter_code,start_year,end_year,start_source_file,end_source_file,start_active_nonenergy_products,start_total_nonenergy_imports,start_calculated_ex_energy_gini,start_top5_share,start_top5_gini_contribution,start_rank6_50_share,start_rank6_50_gini_contribution,start_rank51_200_share,start_rank51_200_gini_contribution,start_rank201_plus_share,start_rank201_plus_gini_contribution,end_active_nonenergy_products,end_total_nonenergy_imports,end_calculated_ex_energy_gini,end_top5_share,end_top5_gini_contribution,end_rank6_50_share,end_rank6_50_gini_contribution,end_rank51_200_share,end_rank51_200_gini_contribution,end_rank201_plus_share,end_rank201_plus_gini_contribution,delta_calculated_ex_energy_gini,delta_active_nonenergy_products,delta_top5_share,delta_top5_gini_contribution,delta_rank6_50_share,delta_rank6_50_gini_contribution,delta_rank51_200_share,delta_rank51_200_gini_contribution,delta_rank201_plus_share,delta_rank201_plus_gini_contribution,gini_change_direction,main_driver_bucket,main_driver_group,start_panel_ex_energy_gini,end_panel_ex_energy_gini,delta_panel_ex_energy_gini,calculated_vs_panel_delta_gap
full_available,Switzerland,CHE,757,1988,2025,COMTRADE-FINAL-CA7571988H0[2002-09-01].parquet,COMTRADE-FINAL-CA7572025H6[2026-05-14].parquet,4607,53425998743.0,0.7777441227183758,0.12239398670776852,0.12230266266766718,0.18966732677744605,0.18785922783103445,0.19172869125524958,0.18240197147196935,0.4962099952595359,0.2851802607477049,5235,491849192532.44604,0.9359901020224901,0.5891931445842254,0.5889781625373973,0.1318714607080732,0.13083797038440748,0.09867453036799771,0.09453784143278007,0.1802608643397036,0.1216361276679054,0.15824597930411433,628,0.4667991578764569,0.4666754998697301,-0.05779586606937284,-0.05702125744662698,-0.09305416088725187,-0.08786413003918928,-0.31594913091983234,-0.16354413307979954,increase,top5,top-5 superstar concentration,0.7795366249914797,0.9354258968464212,0.1558892718549415,0.0023567074491728235
full_available,Hungary,HUN,348,1992,2025,COMTRADE-FINAL-CA3481992H0[2002-09-01].parquet,COMTRADE-FINAL-CA3482025H6[2026-03-02].parquet,4091,9036986000.0,0.7514140189759686,0.0650660518894242,0.06499384981646936,0.18850776132661928,0.18646420982380707,0.21479207780116072,0.20281111268935115,0.5316341089827958,0.29714484664634105,5135,123931209839.032,0.8817355470959198,0.10292002301404812,0.10283331574037795,0.2950610272504996,0.29253192636696046,0.24407572391315618,0.23359910824483548,0.35794322582229615,0.252771196743746,0.13032152811995124,1044,0.03785397112462392,0.03783946592390859,0.10655326592388031,0.10606771654315339,0.029283646111995465,0.030787995555484338,-0.1736908831604997,-0.04437364990259507,increase,rank6_50,upper-tier concentration (ranks 6-50),0.7508002946551389,0.8804625176757932,0.12966222302065433,0.000659305099296903
full_available,Kyrgyzstan,KGZ,417,1995,2025,COMTRADE-FINAL-CA4171995H0[2002-09-01].parquet,COMTRADE-FINAL-CA4172025H6[2026-03-11].parquet,474,334225011.0,0.7666006271195712,0.2242832868064443,0.22237702665954764,0.42388065027245975,0.38605390183862576,0.29111885346007216,0.16610245441508398,0.060717209461023845,-0.007932755793686137,4059,10661818258.0,0.8924284680680679,0.12266746143591975,0.12252946817416992,0.32970668641461287,0.32628664914454353,0.2571281283042857,0.24325053145229503,0.2904977238451817,0.2003618192970594,0.12582784094849664,3585,-0.10161582537052455,-0.09984755848537773,-0.09417396385784688,-0.05976725269408223,-0.03399072515578644,0.07714807703721105,0.22978051438415784,0.20829457509074553,increase,rank201_plus,tail compression (rank 201+),0.7666006271195711,0.8916578411126788,0.12505721399310765,0.0007706269553889866
full_available,"China, Hong Kong SAR",HKG,344,1993,2025,COMTRADE-FINAL-CA3441993H0[2006-01-09].parquet,COMTRADE-FINAL-CA3442025H6[2026-05-05].parquet,4181,136208842372.0,0.8514589758326643,0.10197711987056252,0.10187061901292103,0.26690952050462086,0.26410976037960304,0.2461726343024323,0.23306647425536903,0.3849407253223844,0.25241212218477116,4517,817808224861.7902,0.9733627404030604,0.4893792619657158,0.4889575808003987,0.350219420464328,0.3476534320242648,0.08995460497093388,0.08586173782519896,0.07044671259902213,0.050889989753198125,0.12190376457039609,336,0.3874021420951533,0.38708696178747765,0.08330989995970717,0.08354367164466175,-0.15621802933149842,-0.14720473643017007,-0.31449401272336225,-0.20152213243157302,increase,top5,top-5 superstar concentration,0.8509541321780247,0.9727774458970496,0.12182331371902488,8.045085137120545e-05
full_available,Slovenia,SVN,705,1994,2025,COMTRADE-FINAL-CA7051994H0[2002-09-01].parquet,COMTRADE-FINAL-CA7052025H6[2026-05-08].parquet,4599,6740472829.0,0.798201710082039,0.11430238865220711,0.11419212543961443,0.18522004192771446,0.1833833452611516,0.21204808405288805,0.20157838319133736,0.48842948536719044,0.2990478561899356,5123,73215238422.398,0.910540379209928,0.43998397297476044,0.439654081874037,0.17127329434191696,0.1699213813053876,0.13229747362599317,0.1264883876585986,0.2564452590573295,0.17447652837190492,0.11233866912788903,524,0.32568158432255334,0.32546195643442255,-0.013946747585797503,-0.013461963955764017,-0.07975061042689488,-0.07508999553273876,-0.23198422630986093,-0.12457132781803071,increase,top5,top-5 superstar concentration,0.7964656085769062,0.9085985090593716,0.11213290048246538,0.00020576864542365403
full_available,Slovakia,SVK,703,1994,2025,COMTRADE-FINAL-CA7031994H0[2002-09-01].parquet,COMTRADE-FINAL-CA7032025H6[2026-04-28].parquet,4731,5237948627.0,0.7801046898947074,0.05873813355367222,0.058681634088076064,0.17629823424383123,0.1745618285560544,0.219911316629261,0.20931845194947235,0.5450523155732355,0.3375427753011045,5168,120130710914.215,0.8875638224709175,0.152860158499529,0.15273813119847063,0.2794775825064166,0.27721081017010674,0.22992699240615735,0.22016571197021073,0.33773526658789704,0.23744916913212938,0.10745913257621009,437,0.09412202494585678,0.09405649711039457,0.10317934826258535,0.10264898161405234,0.010015675776896354,0.01084726002073838,-0.20731704898533848,-0.10009360616897511,increase,rank6_50,upper-tier concentration (ranks 6-50),0.7800053185528508,0.887563822470917,0.1075585039180662,-9.937134185611374e-05
full_available,Singapore,SGP,702,1989,2024,COMTRADE-FINAL-CA7021989H0[2002-09-01].parquet,COMTRADE-FINAL-CA7022024H6[2025-10-14].parquet,4520,42791179106.0,0.8412330446100169,0.13491295062702588,0.13478841988735646,0.28197562388058023,0.2792965383781448,0.20175066556624738,0.19184894691985288,0.3813607599261465,0.23529913942466268,5060,364894154075.176,0.9317840212350632,0.32574767093267704,0.3255201824187038,0.3170013006967032,0.3145835333348067,0.16047187055008932,0.15372439391290368,0.19677915782053038,0.13795591156864914,0.0905509766250463,540,0.19083472030565116,0.19073176253134733,0.03502567681612295,0.03528699495666193,-0.041278795016158054,-0.0381245530069492,-0.1845816021056161,-0.09734322785601354,increase,top5,top-5 superstar concentration,0.8403324754298314,0.9307518116790816,0.09041933624925025,0.00013164037579604937
full_available,Poland,POL,616,1994,2024,COMTRADE-FINAL-CA6161994H0[2002-09-01].parquet,COMTRADE-FINAL-CA6162024H6[2025-03-24].parquet,4144,19575713000.0,0.7489980035894359,0.05461757638150906,0.0545625879013161,0.17590158785021012,0.1738998528328086,0.22693027835052548,0.21443427450915528,0.5425505574177554,0.306101288346156,5310,339100881032.0,0.835931567165925,0.0641261265521394,0.0640771005048105,0.214526081697603,0.2125492839798529,0.2544714264332947,0.2438457822615877,0.4668763653169629,0.3154594004196738,0.08693356357648907,1166,0.009508550170630334,0.009514512603494396,0.03862449384739289,0.038649431147044305,0.027541148082769196,0.029411507752432425,-0.07567419210079246,0.009358112073517777,increase,rank6_50,upper-tier concentration (ranks 6-50),0.7489980035894359,0.8344648220714237,0.08546681848198778,0.0014667450945012872
full_available,Czech Republic,CZE,203,1993,2025,COMTRADE-FINAL-CA2031993H0[2002-09-01].parquet,COMTRADE-FINAL-CA2032025H6[2026-04-29].parquet,4667,11018898320.0,0.7837523645950146,0.06411849810045256,0.06405756555261863,0.17708342688473047,0.17531508401463497,0.22854505785111917,0.21736557211710802,0.5302530171636978,0.3270141429106529,5308,234328991856.0,0.8703393239565975,0.11887879495985945,0.11878484103458681,0.2795325991597859,0.27732176730558994,0.22326448364592494,0.21406720594263157,0.37832412223442957,0.2601655096737891,0.0865869593615829,641,0.05476029685940689,0.05472727548196818,0.10244917227505543,0.10200668329095497,-0.005280574205194233,-0.003298366174476458,-0.1519288949292682,-0.0668486332368638,increase,rank6_50,upper-tier concentration (ranks 6-50),0.7840322473396151,0.8688636936057443,0.08483144626612926,0.0017555130954536313
full_available,China,CHN,156,1992,2024,COMTRADE-FINAL-CA1561992H0[2005-12-30].parquet,COMTRADE-FINAL-CA1562024H6[2025-07-04].parquet,4581,77215644525.0,0.8451099864804792,0.06969951053452014,0.0696278603854504,0.24554708013686685,0.24305060490716396,0.26764893754540603,0.2545960841914642,0.4171044717832069,0.2778354369964006,5047,2078920685843.0,0.9298834872257575,0.2896989510173563,0.28945895606810235,0.30264613267815427,0.3003905998597507,0.1939189267629642,0.18564240915686156,0.21373598954152526,0.154391522141043,0.08477350074527834,466,0.21999944048283618,0.21983109568265197,0.057099052541287415,0.05733999495258674,-0.07373001078244182,-0.06895367503460262,-0.20336848224168166,-0.1234439148553576,increase,top5,top-5 superstar concentration,0.8511258974750915,0.9298834872257572,0.07875758975066571,0.006015910994612628
