model_label,sample,exposure,exposure_label,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,bh_q_value
two_way_country_year_cluster,rd2_countries,gdp_pc,Real GDP per capita,Imports,partner,gini,partner_gini,log_gdp_pc_level_lag,0.012600715845214577,0.010142480667295195,1.2423702108544366,0.22213227270662828,-0.007969188351187002,0.03317062004161615,1892,37,0.7872071988052013,ok,1892,0,,"reporter_code,year",two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=36",
two_way_country_year_cluster,rd2_countries,gdp_pc,Real GDP per capita,Imports,partner,gini,partner_gini,log_population_lag,0.02577879360151325,0.009994864877885564,2.5792038128050025,0.01413465129564313,0.005508268102063337,0.04604931910096316,1892,37,0.7872071988052013,ok,1892,0,,"reporter_code,year",two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=36",
contemporaneous_growth,rd2_countries,gdp_pc,Real GDP per capita,Imports,partner,gini,partner_gini,gdp_pc_growth_current,0.031069124097535556,0.016544712344054205,1.8778884426298954,0.06534150834657082,-0.0020367688347168143,0.06417501702978792,1892,60,0.7878037029266989,ok,1892,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",0.19602452503971246
contemporaneous_growth,rd2_countries,gdp_pc,Real GDP per capita,Imports,partner,gini,partner_gini,log_gdp_pc_level_lag,0.013394424241571029,0.010179545366937649,1.315817530031847,0.1933252569818108,-0.006974798988711041,0.0337636474718531,1892,60,0.7878037029266989,ok,1892,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",
contemporaneous_growth,rd2_countries,gdp_pc,Real GDP per capita,Imports,partner,gini,partner_gini,log_population_lag,0.025371184913359435,0.009947556083644764,2.550494282216048,0.013372461290438765,0.005466171166712434,0.045276198660006435,1892,60,0.7878037029266989,ok,1892,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",
future_growth_placebo,rd2_countries,gdp_pc,Real GDP per capita,Imports,partner,gini,partner_gini,gdp_pc_growth_future,0.028969764640984018,0.015884472717616796,1.82377880311097,0.07325154620622408,-0.0028149918503363736,0.06075452113230441,1836,60,0.7911769501687055,ok,1892,56,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",0.1758037108949378
future_growth_placebo,rd2_countries,gdp_pc,Real GDP per capita,Imports,partner,gini,partner_gini,log_gdp_pc_level_lag,0.013291671508786879,0.01022121491086547,1.3004003559946107,0.1985206050705457,-0.007160932286301807,0.03374427530387557,1836,60,0.7911769501687055,ok,1892,56,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",
future_growth_placebo,rd2_countries,gdp_pc,Real GDP per capita,Imports,partner,gini,partner_gini,log_population_lag,0.025874729074977232,0.01053077384115544,2.45705866114567,0.016967500895794133,0.004802699291132365,0.0469467588588221,1836,60,0.7911769501687055,ok,1892,56,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",
region_year_fe,rd2_countries,gdp_pc,Real GDP per capita,Imports,partner,gini,partner_gini,gdp_pc_growth_lag,0.017721500513249642,0.02375116660773229,0.7461317924265807,0.45855048673394705,-0.02980447409302706,0.06524747511952635,1892,60,0.8232241590264373,ok,1892,0,"reporter_code_442,region_year_Latin_America_Caribbean_1989,region_year_Middle_East_North_Africa_Afghanistan_Pakistan_1991,region_year_North_America_1989,region_year_South_Asia_1989,region_year_Sub_Saharan_Africa_1995","reporter_code,region_year",clustered by reporter_code,reporter_code,"Student t, df=59",0.624690333125817
region_year_fe,rd2_countries,gdp_pc,Real GDP per capita,Imports,partner,gini,partner_gini,log_gdp_pc_level_lag,0.012754153066171628,0.011164561350081398,1.1423783403795476,0.25791163220534363,-0.009586082593724156,0.03509438872606741,1892,60,0.8232241590264373,ok,1892,0,"reporter_code_442,region_year_Latin_America_Caribbean_1989,region_year_Middle_East_North_Africa_Afghanistan_Pakistan_1991,region_year_North_America_1989,region_year_South_Asia_1989,region_year_Sub_Saharan_Africa_1995","reporter_code,region_year",clustered by reporter_code,reporter_code,"Student t, df=59",
region_year_fe,rd2_countries,gdp_pc,Real GDP per capita,Imports,partner,gini,partner_gini,log_population_lag,0.01784693764737766,0.018198625187485336,0.9806750489949361,0.3307573440871894,-0.018568427240341225,0.05426230253509654,1892,60,0.8232241590264373,ok,1892,0,"reporter_code_442,region_year_Latin_America_Caribbean_1989,region_year_Middle_East_North_Africa_Afghanistan_Pakistan_1991,region_year_North_America_1989,region_year_South_Asia_1989,region_year_Sub_Saharan_Africa_1995","reporter_code,region_year",clustered by reporter_code,reporter_code,"Student t, df=59",
two_way_country_year_cluster,rd2_countries,gdp_pc,Real GDP per capita,Imports,product,top_1pct_share,product_top_1pct_share,gdp_pc_growth_lag,0.012635359706093273,0.07316321700112965,0.17270098587789245,0.8638537791542855,-0.13574652178632865,0.1610172411985152,1883,37,0.7847087735491407,ok,1892,9,,"reporter_code,year",two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=36",0.8638537791542854
two_way_country_year_cluster,rd2_countries,gdp_pc,Real GDP per capita,Imports,product,top_1pct_share,product_top_1pct_share,log_gdp_pc_level_lag,-0.017270598889216393,0.039517381728111645,-0.4370380357697265,0.6646942265782834,-0.09741556370645407,0.06287436592802129,1883,37,0.7847087735491407,ok,1892,9,,"reporter_code,year",two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=36",
two_way_country_year_cluster,rd2_countries,gdp_pc,Real GDP per capita,Imports,product,top_1pct_share,product_top_1pct_share,log_population_lag,0.0500075084134628,0.036960524359247925,1.352997807265967,0.18449270440243315,-0.024951909312619716,0.12496692613954531,1883,37,0.7847087735491407,ok,1892,9,,"reporter_code,year",two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=36",
contemporaneous_growth,rd2_countries,gdp_pc,Real GDP per capita,Imports,product,top_1pct_share,product_top_1pct_share,gdp_pc_growth_current,0.023363507626058308,0.04865011090899461,0.48023544426779047,0.6328357795274737,-0.07398513944632151,0.12071215469843813,1883,60,0.7847487730001881,ok,1892,9,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",0.7504218657194447
contemporaneous_growth,rd2_countries,gdp_pc,Real GDP per capita,Imports,product,top_1pct_share,product_top_1pct_share,log_gdp_pc_level_lag,-0.016688921716068422,0.03889789270150959,-0.4290443660826064,0.6694535408242553,-0.09452342522916246,0.06114558179702562,1883,60,0.7847487730001881,ok,1892,9,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",
contemporaneous_growth,rd2_countries,gdp_pc,Real GDP per capita,Imports,product,top_1pct_share,product_top_1pct_share,log_population_lag,0.04965460030366864,0.037499509430786365,1.3241399969596184,0.19056361794109644,-0.02538174474791227,0.12469094535524955,1883,60,0.7847487730001881,ok,1892,9,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",
future_growth_placebo,rd2_countries,gdp_pc,Real GDP per capita,Imports,product,top_1pct_share,product_top_1pct_share,gdp_pc_growth_future,0.15155785936160635,0.06627440739467855,2.286823305096434,0.025810646856046754,0.018943076479315674,0.28417264224389704,1827,60,0.7915982503964848,ok,1892,65,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",0.15622675269523992
future_growth_placebo,rd2_countries,gdp_pc,Real GDP per capita,Imports,product,top_1pct_share,product_top_1pct_share,log_gdp_pc_level_lag,-0.016736829483912558,0.04046310268585854,-0.4136318861618567,0.680643413301642,-0.09770331094142645,0.06422965197360134,1827,60,0.7915982503964848,ok,1892,65,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",
future_growth_placebo,rd2_countries,gdp_pc,Real GDP per capita,Imports,product,top_1pct_share,product_top_1pct_share,log_population_lag,0.05269586662270953,0.0390047357465467,1.3510120146724742,0.1818500158743991,-0.025352429329684636,0.13074416257510368,1827,60,0.7915982503964848,ok,1892,65,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",
region_year_fe,rd2_countries,gdp_pc,Real GDP per capita,Imports,product,top_1pct_share,product_top_1pct_share,gdp_pc_growth_lag,0.044020157638831096,0.07030882185931775,0.6260972161773932,0.5336659800548476,-0.09666746994049505,0.18470778521815726,1883,60,0.8120548134486971,ok,1892,9,"reporter_code_442,region_year_Latin_America_Caribbean_1989,region_year_Middle_East_North_Africa_Afghanistan_Pakistan_1992,region_year_North_America_1990,region_year_South_Asia_2021,region_year_Sub_Saharan_Africa_1995","reporter_code,region_year",clustered by reporter_code,reporter_code,"Student t, df=59",0.624690333125817
region_year_fe,rd2_countries,gdp_pc,Real GDP per capita,Imports,product,top_1pct_share,product_top_1pct_share,log_gdp_pc_level_lag,-0.024538913562167752,0.03927276535739823,-0.6248328412540752,0.534489874717293,-0.10312353552706663,0.054045708402731124,1883,60,0.8120548134486971,ok,1892,9,"reporter_code_442,region_year_Latin_America_Caribbean_1989,region_year_Middle_East_North_Africa_Afghanistan_Pakistan_1992,region_year_North_America_1990,region_year_South_Asia_2021,region_year_Sub_Saharan_Africa_1995","reporter_code,region_year",clustered by reporter_code,reporter_code,"Student t, df=59",
region_year_fe,rd2_countries,gdp_pc,Real GDP per capita,Imports,product,top_1pct_share,product_top_1pct_share,log_population_lag,0.06577060138277846,0.07335465283532083,0.8966111738055886,0.3735703779181141,-0.08101171990196795,0.21255292266752487,1883,60,0.8120548134486971,ok,1892,9,"reporter_code_442,region_year_Latin_America_Caribbean_1989,region_year_Middle_East_North_Africa_Afghanistan_Pakistan_1992,region_year_North_America_1990,region_year_South_Asia_2021,region_year_Sub_Saharan_Africa_1995","reporter_code,region_year",clustered by reporter_code,reporter_code,"Student t, df=59",
two_way_country_year_cluster,rd2_countries,gdp_pc,Real GDP per capita,Imports,product,top_5pct_share,product_top_5pct_share,gdp_pc_growth_lag,0.014415608334479649,0.047262827392465845,0.3050094361637289,0.7621154737741949,-0.08143784836955482,0.11026906503851412,1883,37,0.8630210880792415,ok,1892,9,,"reporter_code,year",two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=36",0.8313986986627581
two_way_country_year_cluster,rd2_countries,gdp_pc,Real GDP per capita,Imports,product,top_5pct_share,product_top_5pct_share,log_gdp_pc_level_lag,-0.02330981172208572,0.02656090756750918,-0.8775984654454961,0.38598112617367963,-0.07717782902034734,0.030558205576175893,1883,37,0.8630210880792415,ok,1892,9,,"reporter_code,year",two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=36",
two_way_country_year_cluster,rd2_countries,gdp_pc,Real GDP per capita,Imports,product,top_5pct_share,product_top_5pct_share,log_population_lag,-0.0009095727434700884,0.024756432666418377,-0.03674086471690674,0.9708946064196358,-0.05111794531990965,0.049298799832969475,1883,37,0.8630210880792415,ok,1892,9,,"reporter_code,year",two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=36",
contemporaneous_growth,rd2_countries,gdp_pc,Real GDP per capita,Imports,product,top_5pct_share,product_top_5pct_share,gdp_pc_growth_current,0.013592699254452594,0.033669601504498534,0.40370834958163965,0.6878867102428243,-0.05378001773812274,0.08096541624702794,1883,60,0.8630117414572525,ok,1892,9,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",0.7504218657194447
contemporaneous_growth,rd2_countries,gdp_pc,Real GDP per capita,Imports,product,top_5pct_share,product_top_5pct_share,log_gdp_pc_level_lag,-0.022859375492236274,0.02622830388516497,-0.8715537074879554,0.3869847036782993,-0.07534209034154593,0.029623339357073383,1883,60,0.8630117414572525,ok,1892,9,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",
contemporaneous_growth,rd2_countries,gdp_pc,Real GDP per capita,Imports,product,top_5pct_share,product_top_5pct_share,log_population_lag,-0.001230376394310978,0.024943851389465324,-0.049325838865068354,0.9608262329677562,-0.051142907736351696,0.04868215494772974,1883,60,0.8630117414572525,ok,1892,9,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",
future_growth_placebo,rd2_countries,gdp_pc,Real GDP per capita,Imports,product,top_5pct_share,product_top_5pct_share,gdp_pc_growth_future,0.0842684537429786,0.03690830398145883,2.2831841253207275,0.02603779211587332,0.010415108063002693,0.1581217994229545,1827,60,0.8669998037503323,ok,1892,65,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",0.15622675269523992
future_growth_placebo,rd2_countries,gdp_pc,Real GDP per capita,Imports,product,top_5pct_share,product_top_5pct_share,log_gdp_pc_level_lag,-0.023404471352688094,0.027322377243846934,-0.8566045020097524,0.3951293917515313,-0.07807642193600986,0.03126747923063368,1827,60,0.8669998037503323,ok,1892,65,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",
future_growth_placebo,rd2_countries,gdp_pc,Real GDP per capita,Imports,product,top_5pct_share,product_top_5pct_share,log_population_lag,0.001591833991848729,0.025759239914010777,0.0617966212187383,0.9509336642076214,-0.049952286019153656,0.053135954002851114,1827,60,0.8669998037503323,ok,1892,65,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",
region_year_fe,rd2_countries,gdp_pc,Real GDP per capita,Imports,product,top_5pct_share,product_top_5pct_share,gdp_pc_growth_lag,0.032299154059425336,0.047280772230713225,0.6831350787126961,0.49719539774725563,-0.06230945264667592,0.1269077607655266,1883,60,0.8808741328338425,ok,1892,9,"reporter_code_442,region_year_Latin_America_Caribbean_1989,region_year_Middle_East_North_Africa_Afghanistan_Pakistan_1992,region_year_North_America_1990,region_year_South_Asia_2021,region_year_Sub_Saharan_Africa_1995","reporter_code,region_year",clustered by reporter_code,reporter_code,"Student t, df=59",0.624690333125817
region_year_fe,rd2_countries,gdp_pc,Real GDP per capita,Imports,product,top_5pct_share,product_top_5pct_share,log_gdp_pc_level_lag,-0.02529858362845,0.02734462144254778,-0.9251758588650937,0.35864322447401187,-0.08001504475056144,0.02941787749366144,1883,60,0.8808741328338425,ok,1892,9,"reporter_code_442,region_year_Latin_America_Caribbean_1989,region_year_Middle_East_North_Africa_Afghanistan_Pakistan_1992,region_year_North_America_1990,region_year_South_Asia_2021,region_year_Sub_Saharan_Africa_1995","reporter_code,region_year",clustered by reporter_code,reporter_code,"Student t, df=59",
region_year_fe,rd2_countries,gdp_pc,Real GDP per capita,Imports,product,top_5pct_share,product_top_5pct_share,log_population_lag,0.034128600217846916,0.05150362988171783,0.6626445610964887,0.510138667013327,-0.06892992513023925,0.1371871255659331,1883,60,0.8808741328338425,ok,1892,9,"reporter_code_442,region_year_Latin_America_Caribbean_1989,region_year_Middle_East_North_Africa_Afghanistan_Pakistan_1992,region_year_North_America_1990,region_year_South_Asia_2021,region_year_Sub_Saharan_Africa_1995","reporter_code,region_year",clustered by reporter_code,reporter_code,"Student t, df=59",
two_way_country_year_cluster,rd2_countries,gdp_pc,Real GDP per capita,Imports,partner,top_1pct_share,partner_top_1pct_share,gdp_pc_growth_lag,-0.07697706262649662,0.08902044614696113,-0.8647121639832892,0.3929224062824209,-0.2575188954217517,0.10356477016875848,1892,37,0.7677292515821192,ok,1892,0,,"reporter_code,year",two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=36",0.6735812679127215
two_way_country_year_cluster,rd2_countries,gdp_pc,Real GDP per capita,Imports,partner,top_1pct_share,partner_top_1pct_share,log_gdp_pc_level_lag,0.038093154598893036,0.03436032295014746,1.1086378511098818,0.2749381769373689,-0.03159281024805191,0.10777911944583798,1892,37,0.7677292515821192,ok,1892,0,,"reporter_code,year",two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=36",
two_way_country_year_cluster,rd2_countries,gdp_pc,Real GDP per capita,Imports,partner,top_1pct_share,partner_top_1pct_share,log_population_lag,-0.05480186451794622,0.053479424279139334,-1.0247280193575818,0.3123282598189103,-0.16326316407435693,0.0536594350384645,1892,37,0.7677292515821192,ok,1892,0,,"reporter_code,year",two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=36",
contemporaneous_growth,rd2_countries,gdp_pc,Real GDP per capita,Imports,partner,top_1pct_share,partner_top_1pct_share,gdp_pc_growth_current,0.03033167232376733,0.07095971374261688,0.42744919228092626,0.6706082481968161,-0.11165838690567556,0.1723217315532102,1892,60,0.7673816805717517,ok,1892,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",0.7504218657194447
