model_label,sample,flow,dimension,metric,outcome,row_type,label,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,threshold_percentile,threshold_log_exports,threshold_exports_constant_2015_usd,exploratory,horizon,bh_q_value
exploratory_export_level_threshold_scan,rd2_countries,Imports,partner,top_1pct_share,partner_top_1pct_share,slope,below_threshold,prior_export_growth_below_threshold,-0.02235648829395466,0.038354747934957044,-0.5828871130079478,0.5623092514884332,-0.09919028111840693,0.05447730453049761,1237,57,0.8322742748533036,ok,1237,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.74797675652169,20588052247.97918,True,1,
exploratory_export_level_threshold_scan,rd2_countries,Imports,partner,top_1pct_share,partner_top_1pct_share,slope,above_threshold,prior_export_growth_above_threshold,-0.009261885748840903,0.04639389488551488,-0.19963587389453374,0.8424885206819492,-0.10220002508945233,0.08367625359177053,1237,57,0.8322742748533036,ok,1237,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.74797675652169,20588052247.97918,True,1,
exploratory_export_level_threshold_scan,rd2_countries,Imports,partner,top_1pct_share,partner_top_1pct_share,difference,above_minus_below,above_minus_below_growth_slope,0.013094602545113757,0.05704948235099222,0.2295306110676044,0.8192928295357265,-0.10118924348958687,0.1273784485798144,1237,57,0.8322742748533036,ok,1237,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.74797675652169,20588052247.97918,True,1,0.9281499187747391
exploratory_export_level_threshold_scan,rd2_countries,Imports,partner,top_5pct_share,partner_top_5pct_share,slope,below_threshold,prior_export_growth_below_threshold,-0.01979438489738726,0.03267734791759565,-0.6057524909091124,0.5471265394623863,-0.08525497882987357,0.04566620903509905,1237,57,0.8406768384674348,ok,1237,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.74797675652169,20588052247.97918,True,1,
exploratory_export_level_threshold_scan,rd2_countries,Imports,partner,top_5pct_share,partner_top_5pct_share,slope,above_threshold,prior_export_growth_above_threshold,0.027037870157437305,0.028762072719675957,0.9400529099886763,0.3512277739629718,-0.03057948507308112,0.08465522538795572,1237,57,0.8406768384674348,ok,1237,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.74797675652169,20588052247.97918,True,1,
exploratory_export_level_threshold_scan,rd2_countries,Imports,partner,top_5pct_share,partner_top_5pct_share,difference,above_minus_below,above_minus_below_growth_slope,0.046832255054824565,0.035054683370810906,1.3359771234967288,0.18696073867419102,-0.023390714059903214,0.11705522416955234,1237,57,0.8406768384674348,ok,1237,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.74797675652169,20588052247.97918,True,1,0.7690037123334816
exploratory_export_level_threshold_scan,rd2_countries,Exports,product,gini,product_gini,slope,below_threshold,prior_export_growth_below_threshold,-0.00922370691182257,0.014065324269384274,-0.6557763429528347,0.5146533538544651,-0.03739993721205234,0.0189525233884072,1225,57,0.9431251452128342,ok,1231,6,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.74797675652169,20588052247.97918,True,1,
exploratory_export_level_threshold_scan,rd2_countries,Exports,product,gini,product_gini,slope,above_threshold,prior_export_growth_above_threshold,0.012885110236960817,0.009964825272178492,1.293059324676337,0.20129964929624833,-0.007076833504471466,0.032847053978393104,1225,57,0.9431251452128342,ok,1231,6,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.74797675652169,20588052247.97918,True,1,
exploratory_export_level_threshold_scan,rd2_countries,Exports,product,gini,product_gini,difference,above_minus_below,above_minus_below_growth_slope,0.022108817148783388,0.01875672594689147,1.178714089622206,0.24349621658382006,-0.015465420020300009,0.05968305431786679,1225,57,0.9431251452128342,ok,1231,6,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.74797675652169,20588052247.97918,True,1,0.7690037123334816
exploratory_export_level_threshold_scan,rd2_countries,Exports,partner,gini,partner_gini,slope,below_threshold,prior_export_growth_below_threshold,0.022442329828509276,0.013574895924511814,1.6532229752116023,0.10388149636226121,-0.0047514544415948184,0.04963611409861337,1231,57,0.8089871819118326,ok,1231,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.74797675652169,20588052247.97918,True,1,
exploratory_export_level_threshold_scan,rd2_countries,Exports,partner,gini,partner_gini,slope,above_threshold,prior_export_growth_above_threshold,0.015530486421024156,0.01586717002130673,0.978781118508816,0.3318977550832787,-0.016255274658539737,0.04731624750058805,1231,57,0.8089871819118326,ok,1231,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.74797675652169,20588052247.97918,True,1,
exploratory_export_level_threshold_scan,rd2_countries,Exports,partner,gini,partner_gini,difference,above_minus_below,above_minus_below_growth_slope,-0.006911843407485119,0.019005818911040993,-0.3636698549973999,0.7174739437871563,-0.04498507374513136,0.031161386930161118,1231,57,0.8089871819118326,ok,1231,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.74797675652169,20588052247.97918,True,1,0.9220911613528965
exploratory_export_level_threshold_scan,rd2_countries,Exports,product,top_1pct_share,product_top_1pct_share,slope,below_threshold,prior_export_growth_below_threshold,0.036323452406614026,0.03154839124981454,1.1513567243092802,0.25447767871644444,-0.02687556955915836,0.09952247437238641,1225,57,0.9066192339587014,ok,1231,6,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.74797675652169,20588052247.97918,True,1,
exploratory_export_level_threshold_scan,rd2_countries,Exports,product,top_1pct_share,product_top_1pct_share,slope,above_threshold,prior_export_growth_above_threshold,0.07798137464519539,0.054479667037390406,1.4313849347073895,0.15787741712875442,-0.031154512713379268,0.18711726200377005,1225,57,0.9066192339587014,ok,1231,6,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.74797675652169,20588052247.97918,True,1,
exploratory_export_level_threshold_scan,rd2_countries,Exports,product,top_1pct_share,product_top_1pct_share,difference,above_minus_below,above_minus_below_growth_slope,0.04165792223858136,0.05509900659268264,0.756055776949592,0.45278454345652897,-0.06871865133594783,0.15203449581311057,1225,57,0.9066192339587014,ok,1231,6,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.74797675652169,20588052247.97918,True,1,0.8259855436974674
exploratory_export_level_threshold_scan,rd2_countries,Exports,product,top_5pct_share,product_top_5pct_share,slope,below_threshold,prior_export_growth_below_threshold,-0.008821133444010837,0.027351126394493407,-0.3225144484647913,0.7482640328082013,-0.06361202354381482,0.045969756655793136,1225,57,0.9449527615409579,ok,1231,6,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.74797675652169,20588052247.97918,True,1,
exploratory_export_level_threshold_scan,rd2_countries,Exports,product,top_5pct_share,product_top_5pct_share,slope,above_threshold,prior_export_growth_above_threshold,0.03918702814440461,0.026308679432397883,1.4895095075029747,0.14196406319880553,-0.01351558975369034,0.09188964604249956,1225,57,0.9449527615409579,ok,1231,6,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.74797675652169,20588052247.97918,True,1,
exploratory_export_level_threshold_scan,rd2_countries,Exports,product,top_5pct_share,product_top_5pct_share,difference,above_minus_below,above_minus_below_growth_slope,0.04800816158841545,0.038637847568389484,1.2425164601480554,0.2192239885640061,-0.029392747949219603,0.1254090711260505,1225,57,0.9449527615409579,ok,1231,6,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.74797675652169,20588052247.97918,True,1,0.7690037123334816
