model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference
baseline_population_year_fe,rd2_countries,Imports,partner,top_1pct_share,partner_top_1pct_share,log_gdp_per_capita,0.011211371173806993,0.008199334293362122,1.3673513937446489,0.17670194373016146,-0.005195458850611243,0.02761820119822523,1883,60,0.03782091951633093,ok,1883,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Imports,partner,top_1pct_share,partner_top_1pct_share,average_log_population,-0.007611667718745033,0.010303346938514818,-0.738756810206201,0.46298351147446315,-0.02822861732155308,0.013005281884063016,1883,60,0.03700732707142529,ok,1883,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Imports,partner,top_1pct_share,partner_top_1pct_share,log_gdp_per_capita,0.010996575901805127,0.008259332711535231,1.3314121474301404,0.18817498212008593,-0.00553031068007011,0.027523462483680365,1883,60,0.03700732707142529,ok,1883,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Imports,partner,top_5pct_share,partner_top_5pct_share,baseline_log_population,-0.008684394003427237,0.0068750188156254145,-1.2631811252195424,0.21149320048554981,-0.022441274877763567,0.005072486870909091,1883,60,0.13121567176180393,ok,1883,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Imports,partner,top_5pct_share,partner_top_5pct_share,log_gdp_per_capita,0.01650782624961239,0.005782894663504122,2.8545957016636265,0.00593722559317679,0.004936280755969335,0.028079371743255442,1883,60,0.13121567176180393,ok,1883,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Imports,partner,top_5pct_share,partner_top_5pct_share,average_log_population,-0.008836851530234774,0.0069041539774116565,-1.2799325680085252,0.20557876386618307,-0.022652031728645227,0.004978328668175679,1883,60,0.1319217698607349,ok,1883,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Imports,partner,top_5pct_share,partner_top_5pct_share,log_gdp_per_capita,0.016189936924428525,0.005788498587743806,2.7969147230523737,0.00695518738132678,0.004607178004282706,0.027772695844574345,1883,60,0.1319217698607349,ok,1883,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Exports,product,gini,product_gini,baseline_log_population,-0.013934589538622656,0.0023516011411232125,-5.925575258041836,1.7181344347638086e-07,-0.0186401325531173,-0.009229046524128013,1878,60,0.4770628650062446,ok,1878,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Exports,product,gini,product_gini,log_gdp_per_capita,-0.01468353177139354,0.002225316347735953,-6.598401969379604,1.289492577552884e-08,-0.019136379497997447,-0.010230684044789634,1878,60,0.4770628650062446,ok,1878,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Exports,product,gini,product_gini,average_log_population,-0.01334925230944778,0.002372654847010825,-5.626293401362511,5.343063029529173e-07,-0.018096923692115165,-0.008601580926780395,1878,60,0.4554688732208869,ok,1878,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
