sample,effect,coef,std_error,ci_low,ci_high
baseline,Non-intermediate slope,-4.7736759018438875,0.505063619564544,-5.763600596190393,-3.783751207497381
baseline,Intermediate slope,-5.293940217827456,0.5799908187888465,-6.4307222226535945,-4.157158213001317
baseline,Intermediate minus non-intermediate,-0.5202643159835681,0.16273201494397196,-0.8392190652737532,-0.20130956669338312
