year,product_years,total_product_imports,mean_top_supplier_share,median_top_supplier_share,weighted_mean_top_supplier_share,mean_supplier_hhi,weighted_mean_supplier_hhi,median_effective_supplier_count,share_products_top_supplier_ge_50,share_products_top_supplier_ge_75,import_value_share_top_supplier_ge_50,import_value_share_top_supplier_ge_75,rca_coverage_share_products,rca_coverage_share_import_value,share_products_dominant_specialized,import_value_share_dominant_specialized,share_products_strict_dominant_specialized,import_value_share_strict_dominant_specialized
2015,5768,15018390602276.701,0.36824630541256925,0.3204258701060313,0.2962016166531256,0.2276846209454505,0.16454062576904863,5.941929623306933,0.2073509015256588,0.05305131761442441,0.1237165633334827,0.015817582531765895,0.855755894590846,0.9201339935791043,0.12950762829403606,0.1192167739301865,0.019937586685159502,0.015656939519715567
2016,5773,14627338542228.129,0.36854366321092386,0.31939685894927733,0.2971661855844554,0.22769065981258613,0.16450182575316422,5.907274777352442,0.20994283734626712,0.05265892949939373,0.12472365729068104,0.015529925232674033,0.859864888272995,0.9373980102979745,0.13043478260869565,0.11957784751788564,0.02095963970206132,0.015069342256789563
2017,5978,16350062117731.08,0.37477533973854293,0.3244635398691608,0.2965512350775888,0.23489567226770353,0.16520323296449752,5.802568477155001,0.21763131482101036,0.060388089662094344,0.12524160824954453,0.016178190989927017,0.8586483773837403,0.9252874128093271,0.1321512211441954,0.12034775084241818,0.021579123452659752,0.015891282107868963
2018,5948,17999975727709.133,0.37505013557840494,0.32441201492543603,0.293323926199219,0.235050878145507,0.16225719018851673,5.776202489268493,0.21738399462004035,0.06035642232683255,0.12219929616080345,0.01535739206785257,0.8612979152656355,0.9063821180162662,0.13113651647612642,0.11508769876547756,0.02034297242770679,0.014910900463981618
2019,5865,17344510964761.52,0.37648326851956776,0.32165699051669466,0.29085203668427906,0.23670282336963636,0.15991097641581495,5.889201990847036,0.22335890878090367,0.06581415174765558,0.11421868312214704,0.015467346859096393,0.8770673486786019,0.9134477215688421,0.13776641091219097,0.11173606859224237,0.023529411764705882,0.015103550544345885
2020,5589,16025349228319.89,0.3573492429936429,0.3113696665071874,0.29878013475780313,0.21512382406225733,0.16699403964291387,6.081236391637373,0.18930041152263374,0.04168903202719628,0.12448960197138637,0.023417827574416895,0.9125067096081588,0.9292640473548248,0.14009661835748793,0.11923871424332798,0.022723206298085524,0.022943610237673977
2021,5597,20066165030053.11,0.3621756375554053,0.3168417440250523,0.2987291777275046,0.22000128614048045,0.1672376623621359,5.997453129246569,0.19689119170984457,0.047525460067893516,0.12165153284680098,0.019903339017382185,0.9140611041629444,0.913783414155534,0.14722172592460248,0.11795840328597429,0.026800071466857246,0.019354826806323798
2022,5953,22550515345360.074,0.3701815701863925,0.324133104646798,0.2924962743165921,0.22722673543564587,0.16312530409388942,5.772091089980603,0.21568956828489838,0.05140265412397111,0.12069467021729971,0.021687718888049153,0.8970267092222409,0.9090251193758653,0.156391735259533,0.1134185427288298,0.02822106500923904,0.01942372104187795
2023,5937,21359570442801.906,0.36759944255121624,0.32052066378080607,0.2859425852445802,0.22672996059368075,0.1596280982550785,5.887842972852468,0.2066700353713997,0.051372747178709786,0.11833240867861719,0.019781310698552587,0.8982651170624895,0.9151412502302407,0.1480545730166751,0.11336747723065926,0.024759979787771603,0.018193958539473896
2024,5929,20736726015615.75,0.37543382206493786,0.3241534456085112,0.2859648947354998,0.23405403025167396,0.1591585786640384,5.7349400635700185,0.22195985832349469,0.058188564682071175,0.1187853161199896,0.01029496659585565,0.8895260583572272,0.8917477359644702,0.15803676842637882,0.11148789901739688,0.027829313543599257,0.009449760024540177
