sample,model_label,outcome,term,coef,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r2_within,check
baseline,product_export_value_gini,asinh_export_value,loo_gini_contribution_z,-4.926487445184799,0.552808373128711,-8.911745343693916,5.023541120260519e-19,-6.009991856517073,-3.8429830338525255,5524696,33,0.1539382113171095,Export value: product-Gini contribution
baseline,product_export_any_gini,export_any,loo_gini_contribution_z,-0.12963177157255687,0.021968880316630624,-5.900699976704072,3.6196259722850925e-09,-0.17269077699315288,-0.08657276615196086,5524696,33,0.037013833202542146,Export probability: product-Gini contribution
baseline,product_export_value_partner_hhi,asinh_export_value,loo_partner_hhi_contribution_z,0.2237356867452495,0.07765986549194602,2.880969279665476,0.003964542797071942,0.0715223503810353,0.37594902310946365,5524696,33,0.03404532184996889,Export value: partner-HHI contribution
baseline,product_export_value_intermediate_interaction,asinh_export_value,loo_gini_x_intermediate_z,-0.7053068354533721,0.16901384894521126,-4.173071259278933,3.0052089789977726e-05,-1.0365739793859863,-0.37403969152075806,5524696,33,0.15561041928372643,Intermediate interaction
excluding oil/gas/gold/coal,product_export_value_gini,asinh_export_value,loo_gini_contribution_z,-4.113284193634889,0.27836222327255733,-14.77673279541018,2.0696506787694614e-49,-4.658874151249101,-3.5676942360206763,5503557,33,0.18970095789198815,Export value: product-Gini contribution
excluding oil/gas/gold/coal,product_export_any_gini,export_any,loo_gini_contribution_z,-0.10945186409036249,0.015468966209205204,-7.075577165927893,1.4882801547775245e-12,-0.13977103786040468,-0.07913269032032029,5503557,33,0.04367320863699964,Export probability: product-Gini contribution
excluding oil/gas/gold/coal,product_export_value_partner_hhi,asinh_export_value,loo_partner_hhi_contribution_z,0.15035986240363916,0.04154977284093613,3.6187890359655572,0.0002959847966015154,0.06892230763540434,0.23179741717187397,5503557,33,0.042704297814501246,Export value: partner-HHI contribution
excluding oil/gas/gold/coal,product_export_value_intermediate_interaction,asinh_export_value,loo_gini_x_intermediate_z,-0.7789283414641782,0.14376050871223803,-5.418235845445848,6.018998470640742e-08,-1.0606989385401646,-0.4971577443881917,5503557,33,0.19393189143094602,Intermediate interaction
