variant,flow,metric_name,outcome,income_form,sample_policy,model_name,curve_component,observations,entity_count,support_p05,support_p95,turning_point_income_variable,turning_point_ppp_2011_usd,turning_point_ci_low_ppp_2011_usd,turning_point_ci_high_ppp_2011_usd,turning_point_inside_p05_p95,slope_p05,slope_p95,slope_p05_p_value,slope_p95_p_value,u_test_p_value,obs_below_turning_point,obs_above_turning_point,entity_below_turning_point,entity_above_turning_point,classification,cluster_count_reference,linear_term_name,square_term_name,linear_term_coefficient,linear_term_cluster_se,linear_term_cluster_p_value,square_term_coefficient,square_term_cluster_se,square_term_cluster_p_value,u_test_q_value,excluded_entity_id
baseline_threshold20,Exports,Gini,partner_gini,gdppc_10k,fixed,pooled_minimal,overall,1704,13,0.1928017329742103,3.7201554178929896,5.915018525218318,59150.185252183175,,,False,0.04406922628379004,0.016903574689753932,0.999881753144438,0.0009318958591699733,0.999881753144438,1692.0,12.0,13.0,1.0,outside_support,13.0,gdppc_10k,gdppc_10k_sq,0.04555407446533109,0.008926031930280597,0.00026028283883818633,-0.0038507127468083236,0.0011476826498799375,0.005724726940851178,,
baseline_threshold20,Exports,Gini,partner_gini,gdppc_10k,fixed,pooled_year_fe,overall,1704,13,0.1928017329742103,3.7201554178929896,9.704286222244225,97042.86222244224,-191986.47082213135,343897.6716651526,False,0.01957489799613196,0.012315506609176699,0.8298829882988299,0.11591159115911591,0.8298829882988299,1704.0,0.0,13.0,0.0,outside_support,13.0,gdppc_10k,gdppc_10k_sq,0.019971689292033794,0.02052108037387,0.34965027372176194,-0.0010290138210399527,0.0024085886599236953,0.6767796201726024,,
baseline_threshold20,Exports,Gini,partner_gini,gdppc_10k,fixed,entity_year_fe,within,1704,13,0.1928017329742103,3.7201554178929896,3.480118827366595,34801.188273665946,,,True,-0.012530696919590733,0.0009149788958993365,0.32593498141110877,0.4743468050607256,0.4743468050607256,1588.0,116.0,13.0,7.0,insufficient_support,13.0,gdppc_10k,gdppc_10k_sq,-0.013265624525325172,0.027848004227429425,0.6423753086914947,0.001905915456249416,0.0020910109685413993,0.3799885079556513,,
baseline_threshold20,Exports,Gini,partner_gini,gdppc_10k,fixed,entity_year_fe_logpop,within,1670,13,0.19703535929864802,3.7509660250894936,3.0142006643855934,30142.006643855933,-442449.05453596695,341449.4720066303,True,-0.01106035927368967,0.0028925848174689212,0.32063206320632065,0.45494549454945493,0.45494549454945493,1510.0,160.0,13.0,8.0,insufficient_support,13.0,gdppc_10k,gdppc_10k_sq,-0.011833931864381617,0.024132301156444897,0.6327106879986801,0.001963029867952374,0.0018642445071955273,0.31308753641844844,0.8414841484148415,
baseline_threshold20,Exports,Gini,partner_gini,gdppc_10k,fixed,mundlak,within,1670,13,0.19703535929864802,3.7509660250894936,6.420665439890511,64206.65439890511,,,False,0.03385890049567201,0.014524174102343999,0.9730632099516687,0.0954359837820723,0.9730632099516687,1659.0,11.0,13.0,1.0,outside_support,13.0,gdppc_10k_within,gdppc_10k_sq_within,0.034930847339914306,0.016317379018914675,0.05352282257905205,-0.002720189026116736,0.0015822286491998564,0.11123918687676664,,
baseline_threshold20,Exports,Gini,partner_gini,gdppc_10k,fixed,mundlak,between,1670,13,0.19703535929864802,3.7509660250894936,-0.8225030296990378,-8225.030296990377,,,False,0.0022233093880192666,0.009973373043190063,0.5152210983442241,0.3716181668604799,0.5152210983442241,0.0,1670.0,0.0,13.0,outside_support,13.0,gdppc_10k_mean,gdppc_10k_sq_mean,0.0017936339890074619,0.06123059888903175,0.9771123774029472,0.0010903509921804,0.011070150204918557,0.9231656432570493,,
baseline_threshold20,Exports,Gini,partner_gini,gdppc_10k,natural,pooled_year_fe,overall,1704,13,0.1928017329742103,3.7201554178929896,9.704286222244225,97042.86222244224,,,False,0.01957489799613196,0.012315506609176699,0.8309790799116903,0.015299620782504908,0.8309790799116903,1704.0,0.0,13.0,0.0,outside_support,13.0,gdppc_10k,gdppc_10k_sq,0.019971689292033794,0.02052108037387,0.34965027372176194,-0.0010290138210399527,0.0024085886599236953,0.6767796201726024,,
baseline_threshold20,Exports,Gini,partner_gini,gdppc_10k,natural,entity_year_fe_logpop,within,1670,13,0.19703535929864802,3.7509660250894936,3.0142006643855934,30142.006643855933,,,True,-0.01106035927368967,0.0028925848174689212,0.32261641644696826,0.39978625056248984,0.39978625056248984,1510.0,160.0,13.0,8.0,insufficient_support,13.0,gdppc_10k,gdppc_10k_sq,-0.011833931864381617,0.024132301156444897,0.6327106879986801,0.001963029867952374,0.0018642445071955273,0.31308753641844844,,
baseline_threshold20,Exports,Gini,partner_gini,log_gdppc,fixed,pooled_year_fe,overall,1704,13,7.5642474179024495,10.524102735097753,3.1334153147091315,22.952234938564533,,,False,0.016654477880583007,0.027779892647355187,0.6649957528498982,0.1455804230687735,0.6649957528498982,0.0,1704.0,0.0,13.0,outside_support,13.0,log_gdppc,log_gdppc_sq,-0.011777786843219146,0.17357263501196815,0.9470185063827565,0.0018793848979946747,0.009135673290445838,0.8404587855229144,,
baseline_threshold20,Exports,Gini,partner_gini,log_gdppc,fixed,entity_year_fe_logpop,within,1670,13,7.585966524571462,10.532353703185134,13.334058778467625,617885.7065432476,,,False,0.032605088939096846,0.01589220199080591,0.8625877695335386,0.36645372426001477,0.8625877695335386,1670.0,0.0,13.0,0.0,outside_support,13.0,log_gdppc,log_gdppc_sq,0.0756352113340552,0.14377632292756487,0.6084306832141672,-0.002836166113809022,0.00850145304293453,0.7444313904275863,,
