reporter_code,year,total_imports,import_products,weighted_mean_top_supplier_share,weighted_mean_source_hhi,median_top_supplier_share,median_source_hhi,share_products_top_supplier_ge_50,share_products_top_supplier_ge_75,share_products_top_supplier_ge_90,import_value_share_products_top_supplier_ge_50,import_value_share_products_top_supplier_ge_75,import_value_share_products_top_supplier_ge_90,country,iso3
36,1988,32296146955.0,4847,0.5051510481337541,0.373201255653943,0.502556701308784,0.3437218146941776,0.5050546729936043,0.22570662265318753,0.12420053641427688,0.4265308615047451,0.1808589198934056,0.0746205727995332,Australia,AUS
36,1989,39351606549.0,4868,0.5141432233219496,0.3768276776005688,0.4999022131923837,0.34458578279046315,0.4997945768282662,0.21569433032046015,0.11832374691865243,0.45705730205968065,0.17108005320232803,0.07511357477411842,Australia,AUS
36,1990,38257296500.0,4838,0.5114400055163333,0.3807777880946407,0.5006798090989322,0.34600557474392757,0.5014468788755684,0.2246796196775527,0.1225713104588673,0.4174347600071531,0.20697423601273027,0.10260267149300527,Australia,AUS
36,1991,38417308293.0,4816,0.5281644452091182,0.39580415529917445,0.5047767873298312,0.3496146023086231,0.5089285714285714,0.22570598006644518,0.12562292358803986,0.43625251725545194,0.236434690913914,0.08292097108168421,Australia,AUS
36,1992,40551251416.0,4825,0.5151196125542524,0.3796385293894007,0.5084236330753514,0.3516880507189476,0.5139896373056995,0.2261139896373057,0.12290155440414507,0.4464927906726971,0.19552730604194285,0.08254041609377691,Australia,AUS
36,1993,42297612945.0,4847,0.5049218061258137,0.3701893837535402,0.5078349977265455,0.3498075633174515,0.5124819475964514,0.2325149577057974,0.12296265731380235,0.4209886631227719,0.1837356925816467,0.06752134392817093,Australia,AUS
36,1994,49808378690.0,4859,0.48947316016320624,0.35204789004061315,0.5024407705581211,0.3434025207318375,0.5042189750977567,0.22082733072648694,0.12121835768676682,0.4201813816558099,0.13642575539934726,0.05941241834868486,Australia,AUS
36,1995,57310738152.0,4855,0.477361444960647,0.3378218352880836,0.502011395286266,0.341846582576071,0.5042224510813594,0.2255406797116375,0.11369721936148301,0.38905273149447117,0.1411590735150509,0.05922384119356439,Australia,AUS
36,1996,61273451757.0,4948,0.4665679749588128,0.32700415754045187,0.49836843780737716,0.3365540377829691,0.49696847210994344,0.215642683912692,0.11580436540016169,0.35472995329526036,0.12243866294251865,0.04206390617949074,Australia,AUS
36,1997,61694475309.0,4953,0.46150278567725295,0.3191702280719291,0.4929269587543911,0.3376991804803642,0.4887946698970321,0.20775287704421563,0.11043811831213406,0.3423557858821566,0.10482613604554904,0.030941957451440103,Australia,AUS
36,1998,60621928504.0,4935,0.4742121613155733,0.3286783894285227,0.4987932784629311,0.338548466683457,0.4980749746707194,0.21560283687943263,0.1148936170212766,0.39790168881559734,0.12361149745517505,0.04099928391153051,Australia,AUS
36,1999,65089360755.0,4892,0.46841172272010584,0.327967196276076,0.4966608903706283,0.3349209207070918,0.4952984464431725,0.21627146361406377,0.11304170073589534,0.3921006376612709,0.12280611155619575,0.0540005729082229,Australia,AUS
36,2000,71285228290.0,4892,0.4619174628303628,0.31778973281877615,0.49779688071724915,0.33714284806523703,0.49550286181520853,0.2160670482420278,0.10834014717906787,0.38688918552385265,0.10357003716063992,0.03756091399619757,Australia,AUS
