model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,variant,benchmark_policy
main_year_fe,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_population,0.18124840452190782,0.04320238798032386,4.195333012713459,4.5857669811249574e-05,0.09590260297993883,0.26659420606387685,3638,155,0.14414651193923,ok,3638,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,exclude_importer
main_year_fe,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_gdp_per_capita,0.28221646430140623,0.05840960590482664,4.831678966662664,3.2437138426601825e-06,0.16682898535074417,0.39760394325206827,3638,155,0.14414651193923,ok,3638,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,exclude_importer
main_year_fe,cadot_broad_156,Exports,product,specialization_kl,specialization_kl,log_population,-0.5619439659029339,0.03953825676963571,-14.2126641843879,8.051724231171721e-30,-0.640051319994416,-0.48383661181145193,3638,155,0.6653058866010677,ok,3638,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,exclude_importer
main_year_fe,cadot_broad_156,Exports,product,specialization_kl,specialization_kl,log_gdp_per_capita,-0.7906115454939114,0.05097445041568576,-15.509957224582964,2.8291087716660195e-33,-0.8913109635647234,-0.6899121274230995,3638,155,0.6653058866010677,ok,3638,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,exclude_importer
main_year_fe,cadot_broad_156,Exports,product,market_component_share,market_component_share,log_population,0.06779288210493539,0.005842953400256721,11.602502614851728,9.207474643702798e-23,0.05625019743795822,0.07933556677191256,3638,155,0.5502459793745669,ok,3638,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,exclude_importer
main_year_fe,cadot_broad_156,Exports,product,market_component_share,market_component_share,log_gdp_per_capita,0.10441775556442293,0.008027230452416491,13.007942924198638,1.4276721871469255e-26,0.0885600576650474,0.12027545346379845,3638,155,0.5502459793745669,ok,3638,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,exclude_importer
main_two_way_clustered,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_population,0.18124840452190782,0.042356077021781804,4.27915938552808,0.0002596936556075556,0.09382975808044669,0.26866705096336896,3638,25,0.14414651193923,ok,3638,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",baseline,exclude_importer
main_two_way_clustered,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_gdp_per_capita,0.28221646430140623,0.058141208921309584,4.853983423072062,6.020717966325217e-05,0.16221890683740112,0.4022140217654113,3638,25,0.14414651193923,ok,3638,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",baseline,exclude_importer
main_two_way_clustered,cadot_broad_156,Exports,product,specialization_kl,specialization_kl,log_population,-0.5619439659029339,0.03952569161016081,-14.217182369516738,3.467282316193085e-13,-0.6435209839644975,-0.4803669478413703,3638,25,0.6653058866010677,ok,3638,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",baseline,exclude_importer
main_two_way_clustered,cadot_broad_156,Exports,product,specialization_kl,specialization_kl,log_gdp_per_capita,-0.7906115454939114,0.05016805561585079,-15.759262259391107,3.686936115518942e-14,-0.8941533233191404,-0.6870697676686824,3638,25,0.6653058866010677,ok,3638,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",baseline,exclude_importer
main_two_way_clustered,cadot_broad_156,Exports,product,market_component_share,market_component_share,log_population,0.06779288210493539,0.005720528653613035,11.850807191065813,1.618641445953878e-11,0.05598629124499157,0.07959947296487921,3638,25,0.5502459793745669,ok,3638,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",baseline,exclude_importer
main_two_way_clustered,cadot_broad_156,Exports,product,market_component_share,market_component_share,log_gdp_per_capita,0.10441775556442293,0.007946913678799693,13.139409811759053,1.869159076986402e-12,0.0880161318533662,0.12081937927547966,3638,25,0.5502459793745669,ok,3638,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",baseline,exclude_importer
country_year_fe_diagnostic,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_population,0.21403042791123567,0.2583299065597742,0.8285158724420154,0.40866062310384754,-0.2962972175801933,0.7243580734026647,3638,155,0.8649762192966464,ok,3638,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",baseline,exclude_importer
country_year_fe_diagnostic,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_gdp_per_capita,0.4602314648828391,0.10907602533926142,4.219364094459545,4.168935692395427e-05,0.24475307938638993,0.6757098503792883,3638,155,0.8649762192966464,ok,3638,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",baseline,exclude_importer
country_year_fe_diagnostic,cadot_broad_156,Exports,product,specialization_kl,specialization_kl,log_population,-0.43525931200312096,0.28393222804002044,-1.5329690292916338,0.1273352624889982,-0.996164037841635,0.12564541383539307,3638,155,0.9255687988622632,ok,3638,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",baseline,exclude_importer
