model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,horizon,bh_q_value,outcome_label,test_family
mechanism_destination_diversification,rd2_countries,Exports,product_partner_bucket,destination_diversification,new_partner_existing_product_gross_positive_share,log_gdp_constant_2015_usd,-0.013938638968254272,0.041586277983509716,-0.3351739959460038,0.7386826612633588,-0.09715258900515109,0.06927531106864254,1351,60,0.3296518209256891,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,,New-partner gross share,destination_diversification
mechanism_destination_diversification,rd2_countries,Exports,product_partner_bucket,destination_diversification,new_partner_existing_product_gross_positive_share,log_population,0.05162967311539969,0.03481719780610781,1.482878472958055,0.14342895848298326,-0.018039378772607,0.12129872500340638,1351,60,0.3296518209256891,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,,New-partner gross share,destination_diversification
mechanism_destination_diversification,rd2_countries,Exports,product_partner_bucket,destination_diversification,new_partner_existing_product_gross_positive_share,log_gni_per_capita_constant_2015_usd,-0.000735918114651575,0.03823984386069974,-0.01924479915065502,0.9847107549901192,-0.07725366893872876,0.07578183270942562,1351,60,0.3296518209256891,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,,New-partner gross share,destination_diversification
mechanism_destination_diversification,rd2_countries,Exports,product_partner_bucket,destination_diversification,new_partner_existing_product_gross_positive_share,log_product_active_count,0.007969481091311348,0.012659962690379119,0.6295027312653708,0.5314501493303057,-0.017363045738907176,0.033302007921529875,1351,60,0.3296518209256891,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,,New-partner gross share,destination_diversification
mechanism_destination_diversification,rd2_countries,Exports,product_partner_bucket,destination_diversification,new_partner_existing_product_gross_positive_share,log_partner_active_count,-0.046436695633683286,0.032433321158331724,-1.4317588817682418,0.15748929038396414,-0.11133562136755748,0.018462230100190907,1351,60,0.3296518209256891,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,,New-partner gross share,destination_diversification
mechanism_relationship_entry,rd2_countries,Exports,product_partner_bucket,relationship_entry,new_cell_existing_product_partner_gross_positive_share,bucket_high_product_high_partner,0.014692630919186406,0.021327975794825225,0.6888900784832688,0.4935926590673365,-0.027984550070237313,0.057369811908610124,1351,60,0.5634840925040279,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,0.9135498030349265,New cell gross share,relationship_entry
mechanism_relationship_entry,rd2_countries,Exports,product_partner_bucket,relationship_entry,new_cell_existing_product_partner_gross_positive_share,bucket_high_product_low_partner,-0.005237030421694447,0.017159602219083418,-0.30519532765568874,0.7612915025291054,-0.03957331515191354,0.02909925430852465,1351,60,0.5634840925040279,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,0.9135498030349265,New cell gross share,relationship_entry
mechanism_relationship_entry,rd2_countries,Exports,product_partner_bucket,relationship_entry,new_cell_existing_product_partner_gross_positive_share,bucket_low_product_high_partner,-0.004108968310943456,0.012933029991419941,-0.317711187066715,0.7518257614425878,-0.029987901548451705,0.021769964926564793,1351,60,0.5634840925040279,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,0.9135498030349265,New cell gross share,relationship_entry
mechanism_relationship_entry,rd2_countries,Exports,product_partner_bucket,relationship_entry,new_cell_existing_product_partner_gross_positive_share,log_initial_exports_constant_2015_usd,-0.0012236491832245122,0.021046367335820052,-0.05814063603945141,0.9538330764997025,-0.04333733294774832,0.04089003458129929,1351,60,0.5634840925040279,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,,New cell gross share,relationship_entry
mechanism_relationship_entry,rd2_countries,Exports,product_partner_bucket,relationship_entry,new_cell_existing_product_partner_gross_positive_share,oil_export_share,0.0021960908521415357,0.06846761451071734,0.032074884861043,0.9745205938648668,-0.13480728933253305,0.13919947103681612,1351,60,0.5634840925040279,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,,New cell gross share,relationship_entry
mechanism_relationship_entry,rd2_countries,Exports,product_partner_bucket,relationship_entry,new_cell_existing_product_partner_gross_positive_share,log_gdp_constant_2015_usd,-0.13256034812468553,0.14980520625796662,-0.8848847876249027,0.3798108806468633,-0.4323198734604363,0.16719917721106525,1351,60,0.5634840925040279,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,,New cell gross share,relationship_entry
mechanism_relationship_entry,rd2_countries,Exports,product_partner_bucket,relationship_entry,new_cell_existing_product_partner_gross_positive_share,log_population,0.16831275723806538,0.18176485504245254,0.9259917556601064,0.3582225838352151,-0.1953978776007661,0.5320233920768969,1351,60,0.5634840925040279,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,,New cell gross share,relationship_entry
mechanism_relationship_entry,rd2_countries,Exports,product_partner_bucket,relationship_entry,new_cell_existing_product_partner_gross_positive_share,log_gni_per_capita_constant_2015_usd,0.08379417161324314,0.16020639253020116,0.5230388768503527,0.6029060422547909,-0.2367780793798841,0.4043664226063704,1351,60,0.5634840925040279,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,,New cell gross share,relationship_entry
mechanism_relationship_entry,rd2_countries,Exports,product_partner_bucket,relationship_entry,new_cell_existing_product_partner_gross_positive_share,log_product_active_count,0.025010604040586845,0.04382833394948246,0.5706492076430429,0.5704045415935443,-0.06268968962163667,0.11271089770281036,1351,60,0.5634840925040279,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,,New cell gross share,relationship_entry
mechanism_relationship_entry,rd2_countries,Exports,product_partner_bucket,relationship_entry,new_cell_existing_product_partner_gross_positive_share,log_partner_active_count,-0.05574584267075383,0.06295269071512528,-0.8855196185817693,0.3794713647008676,-0.18171388582993972,0.07022220048843206,1351,60,0.5634840925040279,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,,New cell gross share,relationship_entry
mechanism_intensive_margin,rd2_countries,Exports,product_partner_bucket,intensive_margin,existing_cell_growth_gross_positive_share,bucket_high_product_high_partner,-0.021391727067682862,0.025566445404175304,-0.8367110378273133,0.4061312643185949,-0.07255006615558367,0.029766612020217947,1351,60,0.696849433434005,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,0.48735751718231396,Existing-cell growth gross share,intensive_margin
mechanism_intensive_margin,rd2_countries,Exports,product_partner_bucket,intensive_margin,existing_cell_growth_gross_positive_share,bucket_high_product_low_partner,0.03006984289457837,0.026346737959793243,1.1413117988445787,0.25835147295198135,-0.022649857990670617,0.08278954377982736,1351,60,0.696849433434005,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,0.48735751718231396,Existing-cell growth gross share,intensive_margin
mechanism_intensive_margin,rd2_countries,Exports,product_partner_bucket,intensive_margin,existing_cell_growth_gross_positive_share,bucket_low_product_high_partner,-0.05184360301435176,0.021600154010888144,-2.400149692831754,0.0195624503326475,-0.0950654113561337,-0.008621794672569828,1351,60,0.696849433434005,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,0.11737470199588498,Existing-cell growth gross share,intensive_margin
mechanism_intensive_margin,rd2_countries,Exports,product_partner_bucket,intensive_margin,existing_cell_growth_gross_positive_share,log_initial_exports_constant_2015_usd,0.08749494518625667,0.037049053034540834,2.3615973424390937,0.0215169082438165,0.013359961301593365,0.16162992907091997,1351,60,0.696849433434005,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,,Existing-cell growth gross share,intensive_margin
mechanism_intensive_margin,rd2_countries,Exports,product_partner_bucket,intensive_margin,existing_cell_growth_gross_positive_share,oil_export_share,-0.09494182229350612,0.15796940338928056,-0.6010139954731807,0.5501327958169816,-0.4110378683548176,0.22115422376780536,1351,60,0.696849433434005,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,,Existing-cell growth gross share,intensive_margin
mechanism_intensive_margin,rd2_countries,Exports,product_partner_bucket,intensive_margin,existing_cell_growth_gross_positive_share,log_gdp_constant_2015_usd,0.0039332681783602885,0.2974648769906987,0.013222630577939716,0.9894947857599041,-0.5912925758236228,0.5991591121803433,1351,60,0.696849433434005,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,,Existing-cell growth gross share,intensive_margin
mechanism_intensive_margin,rd2_countries,Exports,product_partner_bucket,intensive_margin,existing_cell_growth_gross_positive_share,log_population,-0.11286827336827529,0.35077112361473434,-0.3217718499891198,0.7487628115985849,-0.8147596704881871,0.5890231237516365,1351,60,0.696849433434005,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,,Existing-cell growth gross share,intensive_margin
mechanism_intensive_margin,rd2_countries,Exports,product_partner_bucket,intensive_margin,existing_cell_growth_gross_positive_share,log_gni_per_capita_constant_2015_usd,0.013341465825700158,0.3265191023275738,0.040859679359021385,0.967545718686978,-0.6400217487893051,0.6667046804407054,1351,60,0.696849433434005,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,,Existing-cell growth gross share,intensive_margin
mechanism_intensive_margin,rd2_countries,Exports,product_partner_bucket,intensive_margin,existing_cell_growth_gross_positive_share,log_product_active_count,-0.012577275292997736,0.052447517872493944,-0.23980687367464298,0.8113111786504037,-0.11752451614805992,0.09236996556206445,1351,60,0.696849433434005,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,,Existing-cell growth gross share,intensive_margin
mechanism_intensive_margin,rd2_countries,Exports,product_partner_bucket,intensive_margin,existing_cell_growth_gross_positive_share,log_partner_active_count,0.24531482697804063,0.06919118240214904,3.5454637203948303,0.0007747258060238733,0.10686359078687813,0.38376606316920314,1351,60,0.696849433434005,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,,Existing-cell growth gross share,intensive_margin
mechanism_strict_new_product,rd2_countries,Exports,product_partner_bucket,strict_new_product,strict_zero_base_product_gross_positive_share,bucket_high_product_high_partner,0.00666618690545509,0.022361401169146155,0.29811132384016126,0.7666655214813024,-0.038078873481583946,0.051411247292494126,1351,60,0.4883480321520848,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,0.7666655214813024,Strict-new product gross share,strict_new_product
mechanism_strict_new_product,rd2_countries,Exports,product_partner_bucket,strict_new_product,strict_zero_base_product_gross_positive_share,bucket_high_product_low_partner,-0.06053400857442115,0.027454678962641248,-2.2048703850003983,0.03137414681124731,-0.11547069428556347,-0.005597322863278825,1351,60,0.4883480321520848,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,0.18824488086748387,Strict-new product gross share,strict_new_product
mechanism_strict_new_product,rd2_countries,Exports,product_partner_bucket,strict_new_product,strict_zero_base_product_gross_positive_share,bucket_low_product_high_partner,0.04307358008120732,0.024425720451991352,1.7634517747743923,0.08300208417607771,-0.005802173649703445,0.09194933381211809,1351,60,0.4883480321520848,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,0.24900625252823314,Strict-new product gross share,strict_new_product
mechanism_strict_new_product,rd2_countries,Exports,product_partner_bucket,strict_new_product,strict_zero_base_product_gross_positive_share,log_initial_exports_constant_2015_usd,-0.08951267359583986,0.04128445390106558,-2.168193233471098,0.034188740600362325,-0.17212267503877024,-0.006902672152909489,1351,60,0.4883480321520848,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,,Strict-new product gross share,strict_new_product
mechanism_strict_new_product,rd2_countries,Exports,product_partner_bucket,strict_new_product,strict_zero_base_product_gross_positive_share,oil_export_share,0.20849273514577982,0.22106854619639585,0.9431135217244168,0.34946885347768986,-0.2338644040339009,0.6508498743254605,1351,60,0.4883480321520848,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,,Strict-new product gross share,strict_new_product
mechanism_strict_new_product,rd2_countries,Exports,product_partner_bucket,strict_new_product,strict_zero_base_product_gross_positive_share,log_gdp_constant_2015_usd,0.1321421205240538,0.20768548332427597,0.6362607458593037,0.5270671917314327,-0.28343557170385036,0.5477198127519579,1351,60,0.4883480321520848,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,,Strict-new product gross share,strict_new_product
mechanism_strict_new_product,rd2_countries,Exports,product_partner_bucket,strict_new_product,strict_zero_base_product_gross_positive_share,log_population,-0.13961147144205543,0.26270815792853525,-0.5314318083720646,0.5971147992052337,-0.6652892812431371,0.38606633835902626,1351,60,0.4883480321520848,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,,Strict-new product gross share,strict_new_product
mechanism_strict_new_product,rd2_countries,Exports,product_partner_bucket,strict_new_product,strict_zero_base_product_gross_positive_share,log_gni_per_capita_constant_2015_usd,-0.10052560060252647,0.23840431507955034,-0.4216601556435053,0.67480547982267,-0.5775715331930058,0.3765203319879528,1351,60,0.4883480321520848,ok,1920,569,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,,Strict-new product gross share,strict_new_product
