year,countries,median_world_relative_product_gini,mean_world_relative_product_gini,median_world_weighted_share_gini,median_active_product_gini,median_world_relative_minus_active_product_gini
2000,55,0.839167449937496,0.8286190774965011,0.8824196422391313,0.9261647272919752,-0.07443614871440607
2001,55,0.8434183477550233,0.8266436220738448,0.8768332202254876,0.9292997775157672,-0.07787675281521877
2002,55,0.8346312735672923,0.8246851936993072,0.8854899734887589,0.9304290654858398,-0.08301183250291422
2003,55,0.8331181477609632,0.8242726033658905,0.8869898456285944,0.9306289606641432,-0.08135176143033396
2004,55,0.8431268595232074,0.8217649513707559,0.8809572307402875,0.930329975718432,-0.08527033617987057
2005,55,0.8330221546066606,0.8193630950706794,0.8933257619719758,0.932364849808319,-0.08779564790137306
2006,55,0.8340097153730524,0.8177816753474112,0.8832731443942504,0.9315777810148878,-0.09834639965257563
2007,55,0.817572525484018,0.8141896654298025,0.8805473686794874,0.9303915255523972,-0.10345953239785455
2008,55,0.814504127602712,0.815755789986944,0.8739734740095956,0.9344366877608536,-0.1038711316988793
2009,55,0.8140924172170173,0.8151438201047767,0.8817464968299471,0.934885365694478,-0.10111547677080268
2010,55,0.8250347331953882,0.8186303662146424,0.8848294650856672,0.9351328940879036,-0.09593776257366693
2011,55,0.8329383023589468,0.8198594645810857,0.8830900599773239,0.9356496366392136,-0.09811609693589185
2012,55,0.8294785111994091,0.8152781775627141,0.8901660871131963,0.9365450051660312,-0.09754653650681522
2013,55,0.827873658214691,0.8163892433416341,0.8783059965935698,0.9357938121792576,-0.10221899513230503
2014,55,0.8175602064745326,0.814174614192359,0.8836225353246142,0.9326774019343153,-0.10811116262188558
2015,55,0.8222693881005837,0.8121018926892852,0.8870529764446722,0.9314401041733928,-0.10465652184285268
2016,55,0.8213851695512956,0.8116802482631285,0.8828892116325401,0.9330311231735426,-0.10455710006147745
2017,55,0.8134723866083096,0.8108858659142804,0.8894902423751645,0.934430464762054,-0.11538663886270684
2018,55,0.8246627954437715,0.8118867677363457,0.8867320701014609,0.93422672375673,-0.10851502270639823
2019,55,0.8320635861101803,0.8108891962931373,0.8880223388362769,0.9333325429522572,-0.1113737761626008
2020,55,0.8297190698626005,0.8108757265849473,0.8858617663725279,0.9332888359178324,-0.10356976605523194
2021,55,0.8308111635988082,0.8166012805176479,0.8970961230826991,0.9429658487172304,-0.10548239962702155
2022,55,0.8456846904027826,0.8138320930864995,0.897326618729642,0.9429199187990238,-0.12089383601054138
2023,55,0.840638008785441,0.8085803497540948,0.8977538355143598,0.9368677897411748,-0.11565216867977512
2024,55,0.8356763002880113,0.8067844342520941,0.9008650230644355,0.9391579788403824,-0.1089100388724189
