model_label,outcome,term,coef,std_error,t_stat,p_value,nobs,candidate_rows,clusters,reporter_clusters,product_clusters,fixed_effects,cluster_col,se_method,status,screen,prody_spec,mismatch_definition,threshold_definition,influence_country
old_cone_exit_hs4_lpm,exit_next_window,rich_side_ct,-0.013407505722877036,0.007351596843150875,-1.823754214075022,0.07111743222855225,1226720,1253115,103,103,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_a_drop_HKG,screen_full_level,mismatch_world_broad_full_level,fixed_39308,HKG
old_cone_exit_hs4_lpm,exit_next_window,mismatch_x_rich_side,0.025562562976941025,0.005752428089322564,4.443786620190746,2.2507385994762452e-05,1226720,1253115,103,103,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_a_drop_HKG,screen_full_level,mismatch_world_broad_full_level,fixed_39308,HKG
old_cone_exit_hs4_lpm,exit_next_window,mismatch_log_income_minus_prody,-0.0012295857055754258,0.007583101117718904,-0.16214813524012472,0.8715163865601986,1181421,1207816,101,101,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_b_addback_HKG,screen_full_level,mismatch_world_broad_full_level,fixed_39308,HKG
old_cone_exit_hs4_lpm,exit_next_window,rich_side_ct,-0.01672790455242253,0.007331970289743914,-2.2815019553232245,0.024638698623735498,1181421,1207816,101,101,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_b_addback_HKG,screen_full_level,mismatch_world_broad_full_level,fixed_39308,HKG
old_cone_exit_hs4_lpm,exit_next_window,mismatch_x_rich_side,0.02775697968217922,0.00521217668356757,5.325410354888516,6.213210818863272e-07,1181421,1207816,101,101,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_b_addback_HKG,screen_full_level,mismatch_world_broad_full_level,fixed_39308,HKG
old_cone_exit_hs4_lpm,exit_next_window,mismatch_log_income_minus_prody,-0.0012295857055754258,0.007706824603469581,-0.15954504855629792,0.8735612742265253,1181421,1207816,101,101,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_b_addback_HKG,screen_full_level,mismatch_world_broad_full_level,fixed_39308,HKG
old_cone_exit_hs4_lpm,exit_next_window,rich_side_ct,-0.01672790455242253,0.007498492861551509,-2.230835564063119,0.02792600354092279,1181421,1207816,101,101,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_b_addback_HKG,screen_full_level,mismatch_world_broad_full_level,fixed_39308,HKG
old_cone_exit_hs4_lpm,exit_next_window,mismatch_x_rich_side,0.02775697968217922,0.005919592043639484,4.689002126760355,8.703539823787462e-06,1181421,1207816,101,101,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_b_addback_HKG,screen_full_level,mismatch_world_broad_full_level,fixed_39308,HKG
old_cone_exit_hs4_lpm,exit_next_window,mismatch_log_income_minus_prody,-0.001561650755843466,0.007377618286435515,-0.21167410608850776,0.8327836648731202,1225044,1251439,103,103,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_a_drop_NLD,screen_full_level,mismatch_world_broad_full_level,fixed_39308,NLD
old_cone_exit_hs4_lpm,exit_next_window,rich_side_ct,-0.014273667478132515,0.007162219560896547,-1.9929111858092459,0.04894238048838934,1225044,1251439,103,103,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_a_drop_NLD,screen_full_level,mismatch_world_broad_full_level,fixed_39308,NLD
