exercise_family,hypothesis,model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,raw_p_lt_005,q_value,q_lt_005
common_zero_universe,"If common-zero concentration is mostly active-product coverage, active count should absorb population.",common_zero_plus_harmonized_active_count,rd2_countries,Imports,product,harmonized_common_zero_product_gini,harmonized_common_zero_gini,log_population,0.00018588618984360927,0.001983182320765538,0.0937312661056067,0.9256695504519923,-0.003790154969759941,0.00416192734944716,1375,55,0.6434041656851612,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",False,0.9256695504519923,False
common_zero_universe,"If common-zero concentration is mostly active-product coverage, active count should absorb population.",common_zero_plus_harmonized_active_count,rd2_countries,Imports,product,harmonized_common_zero_product_gini,harmonized_common_zero_gini,log_gdp_per_capita,-0.0064502162337759985,0.0024887226804162165,-2.5917778161997775,0.01225606722545728,-0.011439804789786335,-0.0014606276777656612,1375,55,0.6434041656851612,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,0.020426778709095466,True
common_zero_universe,"If common-zero concentration is mostly active-product coverage, active count should absorb population.",common_zero_plus_harmonized_active_count,rd2_countries,Imports,product,harmonized_common_zero_product_gini,harmonized_common_zero_gini,log_harmonized_active_import_products,-0.16907997145978992,0.024244648616254572,-6.973908928770038,4.5423175984528775e-09,-0.21768756531991595,-0.1204723775996639,1375,55,0.6434041656851612,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,1.1355793996132194e-08,True
drop_hubs_microstates,"If hubs and microstates drive the slope, dropping them should flatten the population coefficient.",wr_drop_hkg_sgp_lux_isl_guy,rd2_countries_drop_hubs_microstates,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,log_population,-0.022780666400536928,0.00609987093381895,-3.734614493929074,0.0004904960876981679,-0.0350388159788239,-0.010522516822249956,1250,50,0.7780433296459689,ok,1250,0,,year,clustered by reporter_code,reporter_code,"Student t, df=49",True,0.0004904960876981679,True
drop_hubs_microstates,"If hubs and microstates drive the slope, dropping them should flatten the population coefficient.",wr_drop_hkg_sgp_lux_isl_guy,rd2_countries_drop_hubs_microstates,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,log_gdp_per_capita,-0.08143858255044686,0.005514039006025668,-14.769315643478741,1.1264920186352936e-19,-0.09251945879352078,-0.07035770630737295,1250,50,0.7780433296459689,ok,1250,0,,year,clustered by reporter_code,reporter_code,"Student t, df=49",True,2.252984037270587e-19,True
openness_income_controls,"If small open trade platforms drive concentration, openness should absorb population.",wr_plus_trade_openness,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,log_population,-0.03111853851334708,0.007915204632023252,-3.931488819309614,0.00024238962594439132,-0.04698756834186067,-0.015249508684833494,1375,55,0.7189763211179625,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,0.00033328573567353804,True
openness_income_controls,"If small open trade platforms drive concentration, openness should absorb population.",wr_plus_trade_openness,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,log_gdp_per_capita,-0.07665885559613456,0.005570538333232413,-13.761480670334382,2.698003779365092e-19,-0.08782711252448984,-0.06549059866777927,1375,55,0.7189763211179625,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,2.9678041573016013e-18,True
openness_income_controls,"If small open trade platforms drive concentration, openness should absorb population.",wr_plus_trade_openness,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,trade_openness_pct_gdp,0.00027234602021706204,0.0002471286768466509,1.1020413482246705,0.2753313809349335,-0.0002231171455101077,0.0007678091859442317,1375,55,0.7189763211179625,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",False,0.2753313809349335,False
openness_income_controls,PPP GDP per capita robustness for the development-stage control.,wr_ppp_gdppc_baseline_year_fe,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,log_population,-0.03594690352922561,0.007256742851114704,-4.953586514878893,7.5532475928561095e-06,-0.050495796971132226,-0.021398010087318994,1375,55,0.6848455168777038,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,1.3847620586902867e-05,True
openness_income_controls,PPP GDP per capita robustness for the development-stage control.,wr_ppp_gdppc_baseline_year_fe,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,log_gdp_pc_ppp_constant_2021_intl_usd,-0.10124209568662583,0.007901632379876199,-12.812807635099327,5.2509634816260684e-18,-0.11708391478791572,-0.08540027658533594,1375,55,0.6848455168777038,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,1.9253532765962248e-17,True
openness_income_controls,PPP GDP per capita plus openness robustness.,wr_ppp_gdppc_plus_trade_openness,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,log_population,-0.03192988727343911,0.007995695424209002,-3.993384637534248,0.00019833309951288635,-0.047960291424095754,-0.015899483122782464,1375,55,0.7044500682452282,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,0.0003116662992345357,True
openness_income_controls,PPP GDP per capita plus openness robustness.,wr_ppp_gdppc_plus_trade_openness,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,log_gdp_pc_ppp_constant_2021_intl_usd,-0.10471209262952784,0.008086226885064402,-12.949437867361283,3.4000442129030648e-18,-0.12092400143098289,-0.08850018382807279,1375,55,0.7044500682452282,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,1.8700243170966857e-17,True
openness_income_controls,PPP GDP per capita plus openness robustness.,wr_ppp_gdppc_plus_trade_openness,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,trade_openness_pct_gdp,0.00040211242509465554,0.00021134150755263532,1.9026665880790505,0.06242179649909838,-2.160178613206282e-05,0.0008258266363213738,1375,55,0.7044500682452282,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",False,0.06866397614900822,False
openness_income_controls,Tariff barrier check; sample is thinner than openness.,wr_ppp_gdppc_plus_tariff,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,log_population,-0.034538003417059496,0.006797717209168891,-5.08082380515535,4.993080342162232e-06,-0.04817249748665336,-0.020903509347465633,1148,54,0.7103512522550861,ok,1375,227,,year,clustered by reporter_code,reporter_code,"Student t, df=53",True,1.0984776752756911e-05,True
openness_income_controls,Tariff barrier check; sample is thinner than openness.,wr_ppp_gdppc_plus_tariff,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,log_gdp_pc_ppp_constant_2021_intl_usd,-0.08774309068655387,0.00834372893491771,-10.516052399468228,1.406079655004886e-14,-0.10447849158378289,-0.07100768978932484,1148,54,0.7103512522550861,ok,1375,227,,year,clustered by reporter_code,reporter_code,"Student t, df=53",True,3.8667190512634363e-14,True
openness_income_controls,Tariff barrier check; sample is thinner than openness.,wr_ppp_gdppc_plus_tariff,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,tariff_applied_weighted_mean_pct,0.007492439344985249,0.0027768125071769554,2.698215787209354,0.009330155881542493,0.0019228587789665002,0.013062019911003997,1148,54,0.7103512522550861,ok,1375,227,,year,clustered by reporter_code,reporter_code,"Student t, df=53",True,0.011403523855218603,True
lumpy_leave_out,"If lumpy top categories drive the population slope, removing them should flatten it.",wr_after_dropping_aircraft_gold_precious_pharma_vehicles_staples,rd2_countries,Imports,product,world_relative_import_product_gini_no_lumpy,wr_no_lumpy_main,log_population,-0.03787250342526946,0.007598399556142513,-4.984273746785729,6.776841774644487e-06,-0.053106377318756906,-0.022638629531782015,1375,55,0.734552980476824,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,1.626442025914677e-05,True
lumpy_leave_out,"If lumpy top categories drive the population slope, removing them should flatten it.",wr_after_dropping_aircraft_gold_precious_pharma_vehicles_staples,rd2_countries,Imports,product,world_relative_import_product_gini_no_lumpy,wr_no_lumpy_main,log_gdp_per_capita,-0.07928452494380347,0.005346243376004133,-14.829950559239595,1.0914363261101025e-20,-0.09000309755796676,-0.06856595232964019,1375,55,0.734552980476824,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,6.548617956660615e-20,True
lumpy_leave_out,Energy-inclusive lumpy sensitivity.,wr_after_dropping_lumpy_plus_energy,rd2_countries,Imports,product,world_relative_import_product_gini_no_lumpy_plus_energy,wr_no_lumpy_plus_energy,log_population,-0.03550840495646683,0.0075051418235694365,-4.731210387651152,1.6470124080204153e-05,-0.05055530835345513,-0.020461501559478523,1375,55,0.7484031294337767,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,3.2940248160408306e-05,True
lumpy_leave_out,Energy-inclusive lumpy sensitivity.,wr_after_dropping_lumpy_plus_energy,rd2_countries,Imports,product,world_relative_import_product_gini_no_lumpy_plus_energy,wr_no_lumpy_plus_energy,log_gdp_per_capita,-0.07809065139646655,0.0049752173693452814,-15.695927554365925,8.980394147903534e-22,-0.08806536165450038,-0.06811594113843272,1375,55,0.7484031294337767,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,1.0776472977484242e-20,True
lumpy_leave_out,Top-driver control: aircraft/gold/precious/pharma/vehicles/staples share of positive LOO contribution.,wr_plus_top_driver_lumpy_share,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,log_population,-0.03262559777258542,0.007593271726539913,-4.296645628860195,7.2792029874589e-05,-0.047849190986709256,-0.01740200455846158,1375,55,0.711339960654229,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,0.0001091880448118835,True
lumpy_leave_out,Top-driver control: aircraft/gold/precious/pharma/vehicles/staples share of positive LOO contribution.,wr_plus_top_driver_lumpy_share,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,log_gdp_per_capita,-0.07481093131370456,0.0052612052131015274,-14.21935246460437,6.707171253215564e-20,-0.08535901267635884,-0.06426284995105028,1375,55,0.711339960654229,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,2.6828685012862255e-19,True
lumpy_leave_out,Top-driver control: aircraft/gold/precious/pharma/vehicles/staples share of positive LOO contribution.,wr_plus_top_driver_lumpy_share,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,top_driver_lumpy_positive_share,-0.03409860578110669,0.0638360337995569,-0.5341592162222237,0.5954237236491253,-0.16208214778591104,0.09388493622369767,1375,55,0.711339960654229,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",False,0.6495531530717731,False
lumpy_leave_out,Top-driver control including energy.,wr_plus_top_driver_lumpy_plus_energy_share,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,log_population,-0.03492896912997523,0.007831450348484516,-4.460089456703818,4.188913724860424e-05,-0.050630081730124975,-0.019227856529825484,1375,55,0.7140600768551089,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,7.180994956903585e-05,True
lumpy_leave_out,Top-driver control including energy.,wr_plus_top_driver_lumpy_plus_energy_share,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,log_gdp_per_capita,-0.07538063265210251,0.0054185985903555485,-13.911462787863812,1.7051824465912902e-19,-0.08624426873691135,-0.06451699656729368,1375,55,0.7140600768551089,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,5.11554733977387e-19,True
lumpy_leave_out,Top-driver control including energy.,wr_plus_top_driver_lumpy_plus_energy_share,rd2_countries,Imports,product,world_relative_import_product_gini,world_relative_import_product_gini,top_driver_lumpy_plus_energy_positive_share,0.055532080127994994,0.07196198819286842,0.7716862960923353,0.44366422769080116,-0.0887430195367204,0.19980717979271037,1375,55,0.7140600768551089,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",False,0.5323970732289613,False
lumpy_leave_out,Small countries should have larger lumpy-driver shares if lumpy products mediate the gradient.,lumpy_plus_energy_driver_share_outcome,rd2_countries,Imports,product,top_driver_lumpy_plus_energy_share,top_driver_lumpy_plus_energy_positive_share,log_population,0.01723759663550536,0.015300377081840903,1.1266125366258868,0.2648880653476787,-0.013437812477344685,0.04791300574835541,1375,55,0.0687338158352353,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",False,0.3531840871302383,False
lumpy_leave_out,Small countries should have larger lumpy-driver shares if lumpy products mediate the gradient.,lumpy_plus_energy_driver_share_outcome,rd2_countries,Imports,product,top_driver_lumpy_plus_energy_share,top_driver_lumpy_plus_energy_positive_share,log_gdp_per_capita,-0.0013860245713250136,0.011008732534982508,-0.12590228411133034,0.9002768671376694,-0.023457204419913447,0.020685155277263417,1375,55,0.0687338158352353,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",False,0.9002768671376694,False
import_bin_split,The GVC story predicts the population gradient should be strongest in intermediate/capital bins.,bin_intermediates_baseline_year_fe,rd2_countries,Imports,product,intermediates_import_product_gini,product_gini,log_population,-0.00527320275818979,0.0023401127578922608,-2.2533968674823015,0.02831719115468309,-0.009964846358512617,-0.0005815591578669631,1375,55,0.31324415044374476,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,0.04955508452069541,True
import_bin_split,The GVC story predicts the population gradient should be strongest in intermediate/capital bins.,bin_intermediates_baseline_year_fe,rd2_countries,Imports,product,intermediates_import_product_gini,product_gini,log_gdp_per_capita,-0.011302274301843248,0.00208760787263085,-5.413983368246197,1.4551351717547505e-06,-0.01548767608753917,-0.007116872516147325,1375,55,0.31324415044374476,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,4.527087201014779e-06,True
import_bin_split,"If within-bin active product breadth explains bin concentration, active count should absorb population.",bin_intermediates_plus_active_count,rd2_countries,Imports,product,intermediates_import_product_gini,product_gini,log_population,0.00044709341777473405,0.0023960923976884788,0.18659272831300125,0.852679214235942,-0.004356782602935758,0.005250969438485226,1375,55,0.4149496210963476,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",False,0.8842599258743101,False
import_bin_split,"If within-bin active product breadth explains bin concentration, active count should absorb population.",bin_intermediates_plus_active_count,rd2_countries,Imports,product,intermediates_import_product_gini,product_gini,log_gdp_per_capita,5.766169196229729e-05,0.0034546994986406586,0.016690798138878877,0.986744805003106,-0.006868593779776023,0.006983917163700617,1375,55,0.4149496210963476,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",False,0.986744805003106,False
import_bin_split,"If within-bin active product breadth explains bin concentration, active count should absorb population.",bin_intermediates_plus_active_count,rd2_countries,Imports,product,intermediates_import_product_gini,product_gini,log_bin_active_import_products,-0.12097102890980432,0.028268918746405903,-4.279294514056521,7.715243468327949e-05,-0.1776467986039446,-0.06429525921566404,1375,55,0.4149496210963476,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",True,0.0001800223475943188,True
