year,countries,median_world_relative_product_gini,mean_world_relative_product_gini,median_world_weighted_share_gini,median_active_product_gini,median_world_relative_minus_active_product_gini,median_world_relative_import_product_gini,mean_world_relative_import_product_gini,median_world_relative_import_minus_active_product_gini
2000,55,0.5959070341240508,0.6271119848844442,0.8403120880711278,0.8667530215137222,-0.24991960283844095,0.5959070341240508,0.6271119848844442,-0.24991960283844095
2001,55,0.5867014677930648,0.6248833351520523,0.8409432156789912,0.8622720112710212,-0.26167807633803963,0.5867014677930648,0.6248833351520523,-0.26167807633803963
2002,55,0.5971456824524792,0.6260151537274823,0.8301449837577686,0.862111953598959,-0.2633742065631972,0.5971456824524792,0.6260151537274823,-0.2633742065631972
2003,55,0.5983535424741313,0.6254343177295425,0.8315074225590448,0.866772178162198,-0.2647023488263186,0.5983535424741313,0.6254343177295425,-0.2647023488263186
2004,55,0.5946500372169646,0.6223448035593295,0.8397133297093762,0.8669146498064271,-0.2727125260011717,0.5946500372169646,0.6223448035593295,-0.2727125260011717
2005,55,0.5956348568879064,0.6163673779240724,0.8424227248173689,0.8733308697737079,-0.2778887932287716,0.5956348568879064,0.6163673779240724,-0.2778887932287716
2006,55,0.5912931889072001,0.6181388139454567,0.8462499610915403,0.8764145759378932,-0.2730464923641799,0.5912931889072001,0.6181388139454567,-0.2730464923641799
2007,55,0.5776820218633992,0.6131349709634796,0.8429085769052836,0.8723522444493963,-0.27069017384236027,0.5776820218633992,0.6131349709634796,-0.27069017384236027
2008,55,0.5979153401085125,0.6110749732225556,0.832773808337123,0.8763503308902021,-0.2743649968166414,0.5979153401085125,0.6110749732225556,-0.2743649968166414
2009,55,0.5909874775511458,0.6140365868751455,0.833978701439671,0.8697034188779271,-0.27041034506373995,0.5909874775511458,0.6140365868751455,-0.27041034506373995
2010,55,0.5929958601035524,0.616385329983057,0.8378309896316251,0.8767909248441579,-0.2648406744101405,0.5929958601035524,0.616385329983057,-0.2648406744101405
2011,55,0.6032903899170706,0.6170896007470893,0.8420184419310868,0.8803280494433516,-0.26703192967088607,0.6032903899170706,0.6170896007470893,-0.26703192967088607
2012,55,0.6144416999440734,0.6241864850366468,0.8437902119613705,0.8866893416853827,-0.26717386899982876,0.6144416999440734,0.6241864850366468,-0.26717386899982876
2013,55,0.604898876602408,0.6232536984595491,0.8456457497761991,0.8871799897535408,-0.267414220903443,0.604898876602408,0.6232536984595491,-0.267414220903443
2014,55,0.5936395079551459,0.6178686373530969,0.8462413800359836,0.8797351238120845,-0.27508860128768164,0.5936395079551459,0.6178686373530969,-0.27508860128768164
2015,55,0.5970824345983757,0.6188126244241922,0.8287554154991289,0.8772209762985212,-0.27451950884258147,0.5970824345983757,0.6188126244241922,-0.27451950884258147
2016,55,0.5948381363646824,0.6205209481514542,0.8275572603689989,0.8715741163642934,-0.27060393129125027,0.5948381363646824,0.6205209481514542,-0.27060393129125027
2017,55,0.6031624906391997,0.6211810713316763,0.8379291524676886,0.8751103726784,-0.2742837797811546,0.6031624906391997,0.6211810713316763,-0.2742837797811546
2018,55,0.6090512472159613,0.6185924723821573,0.8374030374034942,0.8778262380119903,-0.2717867166399277,0.6090512472159613,0.6185924723821573,-0.2717867166399277
2019,55,0.607362522880166,0.6165010982791198,0.83292793480461,0.881062285567747,-0.2694756700617901,0.607362522880166,0.6165010982791198,-0.2694756700617901
2020,55,0.6271324045244644,0.6222760055763814,0.8072245394811921,0.8756636426292137,-0.253032858547669,0.6271324045244644,0.6222760055763814,-0.253032858547669
2021,55,0.6247020986007374,0.625604277485766,0.8211163924709171,0.8807622993795019,-0.2773752435645491,0.6247020986007374,0.625604277485766,-0.2773752435645491
2022,55,0.64319322373963,0.6292116228251656,0.8438049153090073,0.8900072659734386,-0.27815311199587467,0.64319322373963,0.6292116228251656,-0.27815311199587467
2023,55,0.6188277878715353,0.6187025595312393,0.8417405768366513,0.8868112121602454,-0.2757950663646116,0.6188277878715353,0.6187025595312393,-0.2757950663646116
2024,55,0.610957170414811,0.6219210241713291,0.8317122676906447,0.8868691276823801,-0.27977889966220426,0.610957170414811,0.6219210241713291,-0.27977889966220426
