country,iso3,reporter_code,flow,n_years,first_year,last_year,first_partner_gini,last_partner_gini,endpoint_change,abs_endpoint_change,mean_partner_gini,sd_partner_gini,min_partner_gini,max_partner_gini,range_partner_gini,first_partner_active_count,last_partner_active_count,min_partner_active_count,median_partner_active_count,mean_partner_active_count,slope_per_year,slope_per_decade,slope_std_error,slope_p_value,slope_ci_low,slope_ci_high,slope_se_method,slope_hac_maxlags,status,window,slope_q_value,abs_slope_per_decade,stable_slope_10yr_0p02,stable_endpoint_0p05,stable_sd_0p02,low_active_partner_warning
Botswana,BWA,72,Exports,21,2001,2021,0.9690439462371628,0.951698811898942,-0.017345134338220825,0.017345134338220825,0.9512207237231299,0.02327964049735335,0.9069510916713068,0.9790881605857984,0.07213706891449156,59.0,124.0,59.0,106.0,105.14285714285714,-0.0028464905216548687,-0.028464905216548687,0.0007067062013229367,5.629467210699605e-05,-0.0042316092238989375,-0.0014613718194108,HAC/Newey-West,3,ok,balanced_2001_2021,0.0002214257102875178,0.028464905216548687,False,True,False,False
Botswana,BWA,72,Imports,21,2001,2021,0.9370652577590872,0.9588657252582442,0.021800467499156984,0.021800467499156984,0.9651333284441824,0.008606659207582393,0.9370652577590872,0.9751811799551172,0.038115922196029994,65.0,153.0,65.0,142.0,135.47619047619048,-0.0002855331479351131,-0.002855331479351131,0.00042142895896043694,0.4980661524728791,-0.0011115187295397781,0.0005404524336695518,HAC/Newey-West,3,ok,balanced_2001_2021,0.5976793829674549,0.002855331479351131,True,True,True,False
Brazil,BRA,76,Exports,21,2001,2021,0.8689990055495351,0.8848817928331376,0.015882787283602484,0.015882787283602484,0.8615595085282198,0.01287529894903655,0.8424157974575721,0.8848817928331376,0.0424659953755655,200.0,225.0,200.0,215.0,215.0952380952381,0.0011185234260214193,0.011185234260214193,0.0006658832743184402,0.09300421438719042,-0.00018658380955032861,0.002423630661593167,HAC/Newey-West,3,ok,balanced_2001_2021,0.15138497576516538,0.011185234260214193,True,True,True,False
Brazil,BRA,76,Imports,21,2001,2021,0.8891497458329427,0.8988518047296907,0.009702058896748023,0.009702058896748023,0.8864662404926238,0.008072619250372545,0.8743007329290533,0.9032809361917148,0.028980203262661486,192.0,219.0,183.0,211.0,207.66666666666666,0.0010516955388870097,0.010516955388870097,0.00024551622139996486,1.8388580278367428e-05,0.0005704925873227165,0.0015328984904513028,HAC/Newey-West,3,ok,balanced_2001_2021,5.806920087905503e-05,0.010516955388870097,True,True,True,False
Cambodia,KHM,116,Exports,21,2001,2021,0.9452495863668376,0.9281471331182354,-0.017102453248602267,0.017102453248602267,0.9307799693980179,0.021687031833079413,0.9010833016778816,0.9603049908271576,0.05922168914927595,94.0,154.0,94.0,143.0,139.33333333333334,-0.0028632188455970688,-0.028632188455970688,0.0006457470628525168,9.251633676122864e-06,-0.004128859831910524,-0.0015975778592836132,HAC/Newey-West,3,ok,balanced_2001_2021,4.1988183607019154e-05,0.028632188455970688,False,True,False,False
Cambodia,KHM,116,Imports,21,2001,2021,0.8935220600689697,0.9426736729272672,0.0491516128582975,0.0491516128582975,0.9306626303541932,0.014189972935592066,0.8935220600689697,0.9498090187967037,0.05628695872773393,92.0,140.0,92.0,128.0,127.38095238095238,0.0019099501700575831,0.01909950170057583,0.000306831312305797,4.823048417296323e-10,0.0013085718486090595,0.002511328491506107,HAC/Newey-West,3,ok,balanced_2001_2021,3.215365611530882e-09,0.01909950170057583,True,True,True,False
Canada,CAN,124,Exports,21,2001,2021,0.9790303847716768,0.9639057054704304,-0.015124679301246391,0.015124679301246391,0.9667573192753752,0.0059154954146868,0.9593300135338804,0.9790303847716768,0.019700371237796444,218.0,221.0,215.0,218.0,217.85714285714286,-0.0006643800885798613,-0.006643800885798613,0.00022308738670469695,0.0029002631157129784,-0.001101623331926227,-0.00022713684523349562,HAC/Newey-West,3,ok,balanced_2001_2021,0.007129813492794405,0.006643800885798613,True,True,True,False
Canada,CAN,124,Imports,21,2001,2021,0.9561192912525602,0.9404661307197228,-0.015653160532837385,0.015653160532837385,0.9432219091435284,0.006393875877395588,0.9305288535216404,0.9561192912525602,0.025590437730919846,217.0,223.0,217.0,220.0,220.42857142857142,-0.0003920571658453612,-0.003920571658453612,0.00029343722693937996,0.18152139367063846,-0.0009671835623698524,0.00018306923067913,HAC/Newey-West,3,ok,balanced_2001_2021,0.24463614221329183,0.003920571658453612,True,True,True,False
China,CHN,156,Exports,21,2001,2021,0.9026736782329884,0.8512638237061572,-0.05140985452683122,0.05140985452683122,0.8688755503573534,0.018691739489292092,0.8502493735192209,0.903458719476609,0.05320934595738813,208.0,217.0,208.0,216.0,214.8095238095238,-0.002675659059154855,-0.02675659059154855,0.00047710031833907623,2.044786974135643e-08,-0.003610758500112039,-0.001740559618197671,HAC/Newey-West,3,ok,balanced_2001_2021,1.0053535956166911e-07,0.02675659059154855,False,False,True,False
China,CHN,156,Imports,21,2001,2021,0.8967038412717567,0.8702480728837807,-0.02645576838797603,0.02645576838797603,0.8848832333124164,0.01179505945974431,0.8667659999156891,0.9047083054650676,0.0379423055493785,185.0,218.0,185.0,213.0,209.38095238095238,-0.0017495908734854529,-0.01749590873485453,0.00014428963150578733,7.734097751052017e-34,-0.002032393354579352,-0.0014667883923915538,HAC/Newey-West,3,ok,balanced_2001_2021,1.5468195502104036e-32,0.01749590873485453,True,True,True,False
Costa Rica,CRI,188,Exports,21,2001,2021,0.9104728161869228,0.912606713282919,0.0021338970959962067,0.0021338970959962067,0.9080994925746864,0.004054359463933733,0.8993244086658412,0.9138360601251176,0.014511651459276464,125.0,149.0,123.0,147.0,142.85714285714286,0.0002284250737711671,0.002284250737711671,0.0001551822057986426,0.14102632983655727,-7.572646063565513e-05,0.0005325766081779894,HAC/Newey-West,3,ok,balanced_2001_2021,0.21334752462453538,0.002284250737711671,True,True,True,False
Costa Rica,CRI,188,Imports,21,2001,2021,0.923670858057323,0.9226199968631096,-0.0010508611942133816,0.0010508611942133816,0.9242201088765686,0.008196035793112342,0.9115801899583976,0.9417395439897172,0.03015935403131953,148.0,201.0,141.0,190.0,183.1904761904762,0.0003500730328700446,0.003500730328700446,0.00032398140104807283,0.2799042986619178,-0.0002849188448450055,0.0009850649105850946,HAC/Newey-West,3,ok,balanced_2001_2021,0.35732463658968233,0.003500730328700446,True,True,True,False
Croatia,HRV,191,Exports,21,2001,2021,0.9090597538731005,0.899610760831322,-0.009448993041778486,0.009448993041778486,0.8910747556423362,0.012968075044944695,0.8573155296857653,0.9149751704831092,0.05765964079734387,159.0,184.0,151.0,177.0,173.14285714285714,-0.0007826265190828737,-0.007826265190828737,0.0005911130287189073,0.18550705122079236,-0.0019411867661643227,0.0003759337279985752,HAC/Newey-West,3,ok,balanced_2001_2021,0.26694917126894513,0.007826265190828737,True,True,True,False
Croatia,HRV,191,Imports,21,2001,2021,0.9098098975487628,0.8966949271047258,-0.013114970444037088,0.013114970444037088,0.9034842468514915,0.006715401399679212,0.8910218144581852,0.9130363210861574,0.02201450662797222,192.0,168.0,160.0,196.0,189.28571428571428,-0.0008666075123697301,-0.008666075123697301,0.0001770304212301708,9.818268719182723e-07,-0.0012135807621488199,-0.0005196342625906404,HAC/Newey-West,3,ok,balanced_2001_2021,4.531508639622795e-06,0.008666075123697301,True,True,True,False
Czech Republic,CZE,203,Exports,21,2001,2021,0.9249515607006866,0.919989365990777,-0.004962194709909662,0.004962194709909662,0.9205462468305918,0.0032289725365848383,0.9160282470419074,0.927915019450236,0.011886772408328583,195.0,211.0,195.0,209.0,207.66666666666666,-0.0002527786732899884,-0.0025277867328998838,0.00012836327500780423,0.04892502106262277,-0.0005043660692428951,-1.1912773370816813e-06,HAC/Newey-West,3,ok,balanced_2001_2021,0.08747200735438616,0.0025277867328998838,True,True,True,False
Czech Republic,CZE,203,Imports,21,2001,2021,0.920942504574725,0.921967567699116,0.0010250631243909902,0.0010250631243909902,0.9229351509851617,0.001880172914599269,0.9196016093991228,0.926496490572,0.006894881172877176,210.0,235.0,209.0,228.0,227.1904761904762,0.00010462019963359756,0.0010462019963359756,6.228564772256362e-05,0.09301883405729006,-1.7457426656376372e-05,0.0002266978259235715,HAC/Newey-West,3,ok,balanced_2001_2021,0.143105898549677,0.0010462019963359756,True,True,True,False
Denmark,DNK,208,Exports,21,2001,2021,0.9088656043298344,0.8998553577336328,-0.009010246596201643,0.009010246596201643,0.9035597661538335,0.004861414565640216,0.8973059423764329,0.9129298037512216,0.015623861374788661,226.0,223.0,219.0,225.0,224.95238095238096,-0.0005529563230850295,-0.005529563230850295,0.0001613858965204334,0.0006118666095867774,-0.000869266867877787,-0.000236645778292272,HAC/Newey-West,3,ok,balanced_2001_2021,0.0019000068402957823,0.005529563230850295,True,True,True,False
