model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,horizon,bh_q_value
paired_product_partner,rd2_countries,Exports,product_partner_pair,gini,annualized_real_export_growth_log,product_exposure,-3.344584129281074,2.4870421674505,-1.344803949468075,0.1838356452489268,-8.321144011460152,1.6319757528980032,1322,60,0.6235041201561352,ok,1920,598,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,0.4216946256113104
paired_product_partner,rd2_countries,Exports,product_partner_pair,gini,annualized_real_export_growth_log,partner_exposure,-3.796629328358437,2.772999721008372,-1.3691416193067025,0.1761447325036389,-9.345388953536245,1.7521302968193706,1322,60,0.6235041201561352,ok,1920,598,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,0.4216946256113104
paired_product_partner,rd2_countries,Exports,product_partner_pair,gini,annualized_real_export_growth_log,product_x_partner,3.8885939909315397,2.885687611759307,1.347545027079627,0.18295689934818507,-1.8856535828054044,9.662841564668483,1322,60,0.6235041201561352,ok,1920,598,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,0.4216946256113104
paired_product_partner,rd2_countries,Exports,product_partner_pair,gini,annualized_real_export_growth_log,log_initial_exports_constant_2015_usd,-0.10975702406357218,0.01287762766085203,-8.523077926630336,7.1793034927694324e-12,-0.13552509749367872,-0.08398895063346565,1322,60,0.6235041201561352,ok,1920,598,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,
paired_product_partner,rd2_countries,Exports,product_partner_pair,gini,annualized_real_export_growth_log,oil_export_share,-0.0364768850122037,0.06743936711340698,-0.5408841537742141,0.5906237906033236,-0.17142274690732895,0.09846897688292156,1322,60,0.6235041201561352,ok,1920,598,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,
paired_product_partner,rd2_countries,Exports,product_partner_pair,gini,annualized_real_export_growth_log,log_gdp_constant_2015_usd,0.08996146146734063,0.08021028285817958,1.121570181050255,0.2665893179673173,-0.0705389438070293,0.25046186674171056,1322,60,0.6235041201561352,ok,1920,598,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,
paired_product_partner,rd2_countries,Exports,product_partner_pair,gini,annualized_real_export_growth_log,log_population,0.021363679981137362,0.10076113413209813,0.2120230202364487,0.8328198374216619,-0.18025888370812296,0.22298624367039768,1322,60,0.6235041201561352,ok,1920,598,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,
paired_product_partner,rd2_countries,Exports,product_partner_pair,gini,annualized_real_export_growth_log,log_gni_per_capita_constant_2015_usd,-0.004796566682691017,0.0818384641589175,-0.05861017471413973,0.9534606686776848,-0.16855495521452726,0.15896182184914523,1322,60,0.6235041201561352,ok,1920,598,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,
paired_product_partner,rd2_countries,Exports,product_partner_pair,top_1pct_share,annualized_real_export_growth_log,product_exposure,-0.07735740668936048,0.10449834039295916,-0.7402740215630508,0.4620695343423681,-0.28645810283356626,0.1317432894548453,1322,60,0.62296292398453,ok,1920,598,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,0.8317251618162625
paired_product_partner,rd2_countries,Exports,product_partner_pair,top_1pct_share,annualized_real_export_growth_log,partner_exposure,-0.10603177392488759,0.24166598884132634,-0.4387533985781764,0.6624427689794803,-0.5896043006375123,0.3775407527877372,1322,60,0.62296292398453,ok,1920,598,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,0.9123275336533083
paired_product_partner,rd2_countries,Exports,product_partner_pair,top_1pct_share,annualized_real_export_growth_log,product_x_partner,0.15848858704008673,0.27372516638242017,0.5790062679829119,0.5647890372677916,-0.38923420575757806,0.7062113798377515,1322,60,0.62296292398453,ok,1920,598,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,0.9123275336533083
paired_product_partner,rd2_countries,Exports,product_partner_pair,top_1pct_share,annualized_real_export_growth_log,log_initial_exports_constant_2015_usd,-0.11050724142502424,0.012641687939232595,-8.741494170416336,3.0879221690751497e-12,-0.13580320056266287,-0.08521128228738563,1322,60,0.62296292398453,ok,1920,598,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,
paired_product_partner,rd2_countries,Exports,product_partner_pair,top_1pct_share,annualized_real_export_growth_log,oil_export_share,-0.028328366859283114,0.06933811179906119,-0.40855405669795974,0.6843460548683109,-0.1670736080945721,0.11041687437600589,1322,60,0.62296292398453,ok,1920,598,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",5,
