year,import_bin,import_bin_label,cmd_code,display_name,product_description,countries_with_imports,reporter_count,pooled_import_value_usd,summed_total_import_share,summed_total_import_share_pct_points,avg_total_import_share,summed_bin_import_share,summed_bin_import_share_pct_points,avg_bin_import_share,pooled_share_of_total_imports,pooled_share_of_bin_imports
2024,capital_goods,Capital goods,851762,Network/communication apparatus,"Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus",32,32,166074804253.943,0.29463469603705117,29.463469603705118,0.009207334251157849,1.8925207721379924,189.25207721379925,0.05914127412931226,0.009856230759176828,0.06666389977312664
2024,capital_goods,Capital goods,847130,Portable computers/laptops,"Automatic data processing machines; portable, weighing not more than 10kg, consisting of at least a central processing unit, a keyboard and a display",32,32,136906818881.354,0.24285020103283605,24.285020103283607,0.007589068782276127,1.6468583083113308,164.68583083113307,0.05146432213472909,0.00812516507522793,0.054955611678509604
2024,capital_goods,Capital goods,880240,Large aircraft,"Aeroplanes and other aircraft, except unmanned; of an unladen weight exceeding 15,000kg",27,32,77509872465.308,0.2359042688492846,23.59042688492846,0.007372008401540143,1.245292387599067,124.52923875990669,0.03891538711247084,0.004600066774513773,0.031113150442460585
2024,capital_goods,Capital goods,847150,Processing units/servers,"Units of automatic data processing machines; processing units other than those of item no. 8471.41 or 8471.49, whether or not containing in the same housing one or two of the following types of unit: storage units, input units or output units",32,32,123811245374.271,0.21022890040947478,21.022890040947477,0.006569653137796087,1.2294944880957392,122.94944880957392,0.03842170275299185,0.007347967143311606,0.04969893229436355
2024,capital_goods,Capital goods,870421,Vehicles; with only compression-ignition internal combustion piston e...,"Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), for transport of goods, (of a gvw not exceeding 5 tonnes), n.e.c. in item no 8704.1",32,32,58755105209.002,0.15641944569903513,15.641944569903513,0.004888107678094848,1.009132616684195,100.9132616684195,0.03153539427138109,0.003487006218800869,0.02358482048139717
2024,capital_goods,Capital goods,850440,Static converters,Electrical static converters,32,32,74120311895.578,0.1407633439156632,14.07633439156632,0.004398854497364475,0.9691445106784092,96.91445106784093,0.03028576595870029,0.004398902658755542,0.029752550759019697
2024,capital_goods,Capital goods,901890,"Medical, surgical or dental instruments and appliances; n.e.c. in hea...","Medical, surgical or dental instruments and appliances; n.e.c. in heading no. 9018",32,32,65542964192.68,0.1106349450590498,11.06349450590498,0.0034573420330953064,0.7577717230755172,75.77717230755172,0.023680366346109913,0.0038898530251206386,0.026309527296466528
2024,capital_goods,Capital goods,847170,Units of automatic data processing machines; storage units,Units of automatic data processing machines; storage units,32,32,57875184743.555,0.0904660507714842,9.04660507714842,0.0028270640866088813,0.6055268206499689,60.55268206499689,0.018922713145311527,0.0034347845756917397,0.023231612600283627
2024,capital_goods,Capital goods,847989,"Machines and mechanical appliances; having individual functions, n.e....","Machines and mechanical appliances; having individual functions, n.e.c. or included in this chapter",32,32,40021147144.92,0.07922596282371298,7.922596282371298,0.0024758113382410307,0.5406876145649695,54.06876145649695,0.016896487955155297,0.002375180649944599,0.016064843514702845
2024,capital_goods,Capital goods,847180,Units of automatic data processing machines; n.e.c. in item no. 8471....,"Units of automatic data processing machines; n.e.c. in item no. 8471.50, 8471.60 or 8471.70",32,32,50596590382.231995,0.061830007612424624,6.183000761242463,0.0019321877378882695,0.4125588033666988,41.25588033666988,0.012892462605209338,0.0030028135374001825,0.020309920251030344
2024,capital_goods,Capital goods,848620,Machines and apparatus of a kind used solely or principally for the m...,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,32,32,61469850459.64,0.056148530159540626,5.614853015954062,0.0017546415674856446,0.4112965232463836,41.12965232463836,0.012853016351449488,0.0036481213004224823,0.024674543309077736
2024,capital_goods,Capital goods,880230,"Aeroplanes and other aircraft, except unmanned; of an unladen weight...","Aeroplanes and other aircraft, except unmanned; of an unladen weight exceeding 2000kg but not exceeding 15,000kg",30,32,15013256547.492,0.05418557534218943,5.418557534218943,0.0016932992294434197,0.312958380667068,31.2958380667068,0.009779949395845875,0.0008910088537725332,0.006026454369441064
2024,capital_goods,Capital goods,870121,"Tractors; road tractors for semi-trailers, with only compression-igni...","Tractors; road tractors for semi-trailers, with only compression-ignition internal combustion piston engine (diesel or semi-diesel)",32,32,28284200809.513,0.052914703119922524,5.291470311992253,0.0016535844724975789,0.35554275237909455,35.55427523790946,0.011110711011846705,0.0016786147138321099,0.01135352913043458
2024,capital_goods,Capital goods,854370,"Electrical machines and apparatus; having individual functions, not s...","Electrical machines and apparatus; having individual functions, not specified or included elsewhere in this chapter, n.e.c. in heading no. 8543",32,32,35656815624.307,0.048154812575902546,4.815481257590255,0.0015048378929969546,0.3260353064875375,32.60353064875375,0.010188603327735546,0.0021161656911737564,0.014312962123820912
2024,capital_goods,Capital goods,850300,Electric motors and generators; parts suitable for use solely or prin...,Electric motors and generators; parts suitable for use solely or principally with the machines of heading no. 8501 or 8502,32,32,19304085258.015,0.043982353574432996,4.3982353574432995,0.0013744485492010311,0.30800091237080585,30.800091237080586,0.009625028511587683,0.0011456615574683242,0.007748831080266951
2024,capital_goods,Capital goods,890190,"Vessels; n.e.c. in heading no. 8901, for the transport of goods and o...","Vessels; n.e.c. in heading no. 8901, for the transport of goods and other vessels for the transport of both persons and goods",31,32,15473081746.512001,0.04262863921041218,4.262863921041218,0.0013321449753253805,0.27382938956740444,27.382938956740443,0.008557168423981389,0.0009182986241310488,0.006211032283702851
2024,capital_goods,Capital goods,903180,"Instruments, appliances and machines; for measuring or checking n.e.c...","Instruments, appliances and machines; for measuring or checking n.e.c. in chapter 90",32,32,25228365989.262,0.04196300356098392,4.196300356098392,0.0013113438612807474,0.29675633242182714,29.675633242182712,0.009273635388182098,0.001497256600627491,0.010126889923508605
2024,capital_goods,Capital goods,870423,Vehicles; with only compression-ignition internal combustion piston e...,"Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), for transport of goods, (of a g.v.w. exceeding 20 tonnes), n.e.c. in item no 8704.1",32,32,15931585804.362999,0.04136520253669867,4.136520253669866,0.0012926625792718334,0.2541736981560873,25.41736981560873,0.007942928067377729,0.0009455099872183011,0.006395079880178793
2024,capital_goods,Capital goods,842952,"Mechanical shovels, excavators and shovel loaders; with a 360 degree...","Mechanical shovels, excavators and shovel loaders; with a 360 degree revolving super structure",32,32,17899726676.411,0.040788555757392236,4.078855575739223,0.0012746423674185074,0.26344002667257777,26.344002667257776,0.008232500833518055,0.0010623154875385706,0.007185109086734289
2024,capital_goods,Capital goods,870431,"Vehicles; with only spark-ignition internal combustion piston engine,...","Vehicles; with only spark-ignition internal combustion piston engine, for transport of goods, (of a g.v.w. not exceeding 5 tonnes), n.e.c. in item no 8704.1",32,32,40011395449.843,0.04075543769243206,4.075543769243206,0.001273607427888502,0.21857393922940596,21.857393922940595,0.006830435600918936,0.0023746019049784147,0.016060929097786013
2024,capital_goods,Capital goods,903289,"Regulating or controlling instruments and apparatus; automatic, other...","Regulating or controlling instruments and apparatus; automatic, other than hydraulic or pneumatic",32,32,20597944003.621002,0.03765273120688587,3.765273120688587,0.0011766478502151835,0.2671554625039943,26.71554625039943,0.008348608203249822,0.001222449667644098,0.008268197459322094
2024,capital_goods,Capital goods,870422,Vehicles; with only compression-ignition internal combustion piston e...,"Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), for transport of goods, (of a g.v.w. exceeding 5 tonnes but not exceeding 20 tonnes), n.e.c. in item no 8704.1",32,32,15598464138.118,0.03566386528029286,3.566386528029286,0.001114495790009152,0.22314379237994986,22.314379237994984,0.006973243511873433,0.000925739835881126,0.0062613618880331765
2024,capital_goods,Capital goods,940320,"Furniture; metal, other than for office use","Furniture; metal, other than for office use",32,32,18199566915.284,0.035157994249453,3.5157994249452997,0.0010986873202954062,0.23122886132165582,23.122886132165583,0.007225901916301744,0.001080110448059494,0.007305467618674005
2024,capital_goods,Capital goods,842139,"Machinery; for filtering or purifying gases, other than intake air fi...","Machinery; for filtering or purifying gases, other than intake air filters, catalytic converters or particulate filters for internal combustion engines",32,32,15150116424.674,0.03468935536310983,3.4689355363109833,0.0010840423550971822,0.23821629609609093,23.821629609609094,0.007444259253002842,0.0008991312329452088,0.006081391138305006
2024,capital_goods,Capital goods,848690,Machines and apparatus of heading 8486; parts and accessories,Machines and apparatus of heading 8486; parts and accessories,32,32,25475218424.732002,0.03424141502933511,3.424141502933511,0.0010700442196667221,0.22864618077478413,22.86461807747841,0.007145193149212004,0.001511906833565516,0.010225978681076919
2024,capital_goods,Capital goods,847141,Automatic data processing machines; comprising in the same housing at...,"Automatic data processing machines; comprising in the same housing at least a central processing unit and an input and output unit, whether or not combined, n.e.c. in item no. 8471.30",32,32,10366182995.226,0.03211877698214516,3.211877698214516,0.0010037117806920362,0.19484944744959387,19.484944744959385,0.0060890452327998085,0.0006152136812792691,0.0041610778186856046
2024,capital_goods,Capital goods,847149,"Automatic data processing machines; presented in the form of systems,...","Automatic data processing machines; presented in the form of systems, n.e.c. in item no. 8471.30 or 8471.41",32,32,11296012335.01,0.02878480478787451,2.8784804787874507,0.0008995251496210784,0.17601157885226867,17.60115788522687,0.005500361839133396,0.0006703973232575588,0.004534319564728496
2024,capital_goods,Capital goods,842710,Fork-lift and other works trucks; fitted with lifting or handling equ...,"Fork-lift and other works trucks; fitted with lifting or handling equipment, self-propelled by electric motor",32,32,11621635291.93,0.028530218262843823,2.8530218262843823,0.0008915693207138695,0.1967177822936912,19.671778229369117,0.00614743069667785,0.0006897224401427279,0.004665027508425673
2024,capital_goods,Capital goods,841370,"Pumps; centrifugal, n.e.c. in heading no. 8413, for liquids","Pumps; centrifugal, n.e.c. in heading no. 8413, for liquids",32,32,10980141376.291,0.027394788127414256,2.739478812741426,0.0008560871289816955,0.18799786759881576,18.799786759881577,0.0058749333624629925,0.00065165096932842,0.004407526159624814
2024,capital_goods,Capital goods,847160,"Units of automatic data processing machines; input or output units, w...","Units of automatic data processing machines; input or output units, whether or not containing storage units in the same housing",32,32,13533150533.244,0.026392335833392788,2.639233583339279,0.0008247604947935246,0.17757873023885581,17.75787302388558,0.005549335319964244,0.0008031673145937965,0.005432326684445836
2024,capital_goods,Capital goods,901819,"Medical, surgical instruments and appliances; electro-diagnostic appa...","Medical, surgical instruments and appliances; electro-diagnostic apparatus (including apparatus for functional exploratory examination or for checking physiological parameters), n.e.c. in item no. 9018.1",32,32,16630431080.154,0.025846398706804476,2.5846398706804474,0.0008076999595876399,0.16889553386786044,16.889553386786044,0.005277985433370639,0.0009869851545930243,0.006675602573741735
2024,capital_goods,Capital goods,842951,Front-end shovel loaders,Front-end shovel loaders,32,32,11123208132.96,0.02572495271169669,2.572495271169669,0.0008039047722405216,0.16129452229344038,16.12945222934404,0.005040453821670012,0.0006601417152548187,0.004464954424979654
2024,capital_goods,Capital goods,846729,"Tools; for working in the hand, with self-contained electric motor; o...","Tools; for working in the hand, with self-contained electric motor; other than saws and drills",32,32,12360828059.769001,0.025092514858089186,2.5092514858089188,0.0007841410893152871,0.1712797307920963,17.127973079209628,0.005352491587253009,0.0007335921561304427,0.004961746043242608
2024,capital_goods,Capital goods,870210,"Vehicles; public transport type (carries 10 or more persons, includin...","Vehicles; public transport type (carries 10 or more persons, including driver), with only compression-ignition internal combustion piston engine (diesel or semi-diesel), new or used",32,32,7807480603.78,0.024808458625951515,2.4808458625951513,0.0007752643320609848,0.1699346210273972,16.99346210273972,0.005310456907106163,0.0004633594531352632,0.0031339919790311175
2024,capital_goods,Capital goods,850110,Electric motors; of an output not exceeding 37.5W,Electric motors; of an output not exceeding 37.5W,32,32,12841769066.682,0.024519238249032377,2.4519238249032376,0.0007662261952822618,0.17559304525733663,17.559304525733662,0.00548728266429177,0.0007621351104152907,0.005154800030123183
2024,capital_goods,Capital goods,841950,Heat exchange units; not used for domestic purposes,Heat exchange units; not used for domestic purposes,32,32,11203884147.293,0.02444541500276962,2.444541500276962,0.0007639192188365506,0.16435991541724865,16.435991541724864,0.00513624735678902,0.0006649296866606489,0.0044973384928564805
2024,capital_goods,Capital goods,871639,Trailers and semi-trailers; (other than tanker type),Trailers and semi-trailers; (other than tanker type),32,32,8614338998.15,0.024369700860744314,2.436970086074431,0.0007615531518982598,0.16185007576500104,16.185007576500105,0.005057814867656283,0.0005112449982100563,0.003457872096638485
2024,capital_goods,Capital goods,850131,"Electric motors and generators; DC, of an output not exceeding 750W","Electric motors and generators; DC, of an output not exceeding 750W",32,32,12140412913.914,0.024254085498607837,2.4254085498607836,0.0007579401718314949,0.16803830564045966,16.803830564045967,0.005251197051264364,0.0007205109271618232,0.004873269448266233
2024,capital_goods,Capital goods,842890,"Lifting, handling, loading or unloading machinery; n.e.c. in heading...","Lifting, handling, loading or unloading machinery; n.e.c. in heading no. 8425, 8426, 8427 or 8428",32,32,13111913809.504,0.023969927122869293,2.3969927122869295,0.0007490602225896654,0.15662073319982717,15.662073319982717,0.004894397912494599,0.0007781676984745893,0.0052632385265021136
2024,capital_goods,Capital goods,841330,"Pumps; fuel, lubricating or cooling medium pumps for internal combust...","Pumps; fuel, lubricating or cooling medium pumps for internal combustion piston engines",32,32,12222559010.886,0.023962010430020872,2.3962010430020872,0.0007488128259381522,0.16647454195404435,16.647454195404435,0.005202329436063886,0.0007253861452381528,0.004906243620356307
2024,capital_goods,Capital goods,842720,Fork-lift and other works trucks; fitted with lifting or handling equ...,"Fork-lift and other works trucks; fitted with lifting or handling equipment, self-propelled by other than electric motor",32,32,12858173427.001,0.023634310103830776,2.363431010383078,0.0007385721907447117,0.14810805658570345,14.810805658570345,0.004628376768303233,0.0007631086786906657,0.005161384885887793
2024,capital_goods,Capital goods,844331,"Printing, copying, and facsimile machines; machines which perform two...","Printing, copying, and facsimile machines; machines which perform two or more of the functions of printing, copying or facsimile transmission, capable of connecting to an automatic data processing machine or to a network",32,32,14028919147.678,0.02237089048756247,2.237089048756247,0.0006990903277363272,0.15565558251474673,15.565558251474673,0.004864236953585835,0.0008325902598079731,0.005631332604529619
2024,capital_goods,Capital goods,870195,Tractors; n.e.c. in heading no 8701 (other than tractors of heading n...,Tractors; n.e.c. in heading no 8701 (other than tractors of heading no 8709); of an engine power exceeding 130kW,32,32,8452433895.136,0.022204350929412794,2.2204350929412793,0.0006938859665441498,0.14545791336227787,14.545791336227786,0.004545559792571183,0.0005016362314644746,0.0033928819519349015
2024,capital_goods,Capital goods,841430,Compressors; of a kind used in refrigerating equipment,Compressors; of a kind used in refrigerating equipment,32,32,11944360730.453,0.022142650845757072,2.214265084575707,0.0006919578389299085,0.1541228634629941,15.412286346299409,0.004816339483218565,0.0007088755946999683,0.0047945723625327325
2024,capital_goods,Capital goods,902790,Microtomes and parts and accessories thereof,Microtomes and parts and accessories thereof,32,32,11277854511.842,0.02122517312387272,2.1225173123872723,0.0006632866601210225,0.14409119981633742,14.409119981633742,0.004502849994260544,0.0006693196902232638,0.004527030853420314
2024,capital_goods,Capital goods,842129,"Machinery; for filtering or purifying liquids, n.e.c. in item no. 8421.2","Machinery; for filtering or purifying liquids, n.e.c. in item no. 8421.2",32,32,9877243144.699,0.02114471891285252,2.114471891285252,0.0006607724660266412,0.1416474739164735,14.164747391647351,0.004426483559889797,0.0005861960105025346,0.003964813025016003
2024,capital_goods,Capital goods,890120,Tankers,Tankers,22,32,6347909039.68,0.020296311949810585,2.0296311949810586,0.0006342597484315808,0.13123484944789798,13.123484944789798,0.004101089045246812,0.0003767365953819283,0.002548107004498276
2024,capital_goods,Capital goods,902620,Instruments and apparatus; for measuring or checking pressure,Instruments and apparatus; for measuring or checking pressure,32,32,10073283655.441,0.018451814001342128,1.8451814001342128,0.0005766191875419415,0.12799609620838395,12.799609620838396,0.0039998780065119985,0.0005978306502102262,0.004043505425216542
2024,capital_goods,Capital goods,852691,Radio navigational aid apparatus,Radio navigational aid apparatus,32,32,9976024334.594,0.01819622484970839,1.8196224849708391,0.0005686320265533872,0.13006261530704502,13.006261530704503,0.004064456728345157,0.00059205849040516,0.004004464670984896
2024,capital_goods,Capital goods,890200,"Fishing vessels, factory ships and other vessels; for processing or p...","Fishing vessels, factory ships and other vessels; for processing or preserving fishery products",26,32,511033637.411,0.018138692580862575,1.8138692580862574,0.0005668341431519555,0.08441973322352336,8.441973322352336,0.002638116663235105,3.0328895937294052e-05,0.00020513343573159388
2024,capital_goods,Capital goods,841869,Refrigerating or freezing equipment; n.e.c. in heading no. 8418,Refrigerating or freezing equipment; n.e.c. in heading no. 8418,32,32,9682520382.751,0.018062495283099358,1.8062495283099358,0.0005644529775968549,0.1200150551857657,12.00150551857657,0.0037504704745551782,0.0005746395767349592,0.0038866495808718886
