variant,year,outcome,outcome_label,spearman_log_population,countries
baseline,2012,market_component_share,Global-market share of observed Theil,0.38930523555666957,146
baseline,2012,observed_gini,Observed active-product Gini,-0.1895269586341859,146
baseline,2012,market_benchmark_gini,World-market benchmark Gini,0.25637935854549665,146
baseline,2012,gini_gap,Observed minus benchmark Gini,-0.23686772772406084,146
baseline,2013,observed_theil,Observed fixed-universe Theil,-0.36801813413929507,150
baseline,2013,market_component_theil,Global-market component,0.18824836659407082,150
baseline,2013,specialization_kl,Country-specific specialization (KL),-0.4922476554513534,150
baseline,2013,market_component_share,Global-market share of observed Theil,0.38814702875683366,150
baseline,2013,observed_gini,Observed active-product Gini,-0.22127383439263967,150
baseline,2013,market_benchmark_gini,World-market benchmark Gini,0.3339472865460687,150
baseline,2013,gini_gap,Observed minus benchmark Gini,-0.3210258233699276,150
baseline,2014,observed_theil,Observed fixed-universe Theil,-0.34036251105216625,144
baseline,2014,market_component_theil,Global-market component,0.22880797363555985,144
baseline,2014,specialization_kl,Country-specific specialization (KL),-0.46601961257133667,144
baseline,2014,market_component_share,Global-market share of observed Theil,0.3840406719717065,144
baseline,2014,observed_gini,Observed active-product Gini,-0.1655614500442087,144
baseline,2014,market_benchmark_gini,World-market benchmark Gini,0.3239168877099912,144
baseline,2014,gini_gap,Observed minus benchmark Gini,-0.2382927417410176,144
baseline,2015,observed_theil,Observed fixed-universe Theil,-0.33692378942603696,142
baseline,2015,market_component_theil,Global-market component,0.1660278588657372,142
baseline,2015,specialization_kl,Country-specific specialization (KL),-0.4122185875257497,142
baseline,2015,market_component_share,Global-market share of observed Theil,0.3315925908074545,142
baseline,2015,observed_gini,Observed active-product Gini,-0.13004226819030537,142
baseline,2015,market_benchmark_gini,World-market benchmark Gini,0.29317610768015323,142
baseline,2015,gini_gap,Observed minus benchmark Gini,-0.19648526481010747,142
baseline,2016,observed_theil,Observed fixed-universe Theil,-0.3508063971927931,146
baseline,2016,market_component_theil,Global-market component,0.24591788534024855,146
baseline,2016,specialization_kl,Country-specific specialization (KL),-0.442125456701339,146
baseline,2016,market_component_share,Global-market share of observed Theil,0.3928836532251069,146
baseline,2016,observed_gini,Observed active-product Gini,-0.15700885928296687,146
baseline,2016,market_benchmark_gini,World-market benchmark Gini,0.384327070459738,146
baseline,2016,gini_gap,Observed minus benchmark Gini,-0.2647932673305506,146
baseline,2017,observed_theil,Observed fixed-universe Theil,-0.3052628123050658,143
baseline,2017,market_component_theil,Global-market component,0.2389523621917988,143
baseline,2017,specialization_kl,Country-specific specialization (KL),-0.4124396730030533,143
baseline,2017,market_component_share,Global-market share of observed Theil,0.3729767884697462,143
baseline,2017,observed_gini,Observed active-product Gini,-0.11691536163367149,143
baseline,2017,market_benchmark_gini,World-market benchmark Gini,0.459466003480088,143
baseline,2017,gini_gap,Observed minus benchmark Gini,-0.26525411208509797,143
baseline,2018,observed_theil,Observed fixed-universe Theil,-0.3020273201392036,146
baseline,2018,market_component_theil,Global-market component,0.24219293763797442,146
baseline,2018,specialization_kl,Country-specific specialization (KL),-0.4227603559137401,146
baseline,2018,market_component_share,Global-market share of observed Theil,0.3729671367838586,146
baseline,2018,observed_gini,Observed active-product Gini,-0.11156141247240514,146
baseline,2018,market_benchmark_gini,World-market benchmark Gini,0.312546634147282,146
baseline,2018,gini_gap,Observed minus benchmark Gini,-0.2025527074315792,146
baseline,2019,observed_theil,Observed fixed-universe Theil,-0.33162698622581205,147
baseline,2019,market_component_theil,Global-market component,0.21320901555735217,147
baseline,2019,specialization_kl,Country-specific specialization (KL),-0.4303470370006574,147
baseline,2019,market_component_share,Global-market share of observed Theil,0.3806451125433513,147
baseline,2019,observed_gini,Observed active-product Gini,-0.16583049361914332,147
baseline,2019,market_benchmark_gini,World-market benchmark Gini,0.3635879379519301,147
baseline,2019,gini_gap,Observed minus benchmark Gini,-0.267195067586457,147
baseline,2020,observed_theil,Observed fixed-universe Theil,-0.3394743187846636,144
baseline,2020,market_component_theil,Global-market component,0.21065026927095892,144
baseline,2020,specialization_kl,Country-specific specialization (KL),-0.42600273289928464,144
baseline,2020,market_component_share,Global-market share of observed Theil,0.37652519893899206,144
baseline,2020,observed_gini,Observed active-product Gini,-0.163624306727755,144
baseline,2020,market_benchmark_gini,World-market benchmark Gini,0.4605658709106985,144
baseline,2020,gini_gap,Observed minus benchmark Gini,-0.3429587653725585,144
baseline,2021,observed_theil,Observed fixed-universe Theil,-0.273440643863179,141
baseline,2021,market_component_theil,Global-market component,0.19898540177233612,141
baseline,2021,specialization_kl,Country-specific specialization (KL),-0.39057322659360416,141
baseline,2021,market_component_share,Global-market share of observed Theil,0.34382893103300655,141
baseline,2021,observed_gini,Observed active-product Gini,-0.13238152318164303,141
baseline,2021,market_benchmark_gini,World-market benchmark Gini,0.35824735647930134,141
baseline,2021,gini_gap,Observed minus benchmark Gini,-0.2592448306862451,141
baseline,2022,observed_theil,Observed fixed-universe Theil,-0.36850675108992137,147
baseline,2022,market_component_theil,Global-market component,0.1214893954619982,147
baseline,2022,specialization_kl,Country-specific specialization (KL),-0.4215256632086378,147
baseline,2022,market_component_share,Global-market share of observed Theil,0.3338181625852859,147
baseline,2022,observed_gini,Observed active-product Gini,-0.24578198550801292,147
baseline,2022,market_benchmark_gini,World-market benchmark Gini,0.34890327845318064,147
baseline,2022,gini_gap,Observed minus benchmark Gini,-0.3485065999743104,147
baseline,2023,observed_theil,Observed fixed-universe Theil,-0.34966886140379627,146
baseline,2023,market_component_theil,Global-market component,0.08787367568661855,146
baseline,2023,specialization_kl,Country-specific specialization (KL),-0.4137564709398167,146
baseline,2023,market_component_share,Global-market share of observed Theil,0.33235132503639153,146
baseline,2023,observed_gini,Observed active-product Gini,-0.22756307057541963,146
baseline,2023,market_benchmark_gini,World-market benchmark Gini,0.5097220749424003,146
baseline,2023,gini_gap,Observed minus benchmark Gini,-0.3802319416193497,146
baseline,2024,observed_theil,Observed fixed-universe Theil,-0.3312751785387291,128
baseline,2024,market_component_theil,Global-market component,0.08673434352682659,128
baseline,2024,specialization_kl,Country-specific specialization (KL),-0.3876236037355796,128
baseline,2024,market_component_share,Global-market share of observed Theil,0.3140164347189159,128
baseline,2024,observed_gini,Observed active-product Gini,-0.172673274125618,128
baseline,2024,market_benchmark_gini,World-market benchmark Gini,0.4838342336568393,128
baseline,2024,gini_gap,Observed minus benchmark Gini,-0.3656553286943783,128
noncommodity_broad,2000,observed_theil,Observed fixed-universe Theil,-0.5585707725612824,140
noncommodity_broad,2000,market_component_theil,Global-market component,0.02252738842360762,140
noncommodity_broad,2000,specialization_kl,Country-specific specialization (KL),-0.4482342393562354,140
noncommodity_broad,2000,market_component_share,Global-market share of observed Theil,0.16894885307559424,140
noncommodity_broad,2000,observed_gini,Observed active-product Gini,-0.36173274146640144,140
noncommodity_broad,2000,market_benchmark_gini,World-market benchmark Gini,0.1912531980494632,140
noncommodity_broad,2000,gini_gap,Observed minus benchmark Gini,-0.4069930681594542,140
noncommodity_broad,2001,observed_theil,Observed fixed-universe Theil,-0.5895438095018557,142
noncommodity_broad,2001,market_component_theil,Global-market component,-0.004469908275721881,142
noncommodity_broad,2001,specialization_kl,Country-specific specialization (KL),-0.46562697117087287,142
noncommodity_broad,2001,market_component_share,Global-market share of observed Theil,0.1475237378743522,142
noncommodity_broad,2001,observed_gini,Observed active-product Gini,-0.3072166071866402,142
noncommodity_broad,2001,market_benchmark_gini,World-market benchmark Gini,0.19355562028621665,142
noncommodity_broad,2001,gini_gap,Observed minus benchmark Gini,-0.37974521732388083,142
noncommodity_broad,2002,observed_theil,Observed fixed-universe Theil,-0.5834030992481697,143
noncommodity_broad,2002,market_component_theil,Global-market component,0.06549788239929086,143
noncommodity_broad,2002,specialization_kl,Country-specific specialization (KL),-0.4822384188581371,143
noncommodity_broad,2002,market_component_share,Global-market share of observed Theil,0.21372172428510453,143
noncommodity_broad,2002,observed_gini,Observed active-product Gini,-0.3061820808299682,143
noncommodity_broad,2002,market_benchmark_gini,World-market benchmark Gini,0.3062969893955809,143
noncommodity_broad,2002,gini_gap,Observed minus benchmark Gini,-0.39338126662070316,143
noncommodity_broad,2003,observed_theil,Observed fixed-universe Theil,-0.5673619483964312,144
noncommodity_broad,2003,market_component_theil,Global-market component,0.11572622779519331,144
noncommodity_broad,2003,specialization_kl,Country-specific specialization (KL),-0.49580017683465966,144
noncommodity_broad,2003,market_component_share,Global-market share of observed Theil,0.24478337754199825,144
noncommodity_broad,2003,observed_gini,Observed active-product Gini,-0.29311952415400694,144
noncommodity_broad,2003,market_benchmark_gini,World-market benchmark Gini,0.31320633389598906,144
noncommodity_broad,2003,gini_gap,Observed minus benchmark Gini,-0.41378506550920346,144
noncommodity_broad,2004,observed_theil,Observed fixed-universe Theil,-0.5857130582932202,142
noncommodity_broad,2004,market_component_theil,Global-market component,0.10793791165382415,142
noncommodity_broad,2004,specialization_kl,Country-specific specialization (KL),-0.5133562871051635,142
noncommodity_broad,2004,market_component_share,Global-market share of observed Theil,0.2548853603693281,142
noncommodity_broad,2004,observed_gini,Observed active-product Gini,-0.3620332319762946,142
noncommodity_broad,2004,market_benchmark_gini,World-market benchmark Gini,0.24731606421747268,142
noncommodity_broad,2004,gini_gap,Observed minus benchmark Gini,-0.4101565201355432,142
noncommodity_broad,2005,observed_theil,Observed fixed-universe Theil,-0.5827403044354256,146
noncommodity_broad,2005,market_component_theil,Global-market component,0.05175787839935219,146
noncommodity_broad,2005,specialization_kl,Country-specific specialization (KL),-0.507994562964534,146
noncommodity_broad,2005,market_component_share,Global-market share of observed Theil,0.21550519121205405,146
noncommodity_broad,2005,observed_gini,Observed active-product Gini,-0.3319310152024911,146
noncommodity_broad,2005,market_benchmark_gini,World-market benchmark Gini,0.31260061889659035,146
noncommodity_broad,2005,gini_gap,Observed minus benchmark Gini,-0.3970636152429797,146
noncommodity_broad,2006,observed_theil,Observed fixed-universe Theil,-0.5342427974521908,147
noncommodity_broad,2006,market_component_theil,Global-market component,0.05440917573989981,147
noncommodity_broad,2006,specialization_kl,Country-specific specialization (KL),-0.4653869693008636,147
noncommodity_broad,2006,market_component_share,Global-market share of observed Theil,0.2311993290466872,147
