country,iso3,reporter_code,base_window,future_window,base_year,base_year_2,future_year,future_year_2,horizon,channel_type,channel_type_label,total_positive_expansion_2024_usd,total_net_growth_2024_usd,below_threshold_product_residual_positive_expansion_share,dying_product_cells_positive_expansion_share,existing_product_below_threshold_product_specific_partner_residual_positive_expansion_share,existing_product_lost_product_specific_partner_positive_expansion_share,existing_product_to_existing_product_specific_partner_positive_expansion_share,existing_product_to_new_product_specific_partner_positive_expansion_share,existing_reporter_partner_existing_product_positive_expansion_share,existing_reporter_partner_new_product_positive_expansion_share,lost_reporter_partner_positive_expansion_share,net_new_product_positive_expansion_share,new_reporter_partner_existing_product_positive_expansion_share,new_reporter_partner_new_product_positive_expansion_share,reporter_partner_product_residual_positive_expansion_share,below_threshold_product_residual_net_growth_share,dying_product_cells_net_growth_share,existing_product_below_threshold_product_specific_partner_residual_net_growth_share,existing_product_lost_product_specific_partner_net_growth_share,existing_product_to_existing_product_specific_partner_net_growth_share,existing_product_to_new_product_specific_partner_net_growth_share,existing_reporter_partner_existing_product_net_growth_share,existing_reporter_partner_new_product_net_growth_share,lost_reporter_partner_net_growth_share,net_new_product_net_growth_share,new_reporter_partner_existing_product_net_growth_share,new_reporter_partner_new_product_net_growth_share,reporter_partner_product_residual_net_growth_share
Brazil,BRA,76,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,120687504382.86324,60859483052.64372,,,,,,,0.8343946585990438,0.1153298433956325,4.631452668560342e-06,,3.5490635615429106e-05,1.645503288160063e-06,0.05023373041375146,,,,,,,0.96851629374277,0.22855535180864908,-0.00027209700015283966,,6.472529717358208e-05,3.2631181755200055e-06,-0.1968675369666155
Brazil,BRA,76,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,120687504382.86324,60859483052.64372,0.006428777704387636,0.043795175059239466,0.022682133642498378,0.0015091162044985316,0.6753794077745543,0.13487293401442296,,,,0.11533245560039881,,,,0.011325689436785625,-0.20809033148106162,-0.000701503251685526,-0.1678228283801909,0.8726720943801434,0.264056353142321,,,,0.228560526153688,,,
Burkina Faso,BFA,854,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,2587375139.183696,1174282145.2873824,,,,,,,0.9093294309757816,0.05559823771378103,7.172877456673473e-05,,0.02174943779158365,1.403812406489868e-05,0.013237126620222042,,,,,,,1.0438403206045248,0.12031400583926992,-0.00036942007935163184,,0.04762676608602532,2.8829359936276467e-05,-0.21144050181040458
Burkina Faso,BFA,854,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,2587375139.183696,1174282145.2873824,0.011321888090258483,0.0008152017194464722,0.047909254188887404,0.00025748162182688024,0.7966521499115494,0.08725856169243587,,,,0.05578546277559561,,,,-0.014562666255064706,-0.1975545853283129,0.08034904393132118,-0.031600077446489745,0.8524935022033651,0.1902007086822222,,,,0.12067407421295918,,,
Cambodia,KHM,116,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,16054343381.976467,7875909566.487083,,,,,,,0.7182669142693523,0.2747021007101886,0.00038402530482745524,,0.0005837798229031857,0.0001429612697746474,0.005920218622953585,,,,,,,0.6079865201818895,0.5592359790284952,-0.00021877404399659806,,0.001018595650515954,0.0002752987281447274,-0.1682976195450488
Cambodia,KHM,116,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,16054343381.976467,7875909566.487083,0.005094195851657119,0.0003967547871171044,0.010143157573116244,0.0007416554402855327,0.4855956774507545,0.22313566928974973,,,,0.2748928896073196,,,,0.0007413412636306784,-0.16972796439886498,-0.005709037816782338,-0.1761541832389593,0.3388498845472864,0.4524085518712246,,,,0.5595914077724649,,,
Canada,CAN,124,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,158155651326.67664,30162384469.586296,,,,,,,0.6311655059971352,0.36862459857739377,2.490111647663798e-06,,2.7613405812026834e-06,1.2237969740040698e-07,0.00020452159354489665,,,,,,,1.0069183473828596,1.9315936767736153,-0.00013113366418496705,,1.4441977642470024e-05,6.416946502037753e-07,-1.9383959741645824
Canada,CAN,124,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,158155651326.67664,30162384469.586296,0.00015442622320100256,4.548011731814309e-05,0.01361475576934914,0.004390071257975234,0.5702817877008594,0.042886945139992444,,,,0.3686265337913047,,,,-0.0003677326982110641,-1.9380650407229723,-0.012071151591332143,-0.21901647410082106,1.0158490675980256,0.22206750749962803,,,,1.9316038240156828,,,
China,CHN,156,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,1723299151107.1116,469882950073.08844,,,,,,,0.5170869004417755,0.4827422886769666,1.0947446674739741e-05,,0.00011962443296990596,1.4828471843692687e-05,2.5410529769702383e-05,,,,,,,0.8934689468850443,1.7635092894338193,-0.005131101816389629,,0.00043872348028370166,5.4383528784086556e-05,-1.6523402415115411
China,CHN,156,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,1723299151107.1116,469882950073.08844,1.178663492166871e-05,1.3589388717072035e-05,0.005272996354133971,0.00041516443520408543,0.48275704086184495,0.02877220417418155,,,,0.48275721815099687,,,,-0.007504858525693825,-1.645669676243235,0.0028993129721008016,-0.04593788638521912,0.8290613189299331,0.10358776687347743,,,,1.763564022378637,,,
"China, Hong Kong SAR",HKG,344,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,418769197907.21716,-51052640903.46454,,,,,,,0.18297657057142275,0.816867876926304,9.916193769929201e-07,,5.669633670979527e-06,1.5690300187398185e-06,0.00014732221920653942,,,,,,,1.0573082868606936,-6.700378960184059,6.109278279763803e-05,,-4.153871810246011e-05,-1.287027332596677e-05,6.643063989531995
"China, Hong Kong SAR",HKG,344,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,418769197907.21716,-51052640903.46454,0.00010950972664184198,3.766469051656714e-05,0.0021487550469016545,0.0002009640764999239,0.1687726275772717,0.0118606455005852,,,,0.8168698333815833,,,,0.0009001955787047897,6.642184758720375,0.006809770658886002,0.11109244511127606,1.034591288372927,-0.09518345005387574,,,,-6.700395008388295,,,
Costa Rica,CRI,188,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,11151959178.095493,5547283109.233421,,,,,,,0.47939472231961006,0.5143847561570576,3.5455744534451166e-05,,0.0004075993352814946,5.444343717652265e-05,0.005723023006339915,,,,,,,0.6067083059467251,1.0331349984328246,-0.00015293984762284276,,0.0007856669600897973,0.00010945015369725546,-0.6405854816457138
Costa Rica,CRI,188,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,11151959178.095493,5547283109.233421,0.004814886907701617,0.0006545016603531252,0.011675830748792746,0.0004160862943791028,0.42316872343853623,0.044779908010256206,,,,0.514490062939981,,,,0.002252608425591014,-0.6429245185328117,-0.004354769266775624,-0.07451202602295813,0.5967515583794765,0.08944067228862262,,,,1.0333464747288554,,,
Croatia,HRV,191,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,13560221618.4039,4787517813.584524,,,,,,,0.6368949415998287,0.35014790837748383,0.00022604464152067814,,0.000615067490127046,5.763861219577545e-05,0.012058399278844001,,,,,,,0.7138038367436375,0.9712450649549113,-0.0001492254349138899,,-0.0015130208594835365,0.0001632562813519344,-0.683549911685503
Croatia,HRV,191,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,13560221618.4039,4787517813.584524,0.010200537814907562,0.001721974677235607,0.05428797085362244,0.004311635160576995,0.4589510836780067,0.12020110419348247,,,,0.3503256936221682,,,,0.014589510550352867,-0.6981397818526552,0.01609791753229971,-0.26067196411313603,0.6279451055711834,0.3284310177631484,,,,0.9717481945488068,,,
Czech Republic,CZE,203,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,106312190356.61697,18501820785.678432,,,,,,,0.4936232463218263,0.5058157736312692,2.8204042159346458e-05,,2.562030193288744e-05,1.8178642974291782e-06,0.0005053378385147819,,,,,,,0.4664634642692953,2.8984938299705325,-0.00026738999253903516,,0.00013812221073596813,1.0030171882455957e-05,-2.364838056629907
Czech Republic,CZE,203,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,106312190356.61697,18501820785.678432,0.0003271126691458856,0.00016005125626423358,0.01529748854733712,0.0021501398877358507,0.4328380821547317,0.04338326350692104,,,,0.5058438619778641,,,,-0.004177913218385543,-2.3608217577271247,0.00986866046770467,-0.3683184776409516,0.5823572407937548,0.24243744176124238,,,,2.8986548055637598,,,
Denmark,DNK,208,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,56589486586.51265,5334838751.365815,,,,,,,0.5328230208219351,0.44494781124334637,1.625285565618628e-06,,2.6400706841298334e-05,1.6856324561440568e-06,0.022199456309855255,,,,,,,0.724649106366002,4.716733104029362,-9.618739215414616e-05,,0.00018072420461500018,1.7880404584362206e-05,-4.441484627612408
Denmark,DNK,208,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,56589486586.51265,5334838751.365815,0.009916691570524013,0.01226676507392586,0.043642772456982545,0.003152074714152855,0.3024891954809329,0.1835808017673784,,,,0.44495169893610326,,,,0.09595323002214978,-4.537605486135555,0.13972293055451507,-0.7365088130606603,-0.5657524015596964,1.8874161973144925,,,,4.716774342864755,,,
Egypt,EGY,818,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,25275411719.34864,7444489537.570219,,,,,,,0.8064322072859668,0.17863313395216504,2.661588289202784e-06,,0.005068216027529282,0.0008420605385154034,0.009021720607534122,,,,,,,0.6950916149496669,0.5963616640128585,-0.00019757455516046166,,0.017196786886629605,0.0028589504621078263,-0.3113114417561021
Egypt,EGY,818,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,25275411719.34864,7444489537.570219,0.004753824401786398,0.004227745384566299,0.06270608148513578,0.017631532010905265,0.4232484358191849,0.30795433062366684,,,,0.17947805027475433,,,,0.0048376317373328565,-0.314469163946423,0.07054173966271148,-0.615183730559233,0.2787882762228323,0.9762560313704068,,,,0.5992292155123726,,,
Finland,FIN,246,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,34279322781.506863,-7622272546.69376,,,,,,,0.5265795186527958,0.47038894631978684,1.6582956212609234e-06,,0.0009798351160754013,8.001243568893211e-06,0.0020420403721514912,,,,,,,0.6788134931307461,-2.112317531469774,0.00011558241834031827,,-0.002014127725381414,-3.59836530734547e-05,2.4354385672991428
Finland,FIN,246,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,34279322781.506863,-7622272546.69376,0.001643403109466091,0.00037710037176329154,0.08237816319976364,0.0021010234110410463,0.33581427151786114,0.10728585928331472,,,,0.4704001791067899,,,,0.022288395528583332,2.4127173569007914,-0.0902488572687722,0.7551687343602596,0.47762735029758496,-0.4651849377580481,,,,-2.1123680420603987,,,
France,FRA,251,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,286410728774.6356,7420282485.474144,,,,,,,0.5152375687930846,0.4846913626106893,5.339933737464403e-07,,9.350560885898677e-07,4.393190846482069e-07,6.91602276795614e-05,,,,,,,3.616757527792225,18.707860497678062,-0.001438011673941696,,2.818152339589115e-05,1.6956995834729157e-05,-21.323225152315576
