model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,turning_point_log_income_pc,turning_point_ppp_constant_2021_intl_usd
mechanical_variant_common_sample,rd2_countries,Exports,product,standard_hs6,product_gini,log_income_pc,-0.012203329112795576,0.03456908364029823,-0.3530128029939962,0.7254531649538347,-0.08151016891487009,0.057103510689278936,1375,55,0.6071954886346718,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",-12.471763168170543,3.833381798828147e-06
mechanical_variant_common_sample,rd2_countries,Exports,product,standard_hs6,product_gini,log_income_pc_sq,-0.0004892383277426225,0.0018885558923948155,-0.25905419570200566,0.7965784175152454,-0.0042755649209905,0.0032970882655052555,1375,55,0.6071954886346718,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",-12.471763168170543,3.833381798828147e-06
mechanical_variant_common_sample,rd2_countries,Exports,product,standard_hs6,product_gini,log_population,-0.015057047938895524,0.0018819847988304792,-8.000621444048017,9.841841524097694e-11,-0.01883020028275552,-0.01128389559503553,1375,55,0.6071954886346718,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",-12.471763168170543,3.833381798828147e-06
mechanical_variant_common_sample,rd2_countries,Exports,product,standard_hs6,product_gini,oil_export_share,0.07728198539727123,0.014673896869411566,5.266629995088025,2.4755739689638414e-06,0.047862593486780416,0.10670137730776204,1375,55,0.6071954886346718,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",-12.471763168170543,3.833381798828147e-06
mechanical_variant_common_sample,rd2_countries,Exports,product,harmonized_world_relative_hs6_family,world_relative_product_gini,log_income_pc,0.04614995108218525,0.10975403012170155,0.42048525262363073,0.6757996459377377,-0.1738936307039823,0.2661935328683528,1375,55,0.6990540595062571,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",3.3569145847691964,28.700501163879572
mechanical_variant_common_sample,rd2_countries,Exports,product,harmonized_world_relative_hs6_family,world_relative_product_gini,log_income_pc_sq,-0.006873864365148611,0.005950221506894481,-1.155228314976831,0.2530832168000777,-0.018803340224452486,0.005055611494155262,1375,55,0.6990540595062571,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",3.3569145847691964,28.700501163879572
mechanical_variant_common_sample,rd2_countries,Exports,product,harmonized_world_relative_hs6_family,world_relative_product_gini,log_population,-0.04826726671826501,0.005678117868502566,-8.500574985597131,1.5480054015270252e-11,-0.05965120762871633,-0.0368833258078137,1375,55,0.6990540595062571,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",3.3569145847691964,28.700501163879572
mechanical_variant_common_sample,rd2_countries,Exports,product,harmonized_world_relative_hs6_family,world_relative_product_gini,oil_export_share,0.09699078353787262,0.04933300864900448,1.9660423354258538,0.05444370928015128,-0.0019159437265187373,0.19589751080226397,1375,55,0.6990540595062571,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",3.3569145847691964,28.700501163879572
mechanical_variant_common_sample,rd2_countries,Exports,product,native_hs6_excluding_section16,product_gini_no_section16,log_income_pc,-0.024510230249242322,0.032192144777070934,-0.7613730125462126,0.4497466449193174,-0.08905159455514317,0.04003113405665853,1375,55,0.5974461673213178,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",39.88498215939365,2.0981071444924054e+17
mechanical_variant_common_sample,rd2_countries,Exports,product,native_hs6_excluding_section16,product_gini_no_section16,log_income_pc_sq,0.0003072613916597893,0.0017504521894982474,0.17553258152561324,0.8613177423586642,-0.0032021839480286824,0.003816706731348261,1375,55,0.5974461673213178,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",39.88498215939365,2.0981071444924054e+17
