model_label,outcome,term,coef,std_error,t_stat,p_value,nobs,candidate_rows,clusters,reporter_clusters,product_clusters,fixed_effects,cluster_col,se_method,status,screen,prody_spec,mismatch_definition,threshold_definition
old_cone_exit_hs4_lpm,exit_next_window,mismatch_x_rich_side,0.03369847539929701,0.005935562384115679,5.677385430145327,6.678333186765948e-08,1464385,1498259,154,154,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,baseline,screen_full_level,mismatch_world_broad_full_level,screen_income_p75
old_cone_exit_hs4_lpm,exit_next_window,mismatch_log_income_minus_prody,-0.0012555821978865688,0.007286587681418474,-0.17231415482564338,0.863528683065092,1247167,1273562,104,104,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_a,screen_full_level,mismatch_world_broad_full_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,rich_side_ct,-0.013109026827303505,0.007133542003063047,-1.8376602845647596,0.06899501353980482,1247167,1273562,104,104,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_a,screen_full_level,mismatch_world_broad_full_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,mismatch_x_rich_side,0.02602453794885411,0.005051498533092899,5.151845096730133,1.2472653295253697e-06,1247167,1273562,104,104,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_a,screen_full_level,mismatch_world_broad_full_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,mismatch_log_income_minus_prody,-0.0012555821978865688,0.007409882311568876,-0.16944698243402026,0.8657774178423562,1247167,1273562,104,104,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_a,screen_full_level,mismatch_world_broad_full_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,rich_side_ct,-0.013109026827303505,0.007259064027184829,-1.8058838960795578,0.07385721148890252,1247167,1273562,104,104,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_a,screen_full_level,mismatch_world_broad_full_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,mismatch_x_rich_side,0.02602453794885411,0.005733268406704513,4.539214999671198,1.535228975242002e-05,1247167,1273562,104,104,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_a,screen_full_level,mismatch_world_broad_full_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,mismatch_log_income_minus_prody,0.005444462822034874,0.007350830890695969,0.7406595122363641,0.46058504408859635,1247167,1273562,104,104,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_a,screen_loo_level,mismatch_world_broad_loo_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,rich_side_ct,-0.011917989229379668,0.007131156257504626,-1.6712562169476395,0.09770678903385462,1247167,1273562,104,104,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_a,screen_loo_level,mismatch_world_broad_loo_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,mismatch_x_rich_side,0.023071566388001803,0.0047723420303524555,4.834432704375525,4.6820853701180846e-06,1247167,1273562,104,104,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_a,screen_loo_level,mismatch_world_broad_loo_level,fixed_39308
