rich_side_ct,mismatch_decile,rows,exit_rate,median_mismatch,countries,screen
0,0,146439,0.20756082737522108,-1.8206313320784508,91,baseline
0,1,146436,0.1440492775000683,-1.07175382756449,118,baseline
0,2,146223,0.11797049711741654,-0.6660478792927268,122,baseline
0,3,142998,0.10932320731758487,-0.34100896783113127,122,baseline
0,4,122658,0.10346654926706778,-0.06600609281211486,118,baseline
0,5,82139,0.10185173912514153,0.18031783369638849,110,baseline
0,6,53326,0.10617709935116078,0.41076588395323527,106,baseline
0,7,39621,0.11029504555664925,0.6465881784564025,100,baseline
0,8,30260,0.12838730998017184,0.9516636235295837,95,baseline
0,9,21388,0.15994950439498784,1.4669264793831935,87,baseline
1,1,2,0.0,-0.868734878724517,2,baseline
1,2,216,0.032407407407407406,-0.5945391995723094,23,baseline
1,3,3440,0.03866279069767442,-0.26229136089387467,35,baseline
1,4,23781,0.043017535006938314,-0.01085256813381554,39,baseline
1,5,64299,0.03861646370861133,0.2120035860512151,41,baseline
1,6,93112,0.039694131798264455,0.4261814880881413,42,baseline
1,7,106818,0.044533692823306936,0.6578169235613283,43,baseline
1,8,116178,0.05860834237118904,0.9687259514821489,43,baseline
1,9,125051,0.09032314815555254,1.536712795195029,43,baseline
0,0,124717,0.20791872800019243,-1.8552209082926658,57,screen_a
0,1,124717,0.13071994996672467,-1.0924817727338725,75,screen_a
0,2,124693,0.09585943076195136,-0.6580080256477847,84,screen_a
0,3,122712,0.08911923854227785,-0.32508452039420876,85,screen_a
0,4,103891,0.08045932756446661,-0.04848997691759575,81,screen_a
0,5,67931,0.07950714695794261,0.19722527381507515,77,screen_a
0,6,44513,0.08624446790825152,0.41943971016558657,70,screen_a
0,7,35510,0.08839763446916361,0.6493125801356066,69,screen_a
0,8,29243,0.10460623055090107,0.9503213138522971,66,screen_a
0,9,22073,0.13736238843836363,1.4673904381066607,59,screen_a
1,2,23,0.0,-0.5118826286683625,8,screen_a
1,3,2005,0.03291770573566085,-0.23146402783081813,21,screen_a
1,4,20826,0.03802938634399308,0.009627417618642426,26,screen_a
1,5,56785,0.029004138416835433,0.22590144468225842,28,screen_a
1,6,80204,0.02479926188220039,0.4335609801378315,28,screen_a
1,7,89206,0.028641571194762683,0.6554512442436262,28,screen_a
1,8,95474,0.03562226365293169,0.9615867241827737,28,screen_a
1,9,102644,0.05674954210669888,1.5548451564382038,28,screen_a
0,0,116098,0.21266516219056314,-1.824047387737962,54,screen_b
0,1,116097,0.1353954021206405,-1.0783236790930846,75,screen_b
0,2,116086,0.09861654290784419,-0.6515055534600889,84,screen_b
0,3,115285,0.09039337294530946,-0.3275418039720539,85,screen_b
0,4,105200,0.08309885931558936,-0.0569133491077059,81,screen_b
0,5,76979,0.07880071188246145,0.1823189134872786,77,screen_b
0,6,52910,0.0827064827064827,0.4082311590072552,71,screen_b
0,7,40917,0.08549013857320918,0.6399517707387226,71,screen_b
0,8,33828,0.10177959087146743,0.9340943547767215,66,screen_b
0,9,26600,0.13342105263157894,1.4480388339532848,61,screen_b
1,2,11,0.0,-0.5552964813310212,9,screen_b
1,3,813,0.03690036900369004,-0.2318453977919412,19,screen_b
1,4,10897,0.04358997889327338,0.0015422821738978946,23,screen_b
1,5,39118,0.03164783475637814,0.21517841436300605,24,screen_b
1,6,63188,0.02785338988415522,0.42561814616711935,24,screen_b
1,7,75180,0.028318701782388933,0.6482317976849521,24,screen_b
1,8,82269,0.03619832500698927,0.9454749831747348,24,screen_b
1,9,89498,0.05584482334800778,1.5213684743135674,24,screen_b
0,0,108152,0.2170093941859605,-1.8361227681271797,52,screen_c
0,1,108151,0.13845456815008644,-1.1057231934445693,70,screen_c
0,2,108151,0.09880629860103005,-0.6688333405064015,75,screen_c
0,3,107789,0.08570447819350768,-0.3314714387534289,80,screen_c
0,4,99203,0.07266917331129098,-0.05704993283008805,76,screen_c
0,5,73213,0.07112124895851829,0.18126393224229592,72,screen_c
0,6,50129,0.07478704941251571,0.40362506376206614,66,screen_c
0,7,40200,0.07840796019900498,0.6327232454280988,67,screen_c
0,8,35729,0.09177418903411794,0.9311116823783225,61,screen_c
0,9,28314,0.12202444020625838,1.4531744295104576,56,screen_c
1,3,362,0.04696132596685083,-0.21678219513366176,11,screen_c
1,4,8948,0.0424675905230219,0.004758510790437803,19,screen_c
1,5,34938,0.027906577365619096,0.21536688215776967,21,screen_c
1,6,58022,0.024559649788011444,0.42065670647452125,21,screen_c
1,7,67951,0.02494444526202705,0.6376132401019848,21,screen_c
1,8,72422,0.033870923200132554,0.9418796526892482,21,screen_c
1,9,79838,0.052932187680052104,1.543749437312336,21,screen_c
