model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,variant,model_description,outcome_sd,outcome_label,bh_q_value,effect_of_population_doubling,effect_of_population_doubling_sd,doubling_ci_low_sd,doubling_ci_high_sd
main_year_fe,cadot_broad_156,Exports,product,observed_theil,observed_theil,log_population,-0.3768385879528048,0.040220551796626036,-9.369304276536964,8.667983437735083e-17,-0.45629380772229305,-0.2973833681833165,3589,155,0.3439483501925049,ok,3589,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Main cross-country size gradient,1.558289463176002,Observed fixed-universe Theil,2.022529468804853e-16,-0.2612046047656776,-0.16762264710005015,-0.20296535002235777,-0.13227994417774255
main_year_fe,cadot_broad_156,Exports,product,observed_theil,observed_theil,log_gdp_per_capita,-0.5026229012002513,0.061043638776813416,-8.233829294448379,7.23446311350768e-14,-0.6232138806344976,-0.3820319217660051,3589,155,0.3439483501925049,ok,3589,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Main cross-country size gradient,1.558289463176002,Observed fixed-universe Theil,,,,-0.2772135437322367,-0.16993270872556462
main_year_fe,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_population,0.1767137054779433,0.044342735013435726,3.9851783031515655,0.00010379375992205696,0.08911516198982855,0.26431224896605804,3589,155,0.1405205383441026,ok,3589,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Main cross-country size gradient,1.2851931007184998,Global-market component,0.00010379375992205696,0.12248860671833696,0.09530755078739413,0.048062756673576436,0.14255234490121182
main_year_fe,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_gdp_per_capita,0.2794551391687159,0.05729354003285062,4.877602937582206,2.6533579692120998e-06,0.16627243502033584,0.39263784331709595,3589,155,0.1405205383441026,ok,3589,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Main cross-country size gradient,1.2851931007184998,Global-market component,,,,0.08967622801176738,0.21176258565676337
main_year_fe,cadot_broad_156,Exports,product,specialization_kl,specialization_kl,log_population,-0.5535522934307469,0.042093433909996404,-13.15056154872859,5.8701849492642365e-27,-0.636707369449663,-0.47039721741183066,3589,155,0.6341807183617878,ok,3589,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Main cross-country size gradient,1.7404818126700905,Country-specific specialization (KL),4.109129464484966e-26,-0.3836932114840137,-0.22045229584754242,-0.25356881914136276,-0.1873357725537221
main_year_fe,cadot_broad_156,Exports,product,specialization_kl,specialization_kl,log_gdp_per_capita,-0.7820780403689667,0.052201949826854874,-14.981778323663935,7.098111142150308e-32,-0.8852023688680225,-0.6789537118699108,3589,155,0.6341807183617878,ok,3589,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Main cross-country size gradient,1.7404818126700905,Country-specific specialization (KL),,,,-0.3525319953010955,-0.27039343225963575
main_year_fe,cadot_broad_156,Exports,product,market_component_share,market_component_share,log_population,0.06323716482751104,0.00635060596912163,9.957658392756109,2.4273231063239375e-18,0.050691618573013575,0.07578271108200851,3589,155,0.507990415601209,ok,3589,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Main cross-country size gradient,0.2382026492751232,Global-market share of observed Theil,8.495630872133781e-18,0.04383266250679382,0.18401416877680168,0.1475078157141808,0.22052052183942258
main_year_fe,cadot_broad_156,Exports,product,market_component_share,market_component_share,log_gdp_per_capita,0.1007978104966627,0.008136892033269049,12.387753221320123,6.845149179901135e-25,0.08472347745386678,0.11687214353945861,3589,155,0.507990415601209,ok,3589,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Main cross-country size gradient,0.2382026492751232,Global-market share of observed Theil,,,,0.24653730637795604,0.3400868841169234
main_year_fe,cadot_broad_156,Exports,product,observed_gini,observed_gini,log_population,-0.0059737246871091835,0.0013916743669857535,-4.292473030201566,3.112402226906327e-05,-0.008722960780028533,-0.003224488594189834,3589,155,0.1656994488234831,ok,3589,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Main cross-country size gradient,0.040648101428985846,Observed active-product Gini,3.631135931390715e-05,-0.0041406704243110715,-0.10186626874923096,-0.14874730819531443,-0.05498522930314752
main_year_fe,cadot_broad_156,Exports,product,observed_gini,observed_gini,log_gdp_per_capita,-0.009806175036397573,0.001892931951509678,-5.18041603586268,6.839845502297641e-07,-0.013545639501639062,-0.0060667105711560846,3589,155,0.1656994488234831,ok,3589,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Main cross-country size gradient,0.040648101428985846,Observed active-product Gini,,,,-0.23098549500142773,-0.10345190008484416
