window,flow,min_partner_active_count_required,original_rows,kept_rows,dropped_rows,original_country_flows,eligible_country_flows,countries,median_abs_slope_per_decade,share_stable_slope_10yr_0p02,median_abs_endpoint_change,share_stable_endpoint_0p05,country_flows_with_low_partner_warning
balanced_2001_2021,Exports,10,1239,1239,0,59,59,59,0.0068750898178278515,0.8135593220338984,0.014507087187567436,0.8813559322033898,0
balanced_2001_2021,Imports,10,1260,1258,2,60,60,60,0.004686487764659769,0.8833333333333333,0.011188895977780722,0.9333333333333333,0
main_2000_2024,Exports,10,1491,1490,1,60,60,60,0.008454766654044784,0.85,0.013563481033885327,0.8666666666666667,0
main_2000_2024,Imports,10,1492,1489,3,60,60,60,0.0046523338674060895,0.9,0.01279950082136705,0.8833333333333333,0
