reporter_code,country,iso3,year,top_export_sectors,top_export_value_share,weighted_top_sector_input_product_gini,weighted_top_sector_top_supplier_share,weighted_top_sector_source_hhi,median_top_sector_matched_requirement_share,total_exports
36,Australia,AUS,1988,10,0.869576472751114,,,,0.0,32082415537.0
36,Australia,AUS,1989,10,0.8671977169952961,,,,0.0,35604563348.0
36,Australia,AUS,1990,10,0.8496076246904396,,,,0.0,38424274496.0
36,Australia,AUS,1991,10,0.833249855206388,,,,0.0,40249311881.0
36,Australia,AUS,1992,10,0.8253311046586436,,,,0.0,41549785214.0
36,Australia,AUS,1993,10,0.8149025703919002,,,,0.0,41359239030.0
36,Australia,AUS,1994,10,0.8155884774595825,,,,0.0,45918106913.0
36,Australia,AUS,1995,10,0.8051510189962906,0.77230845038582,0.31632271762932546,0.17406787125551354,0.04173403300645003,51620939428.0
36,Australia,AUS,1996,10,0.8003090744785271,0.7723535299687089,0.3141475568846574,0.16837578538243517,0.04524135156413526,58497466650.0
36,Australia,AUS,1997,10,0.798248655306552,0.7723479262316008,0.2858134026831114,0.14188267927717346,0.04728011307339564,61101813481.0
36,Australia,AUS,1998,10,0.8095644813120666,0.787353691094786,0.2859672652756053,0.144222982904798,0.06102873513621808,53073552411.0
36,Australia,AUS,1999,10,0.7960304172757818,0.781994389759795,0.27336236554782317,0.14303217947910393,0.06848066596925559,52952693974.0
36,Australia,AUS,2000,10,0.8210059579670401,0.7883634043512112,0.2970212401136238,0.14273657005804377,0.03290956508000211,60320486768.0
36,Australia,AUS,2001,10,0.8270096791173751,0.7874953843445076,0.27317919502042715,0.13884322207448654,0.02594168030256224,59713975934.0
36,Australia,AUS,2002,10,0.8176044889732209,0.7736604784321928,0.30511725865782,0.16650088192872456,0.02623654843846536,60989030527.0
36,Australia,AUS,2003,10,0.8113817609845589,0.7832638502175023,0.30873717528472616,0.16143664662676682,0.025405500137911055,64433219446.0
36,Australia,AUS,2004,10,0.8293373032328706,0.777576920709436,0.2988651812141292,0.15557681700522136,0.0527065404210245,80301330804.0
36,Australia,AUS,2005,10,0.8440547500421656,0.7725678296678026,0.2677055857582045,0.1366572687969223,0.022257084671859356,98880093784.0
36,Australia,AUS,2006,10,0.8575102721600378,0.7810483203119357,0.27214477152662675,0.13525424143803583,0.02390108252720632,114712202513.0
36,Australia,AUS,2007,10,0.8532075150141469,0.7668626572658385,0.22724098140054153,0.1156869517237124,0.028249673634540257,131937503966.0
36,Australia,AUS,2008,10,0.8839659038563839,0.7653000443135827,0.29694968136121763,0.15412936750998127,0.028372850378673455,179125416199.0
36,Australia,AUS,2009,10,0.8890111303982641,0.7926895427111578,0.30592829388410525,0.17417570980510633,0.03030975694413485,146409790498.0
36,Australia,AUS,2010,10,0.9019700773350451,0.7893110686867836,0.30805075879411864,0.16145870184715358,0.027955503735462427,201899028949.0
36,Australia,AUS,2011,10,0.912955489965307,0.7856234840482971,0.274708043552652,0.1362938082714044,0.02946271473599081,258672490201.0
36,Australia,AUS,2012,10,0.9111598037551549,0.7995226140827856,0.27962126327056175,0.13619441988912395,0.03006311010796298,246460368161.0
36,Australia,AUS,2013,10,0.9132230070675039,0.7952535746258897,0.29318605992520447,0.1512588401429824,0.027801759462238337,243507023808.0
36,Australia,AUS,2014,10,0.9117648922232958,0.7795865485635742,0.28973233625858325,0.1484544694548152,0.028879373025450357,232496818873.0
36,Australia,AUS,2015,10,0.9018134202969212,0.7832638148130995,0.3151643120639835,0.16598223305552542,0.046004914052615295,180696783121.0
36,Australia,AUS,2016,10,0.9013265418154149,0.79286279803364,0.3175063568987141,0.16311601380763718,0.045915027236326116,182301972384.0
36,Australia,AUS,2017,10,0.9118753382192553,0.7805733805039821,0.3151910058788945,0.16259090980658902,0.048007386983236436,222153450799.90497
36,Australia,AUS,2018,10,0.9120446737257761,0.7838580928329907,0.33218900034403887,0.17663993396836333,0.044595968770681255,248436073180.013
36,Australia,AUS,2019,10,0.9217112178452149,0.7855779115260445,0.3476142304372651,0.18891809214860603,0.051151890859630705,262504748500.113
36,Australia,AUS,2020,10,0.9282344221993345,0.811295326954082,0.33711118706731275,0.17613660193609987,0.046590692754843385,228413140071.548
36,Australia,AUS,2021,10,0.9412693814170318,0.788732394110212,0.32591424714941813,0.1699156197101709,0.029573783297233446,330670776190.784
36,Australia,AUS,2022,10,0.9432199550455909,0.7749950441281142,0.3270996003542131,0.16549982148833828,0.03302493367219333,398085590812.689
36,Australia,AUS,2023,10,0.9328284060693677,,,,0.0,358678150837.61005
36,Australia,AUS,2024,10,0.9239037023671783,,,,0.0,332797921577.225
36,Australia,AUS,2025,10,0.9239463970591428,,,,0.0,329885127635.969
40,Austria,AUT,1994,10,0.7560158277442721,,,,0.0,45072184623.0
40,Austria,AUT,1995,10,0.749892725169326,0.682854038232377,0.4939288863678232,0.2806535007237565,0.12492307704472351,53012129819.0
40,Austria,AUT,1996,10,0.7484840423061725,0.674050711990634,0.48289886650155944,0.2712336923239136,0.14151268626239666,53532805256.0
40,Austria,AUT,1997,10,0.7330492275696957,0.6995489476721284,0.48097350651709303,0.26940275973022937,0.1535365900349708,52854901432.0
40,Austria,AUT,1998,10,0.7417054380921302,0.7014657733932838,0.4784140972611255,0.26847371937233105,0.15975366951618836,56930487860.0
40,Austria,AUT,1999,10,0.7325930339391009,0.708891521414534,0.4678010884356517,0.26094968190138595,0.14540850520630305,56228378488.0
40,Austria,AUT,2000,10,0.7275200237252022,0.7094571006232026,0.45434553692419466,0.24956913927261648,0.15996190035092256,57945024878.0
40,Austria,AUT,2001,10,0.732447162092752,0.7011321858242353,0.4446293923680108,0.2377558051228988,0.16117711389921333,60584259800.0
40,Austria,AUT,2002,10,0.7177113944204988,0.6982360314413968,0.44653002063334535,0.23814077257481275,0.15666068311585327,67129422132.0
40,Austria,AUT,2003,10,0.7064811268719761,0.7133628466922116,0.4586470753776425,0.2553290258148242,0.15574018589132868,85336892245.0
40,Austria,AUT,2004,10,0.7120647732103991,0.703894443073321,0.4530774598046486,0.2419891258187628,0.16826982047444883,106313173943.0
40,Austria,AUT,2005,10,0.710850252181102,0.705202586196706,0.46827270463407145,0.2554555996442208,0.1572783508076121,113109770604.0
40,Austria,AUT,2006,10,0.6994761670074927,0.7160082836835103,0.4620718844754633,0.25310643078701767,0.1700325799717432,129778268594.0
40,Austria,AUT,2007,10,0.7203646664132165,0.7045682941012051,0.4611992573487521,0.2506232560294543,0.17083640812228862,151415400593.0
40,Austria,AUT,2008,10,0.7208118545811613,0.7143361025885674,0.44845067305213226,0.23820993244302902,0.18691053052339857,165952142522.0
40,Austria,AUT,2009,10,0.7055306331049056,0.7122275937170602,0.45862305813788024,0.24911028181768552,0.17072353086205538,126482565184.0
40,Austria,AUT,2010,10,0.7029228634518252,0.7226683173703674,0.4382850247187221,0.22712518169404455,0.19109695599375717,139436329619.0
40,Austria,AUT,2011,10,0.7113608606375272,0.7185254729796156,0.42663274822171543,0.21766148873125962,0.20358194055087175,162871703882.0
40,Austria,AUT,2012,10,0.7184617592873282,0.7199166359439692,0.4206049570205204,0.21529730501714225,0.19664014296749827,152592064201.108
40,Austria,AUT,2013,10,0.7258979269682153,0.7138839091236726,0.4287185096172605,0.22126408630860053,0.19943602060271232,159885624242.47
40,Austria,AUT,2014,10,0.7362359863078699,0.7149381915933358,0.4255936770281086,0.22005100972305255,0.18664298552868264,164061891407.058
40,Austria,AUT,2015,10,0.7380380035475202,0.7297644740672516,0.41211183709995625,0.21002983040294707,0.19716341348772715,140637580975.602
40,Austria,AUT,2016,10,0.7381072851507571,0.7274230884685494,0.42320923099251895,0.21643984199147545,0.1946768494319005,140079284173.269
40,Austria,AUT,2017,10,0.7432345624493728,0.7270326191140476,0.4138505133504828,0.2080576216910864,0.2102768484830341,154711605020.46298
40,Austria,AUT,2018,10,0.7408471793819063,0.7285637126597606,0.40608908891834505,0.20086216160529818,0.21157516409212232,167613103419.698
40,Austria,AUT,2019,10,0.7466591034301868,0.7286580266199211,0.4017171512633227,0.1964853696167392,0.20952660016694474,162968414586.445
40,Austria,AUT,2020,10,0.7436858007123572,0.7327025880806097,0.40240626522411427,0.19837179501203997,0.199063052911938,154699017685.926
40,Austria,AUT,2021,10,0.7348670669211536,0.7411726371201607,0.38871954583757967,0.19099963638542689,0.21289733473785083,185368289406.414
40,Austria,AUT,2022,10,0.7194714997654477,0.7363881167660427,0.36850008214385505,0.18686428222690088,0.21949143644352725,192712470812.498
40,Austria,AUT,2023,10,0.7510350042827734,,,,0.0,206546071694.664
40,Austria,AUT,2024,10,0.7530453782089371,,,,0.0,196833236914.60098
56,Belgium,BEL,1999,10,0.7668669417516607,0.7505497974204405,0.2515280498208028,0.13643322900311972,0.17377063151179278,171280053138.0
56,Belgium,BEL,2000,10,0.76378365633869,0.7436645126297996,0.26304696383723475,0.14750255209842955,0.19909110898007581,180110550187.0
56,Belgium,BEL,2001,10,0.7730835433670912,0.7535083171893763,0.2396651764330354,0.12983988880537686,0.1844853040493247,182747903102.0
56,Belgium,BEL,2002,10,0.7822861879896265,0.7692557592610654,0.2666565367352049,0.1507399565352724,0.17357038794346152,208848371939.0
56,Belgium,BEL,2003,10,0.780430046089269,0.7495598559798519,0.27147455806498577,0.16126187391052207,0.17322879135746969,248173845230.0
56,Belgium,BEL,2004,10,0.7745830600245512,0.7572091070389482,0.27159725848971067,0.16342851096902852,0.1751031525409018,299674676470.0
56,Belgium,BEL,2005,10,0.7715224289557387,0.7587156986720979,0.282875279290011,0.16890233766531684,0.18464876989032547,327749971228.0
56,Belgium,BEL,2006,10,0.7697883722717823,0.7739292027219268,0.24149610220871803,0.1351655890852248,0.18536326629538213,357966580599.0
56,Belgium,BEL,2007,10,0.7778373854913616,0.7626386315407127,0.23370707371373478,0.1296015730783557,0.1941352676437196,421734489636.0
56,Belgium,BEL,2008,10,0.7752235872952975,0.7229592103240808,0.25281570601397757,0.15244612434625926,0.1812753295842125,460698013221.0
56,Belgium,BEL,2009,10,0.7820562666421803,0.7555278202244546,0.23329764421382662,0.1259354988679269,0.1635880124227253,362427551988.0
56,Belgium,BEL,2010,10,0.7446814006813315,0.7535478395129782,0.28522130996567413,0.16605537950670757,0.22436681683780568,266672514179.611
56,Belgium,BEL,2011,10,0.7577436002240749,0.7732255780362507,0.25201367897218063,0.13702610807063267,0.23585761293747948,319752099224.274
56,Belgium,BEL,2012,10,0.7637647109943763,0.7555640315324876,0.2617127671864584,0.146977179321239,0.24857361841633108,298273831776.757
56,Belgium,BEL,2013,10,0.7671823222145177,0.7482331497435885,0.25844321651194735,0.14918267681774544,0.2169919635433265,308790992842.971
56,Belgium,BEL,2014,10,0.7753033743848483,0.7421873875181557,0.2676866081250914,0.14933648160772592,0.2127306725112963,308225273983.135
56,Belgium,BEL,2015,10,0.7613748088212733,0.6997324188598535,0.2718729586925672,0.15070347874214354,0.20195050911866963,244883141553.16
56,Belgium,BEL,2016,10,0.7827342267068464,0.7225245145911038,0.25724536997294134,0.1499271726205589,0.195319978443188,262934860745.414
56,Belgium,BEL,2017,10,0.7815280883377178,0.7198929260182575,0.2831991573788529,0.16030061447492286,0.19735038688528528,286769151099.026
56,Belgium,BEL,2018,10,0.7812792080197912,0.7345979598733055,0.3041301683645749,0.17325732739347782,0.205146681443172,320131983515.357
56,Belgium,BEL,2019,10,0.7936047113869347,0.7239787397301862,0.27603131046156193,0.1509299133577105,0.17936336522669658,309774394127.249
56,Belgium,BEL,2020,10,0.8054266861404238,0.745902123076788,0.2699732198347356,0.15471033895732522,0.1886498867493254,293077915893.549
56,Belgium,BEL,2021,10,0.7917458797774407,0.8062779817449186,0.31573634089730873,0.1631991677555229,0.2121877910902037,383443183527.352
56,Belgium,BEL,2022,10,0.8163389255080172,0.7779693164614645,0.26151716261222396,0.15476282526555632,0.22023081214705337,452339438604.861
56,Belgium,BEL,2023,10,0.8014715225317595,,,,0.0,394621317700.872
56,Belgium,BEL,2024,10,0.8047870711253159,,,,0.0,361569942857.322
76,Brazil,BRA,1989,10,0.8495572436688192,,,,0.0,34076770082.0
76,Brazil,BRA,1990,10,0.8460244309120878,,,,0.0,31032139581.0
76,Brazil,BRA,1991,10,0.8504797599150483,,,,0.0,31279113947.0
76,Brazil,BRA,1992,10,0.8383818684346721,,,,0.0,35678934295.0
76,Brazil,BRA,1993,10,0.819014043774564,,,,0.0,38490394483.0
76,Brazil,BRA,1994,10,0.8211633278156524,,,,0.0,43115037245.0
76,Brazil,BRA,1995,10,0.8378621595333391,0.7920286424774102,0.3037492375355226,0.1658189707090322,0.03347820276849148,45884822282.0
76,Brazil,BRA,1996,10,0.8371420624150454,0.7938876901553883,0.3033825197597048,0.15477970999174862,0.03453139604519074,47108480979.0
76,Brazil,BRA,1997,10,0.8359762768405201,0.7852759078803784,0.33899011537613205,0.18003176912785523,0.036316420060531165,52178860284.0
76,Brazil,BRA,1998,10,0.823999431066997,0.7705979853936349,0.35615263546927317,0.19728301671482093,0.035013598305983815,50491372192.0
76,Brazil,BRA,1999,10,0.7930001037225533,0.7855210105903815,0.3774092399828233,0.20917463630185426,0.04228712068775761,47187654432.0
76,Brazil,BRA,2000,10,0.7723133408057178,0.7861605086112908,0.3731347032523363,0.20694183486644807,0.042336611759681765,53919704538.0
76,Brazil,BRA,2001,10,0.776437924609603,0.7958043050758142,0.38784142873625227,0.2269052578076763,0.05338074549437036,56846599835.0
76,Brazil,BRA,2002,10,0.7632748209330136,0.7994330362677295,0.335437685005514,0.17900808088443443,0.04554966934433295,58786774220.0
76,Brazil,BRA,2003,10,0.7646087431913853,0.8060126366282282,0.3175525421120251,0.16798905748330376,0.03341428650092805,70941347943.0
76,Brazil,BRA,2004,10,0.7769587839279161,0.8028342277033685,0.3351518774391635,0.18685139760429237,0.03404473200895947,93642905203.0
76,Brazil,BRA,2005,10,0.7688757250022997,0.7866832503422078,0.33321818135199655,0.19411210853187794,0.031893489828942606,116410078155.0
76,Brazil,BRA,2006,10,0.7683136504838638,0.7921076261344268,0.3253336625621475,0.18494925254332448,0.0340966809266095,134958533864.0
76,Brazil,BRA,2007,10,0.7739524120555311,0.779480437291081,0.35507027793575846,0.20143088929695854,0.036310384915042224,156407606865.0
