model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,turning_point_log_income_pc,turning_point_ppp_constant_2021_intl_usd
quadratic_controls_year_fe_two_way_cluster,rd2_balanced_2000_2024,Exports,product,world_relative_product_gini,world_relative_product_gini,log_income_pc,0.04614995108218525,0.10714453598572243,0.4307261276331905,0.6705111981798498,-0.174985502625049,0.26728540478941953,1375,25,0.6990540595062571,ok,1375,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",3.3569145847691964,28.700501163879572
quadratic_controls_year_fe_two_way_cluster,rd2_balanced_2000_2024,Exports,product,world_relative_product_gini,world_relative_product_gini,log_income_pc_sq,-0.006873864365148611,0.005809882661816562,-1.18313307948966,0.24834424484135123,-0.01886487283409939,0.005117144103802169,1375,25,0.6990540595062571,ok,1375,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",3.3569145847691964,28.700501163879572
quadratic_controls_year_fe_two_way_cluster,rd2_balanced_2000_2024,Exports,product,world_relative_product_gini,world_relative_product_gini,log_population,-0.04826726671826501,0.005557954013430832,-8.684358776921659,7.162800543444596e-09,-0.059738320012179595,-0.03679621342435043,1375,25,0.6990540595062571,ok,1375,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",3.3569145847691964,28.700501163879572
quadratic_controls_year_fe_two_way_cluster,rd2_balanced_2000_2024,Exports,product,world_relative_product_gini,world_relative_product_gini,oil_export_share,0.09699078353787262,0.048169004504126825,2.013551754626007,0.055400542234145436,-0.0024251555732484054,0.19640672264899364,1375,25,0.6990540595062571,ok,1375,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",3.3569145847691964,28.700501163879572
quadratic_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,log_active_product_count,log_active_product_count,log_income_pc,1.6275889021211802,0.6829438221438794,2.3831958784133893,0.020710359445652037,0.25836897810892845,2.996808826133432,1375,55,0.5499620496886364,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",12.240095319530036,206921.6130330592
quadratic_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,log_active_product_count,log_active_product_count,log_income_pc_sq,-0.06648595699758293,0.03547328540201858,-1.8742542802026338,0.06630933447509635,-0.13760561218407374,0.004633698188907867,1375,55,0.5499620496886364,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",12.240095319530036,206921.6130330592
quadratic_controls_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,log_active_product_count,log_active_product_count,log_income_pc,1.0171380784856006,0.5658248569866853,1.79761999835496,0.07782922615651006,-0.11727245802897412,2.1515486150001752,1375,55,0.7514496817495679,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",15.83838710554904,7560040.502002029
quadratic_controls_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,log_active_product_count,log_active_product_count,log_income_pc_sq,-0.03210990082851436,0.028733371205282576,-1.1175124770117826,0.26872261440253237,-0.0897168416378045,0.02549703998077578,1375,55,0.7514496817495679,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",15.83838710554904,7560040.502002029
quadratic_controls_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,log_active_product_count,log_active_product_count,log_population,0.15730669781351905,0.02386255285953526,6.592199029981853,1.8906364947215902e-08,0.10946515982214411,0.205148235804894,1375,55,0.7514496817495679,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",15.83838710554904,7560040.502002029
quadratic_controls_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,log_active_product_count,log_active_product_count,oil_export_share,-0.41921097196079427,0.2364038876570418,-1.773282902051747,0.08182129695121598,-0.8931722299715336,0.05475028604994503,1375,55,0.7514496817495679,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",15.83838710554904,7560040.502002029
quadratic_controls_year_fe_two_way_cluster,rd2_balanced_2000_2024,Exports,product,log_active_product_count,log_active_product_count,log_income_pc,1.0171380784856006,0.5516444887878615,1.8438289499104332,0.0775898483715518,-0.12140018845369194,2.155676345424893,1375,25,0.7514496817495679,ok,1375,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",15.83838710554904,7560040.502002029
quadratic_controls_year_fe_two_way_cluster,rd2_balanced_2000_2024,Exports,product,log_active_product_count,log_active_product_count,log_income_pc_sq,-0.03210990082851436,0.028008350936041593,-1.146440249261331,0.26291508970627475,-0.08991629603898343,0.025696494381954718,1375,25,0.7514496817495679,ok,1375,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",15.83838710554904,7560040.502002029
quadratic_controls_year_fe_two_way_cluster,rd2_balanced_2000_2024,Exports,product,log_active_product_count,log_active_product_count,log_population,0.15730669781351905,0.02366690512360045,6.646694909705539,7.105858121851414e-07,0.10846060637073324,0.20615278925630487,1375,25,0.7514496817495679,ok,1375,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",15.83838710554904,7560040.502002029
quadratic_controls_year_fe_two_way_cluster,rd2_balanced_2000_2024,Exports,product,log_active_product_count,log_active_product_count,oil_export_share,-0.41921097196079427,0.23047712066176373,-1.8188832399377575,0.08142996014575832,-0.8948923697827762,0.05647042586118772,1375,25,0.7514496817495679,ok,1375,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",15.83838710554904,7560040.502002029
quadratic_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,top_product_1pct_share,product_top_1pct_share,log_income_pc,-0.3504299843432122,0.20398293984981927,-1.7179377089143502,0.0915378512764937,-0.7593911555918251,0.058531186905400656,1375,55,0.24562742315548014,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",11.965475425971153,157231.64235561673
quadratic_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,top_product_1pct_share,product_top_1pct_share,log_income_pc_sq,0.014643379049636479,0.011205298879796377,1.3068262798450745,0.1968098045714464,-0.007821892592424112,0.03710865069169707,1375,55,0.24562742315548014,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",11.965475425971153,157231.64235561673
quadratic_controls_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,top_product_1pct_share,product_top_1pct_share,log_income_pc,-0.14614922066305705,0.15141447879089284,-0.965226191247488,0.33873447246540656,-0.449716973122708,0.15741853179659385,1375,55,0.5531651768225406,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",21.69839709628839,2651515224.2856917
quadratic_controls_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,top_product_1pct_share,product_top_1pct_share,log_income_pc_sq,0.0033677423271061932,0.008243750495779014,0.40852065195696463,0.6845070034639955,-0.013159982298871178,0.019895466953083564,1375,55,0.5531651768225406,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",21.69839709628839,2651515224.2856917
quadratic_controls_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,top_product_1pct_share,product_top_1pct_share,log_population,-0.04451367372093312,0.007193254259959701,-6.188252508841875,8.497655539005036e-08,-0.058935280201396836,-0.03009206724046941,1375,55,0.5531651768225406,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",21.69839709628839,2651515224.2856917
quadratic_controls_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,top_product_1pct_share,product_top_1pct_share,oil_export_share,0.40138842951576853,0.05255467012270413,7.637540652022185,3.803215960254057e-10,0.29602265988920334,0.5067541991423337,1375,55,0.5531651768225406,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",21.69839709628839,2651515224.2856917
quadratic_controls_year_fe_two_way_cluster,rd2_balanced_2000_2024,Exports,product,top_product_1pct_share,product_top_1pct_share,log_income_pc,-0.14614922066305705,0.14728589464990235,-0.992282533303361,0.3309593285821659,-0.45013236677908675,0.15783392545297267,1375,25,0.5531651768225406,ok,1375,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",21.69839709628839,2651515224.2856917
quadratic_controls_year_fe_two_way_cluster,rd2_balanced_2000_2024,Exports,product,top_product_1pct_share,product_top_1pct_share,log_income_pc_sq,0.0033677423271061932,0.008027203902776841,0.4195411463188563,0.6785524164909531,-0.013199592261729766,0.01993507691594215,1375,25,0.5531651768225406,ok,1375,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",21.69839709628839,2651515224.2856917
quadratic_controls_year_fe_two_way_cluster,rd2_balanced_2000_2024,Exports,product,top_product_1pct_share,product_top_1pct_share,log_population,-0.04451367372093312,0.007041411222381193,-6.321697784024598,1.5531626095313777e-06,-0.059046432214637075,-0.02998091522722917,1375,25,0.5531651768225406,ok,1375,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",21.69839709628839,2651515224.2856917
quadratic_controls_year_fe_two_way_cluster,rd2_balanced_2000_2024,Exports,product,top_product_1pct_share,product_top_1pct_share,oil_export_share,0.40138842951576853,0.05175607432227573,7.755387841365155,5.443904873291578e-08,0.2945691421665107,0.5082077168650263,1375,25,0.5531651768225406,ok,1375,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",21.69839709628839,2651515224.2856917
quadratic_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,top_product_partner_cell_1pct_share,product_partner_cell_top_1pct_share,log_income_pc,-0.18585445913986753,0.14600742820730817,-1.2729109841999455,0.20850272444835768,-0.47858172787430436,0.1068728095945693,1375,55,0.12398536803271898,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",10.926075687431979,55607.62924332933
quadratic_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,top_product_partner_cell_1pct_share,product_partner_cell_top_1pct_share,log_income_pc_sq,0.008505087483223815,0.007910643591982387,1.0751448203081617,0.2870903906296856,-0.007354798010579247,0.024364972977026875,1375,55,0.12398536803271898,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",10.926075687431979,55607.62924332933
quadratic_controls_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,top_product_partner_cell_1pct_share,product_partner_cell_top_1pct_share,log_income_pc,-0.12315373889073,0.12365037511939511,-0.9959835445045309,0.3237003761017394,-0.3710578149442891,0.12475033716282907,1375,55,0.3096043321809212,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",11.890793392173975,145917.02134586198
quadratic_controls_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,top_product_partner_cell_1pct_share,product_partner_cell_top_1pct_share,log_income_pc_sq,0.005178533291638246,0.006675654734877054,0.7757341410398181,0.44129020835273436,-0.008205348621411293,0.018562415204687786,1375,55,0.3096043321809212,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",11.890793392173975,145917.02134586198
quadratic_controls_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,top_product_partner_cell_1pct_share,product_partner_cell_top_1pct_share,log_population,-0.008873396103675858,0.005963220847372341,-1.488020707397726,0.14256222076840686,-0.020828934071463898,0.003082141864112181,1375,55,0.3096043321809212,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",11.890793392173975,145917.02134586198
quadratic_controls_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,top_product_partner_cell_1pct_share,product_partner_cell_top_1pct_share,oil_export_share,0.27706648439859594,0.0403471017083901,6.867072792516854,6.772577108427953e-09,0.19617541584502768,0.3579575529521642,1375,55,0.3096043321809212,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",11.890793392173975,145917.02134586198
quadratic_controls_year_fe_two_way_cluster,rd2_balanced_2000_2024,Exports,product,top_product_partner_cell_1pct_share,product_partner_cell_top_1pct_share,log_income_pc,-0.12315373889073,0.1203444966741365,-1.0233433376201675,0.31635044747439844,-0.3715325724763285,0.12522509469486848,1375,25,0.3096043321809212,ok,1375,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",11.890793392173975,145917.02134586198
quadratic_controls_year_fe_two_way_cluster,rd2_balanced_2000_2024,Exports,product,top_product_partner_cell_1pct_share,product_partner_cell_top_1pct_share,log_income_pc_sq,0.005178533291638246,0.006504308922019696,0.7961696398070566,0.43373857962841467,-0.008245700536902508,0.018602767120178998,1375,25,0.3096043321809212,ok,1375,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",11.890793392173975,145917.02134586198
quadratic_controls_year_fe_two_way_cluster,rd2_balanced_2000_2024,Exports,product,top_product_partner_cell_1pct_share,product_partner_cell_top_1pct_share,log_population,-0.008873396103675858,0.0058890277614083815,-1.5067675791621256,0.1449207450723141,-0.0210277520298341,0.0032809598224823842,1375,25,0.3096043321809212,ok,1375,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",11.890793392173975,145917.02134586198
quadratic_controls_year_fe_two_way_cluster,rd2_balanced_2000_2024,Exports,product,top_product_partner_cell_1pct_share,product_partner_cell_top_1pct_share,oil_export_share,0.27706648439859594,0.03935830434512707,7.039594032533553,2.808207441981463e-07,0.1958349366725703,0.3582980321246216,1375,25,0.3096043321809212,ok,1375,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",11.890793392173975,145917.02134586198
