outcome_slug,flow,outcome_label,estimator,model_label,income_form,income_label,linear_term,linear_coefficient,linear_std_error,linear_p_value,quadratic_term,quadratic_coefficient,quadratic_std_error,quadratic_p_value,turning_point_ppp_constant_2021_intl_usd,turning_point_inside_minmax,turning_point_inside_p05_p95,income_min,income_p05,income_p95,income_max,nobs,clusters,r_squared,expected_shape,verdict
export_product_theil,Exports,Export Product Theil,country_year_fe,log_ppp_controls_country_year_fe_country_cluster,log_ppp,log PPP GDPpc,log_gdp_pc_ppp_constant_2021_intl_usd,-1.71098894375282,0.9860350406018814,0.08500068859476682,log_gdp_pc_ppp_constant_2021_intl_usd_sq,0.09029575288702466,0.05167919393662114,0.08288735058670847,13021.537915818324,True,True,795.772138310178,2252.6688962301046,74162.49564974211,174569.523171267,3240,135,0.9475624597054297,concentration_u,no clean hump
export_product_theil,Exports,Export Product Theil,between_country,log_ppp_controls_between_country,log_ppp,log PPP GDPpc,log_gdp_pc_ppp_constant_2021_intl_usd,-3.595474855156628,0.8439625504733737,3.8887765410359336e-05,log_gdp_pc_ppp_constant_2021_intl_usd_sq,0.14702186328060876,0.043810684568171936,0.0010376274919574105,204370.06805703448,False,False,795.772138310178,2252.6688962301046,74162.49564974211,174569.523171267,135,0,0.7628779234786132,concentration_u,outside-support artifact
export_product_hhi,Exports,Export Product HHI,pooled_year_fe,level_ppp_controls_year_fe_country_cluster,level_ppp,PPP GDPpc level,gdp_pc_ppp_constant_2021_intl_usd_10k,-0.04037856058171997,0.008274709562476749,2.967958549507475e-06,gdp_pc_ppp_constant_2021_intl_usd_10k_sq,0.0025562209769855477,0.0007083352104590314,0.0004333327276719731,78980.9663273651,True,False,795.772138310178,2252.6688962301046,74162.49564974211,174569.523171267,3240,135,0.43105880434392907,concentration_u,"statistical bend, edge turning point"
export_product_hhi,Exports,Export Product HHI,country_year_fe,level_ppp_controls_country_year_fe_country_cluster,level_ppp,PPP GDPpc level,gdp_pc_ppp_constant_2021_intl_usd_10k,0.04083637774115772,0.01695921570866108,0.017405041832587648,gdp_pc_ppp_constant_2021_intl_usd_10k_sq,-0.0016596291656697723,0.0007453285612773682,0.02763617014649311,123028.6216519866,True,False,795.772138310178,2252.6688962301046,74162.49564974211,174569.523171267,3240,135,0.829364718849866,concentration_u,no concentration U-shape
export_product_hhi,Exports,Export Product HHI,between_country,level_ppp_controls_between_country,level_ppp,PPP GDPpc level,gdp_pc_ppp_constant_2021_intl_usd_10k,-0.04575433666360845,0.009926058182421144,9.520261923306901e-06,gdp_pc_ppp_constant_2021_intl_usd_10k_sq,0.003063605303246491,0.0009007240176571981,0.0008915307299529443,74674.00682314193,True,False,795.772138310178,2252.6688962301046,74162.49564974211,174569.523171267,135,0,0.5223335100231721,concentration_u,"statistical bend, edge turning point"
export_product_hhi,Exports,Export Product HHI,pooled_year_fe,log_ppp_controls_year_fe_country_cluster,log_ppp,log PPP GDPpc,log_gdp_pc_ppp_constant_2021_intl_usd,-0.29291135180221256,0.1010382555706663,0.004375411307525973,log_gdp_pc_ppp_constant_2021_intl_usd_sq,0.012672214083186722,0.005194259119229575,0.01600865677974082,104529.92457219672,True,False,795.772138310178,2252.6688962301046,74162.49564974211,174569.523171267,3240,135,0.4710916122461274,concentration_u,"statistical bend, edge turning point"
export_product_hhi,Exports,Export Product HHI,country_year_fe,log_ppp_controls_country_year_fe_country_cluster,log_ppp,log PPP GDPpc,log_gdp_pc_ppp_constant_2021_intl_usd,-0.06588143914898091,0.16123681987923186,0.683485129231732,log_gdp_pc_ppp_constant_2021_intl_usd_sq,0.0072131916785881725,0.008730007400060106,0.4101295350492026,96.22920282796153,False,False,795.772138310178,2252.6688962301046,74162.49564974211,174569.523171267,3240,135,0.8300164442898244,concentration_u,outside-support artifact
export_product_hhi,Exports,Export Product HHI,between_country,log_ppp_controls_between_country,log_ppp,log PPP GDPpc,log_gdp_pc_ppp_constant_2021_intl_usd,-0.3239431533835782,0.11506272132506003,0.0056313880197007985,log_gdp_pc_ppp_constant_2021_intl_usd_sq,0.014124979614881733,0.0059152923960722565,0.01838490614577302,95514.25938142411,True,False,795.772138310178,2252.6688962301046,74162.49564974211,174569.523171267,135,0,0.5750219452728471,concentration_u,"statistical bend, edge turning point"
export_active_product_count,Exports,Export Active HS6 Product Count,pooled_year_fe,level_ppp_controls_year_fe_country_cluster,level_ppp,PPP GDPpc level,gdp_pc_ppp_constant_2021_intl_usd_10k,800.7262773339795,69.3974699717012,8.148532286743885e-22,gdp_pc_ppp_constant_2021_intl_usd_10k_sq,-51.19874535389145,7.685776384263227,6.413167120735775e-10,78197.84174390115,True,False,795.772138310178,2252.6688962301046,74162.49564974211,174569.523171267,3240,135,0.7334317141297393,active_inverted_u,"statistical active-line bend, edge peak"
export_active_product_count,Exports,Export Active HS6 Product Count,country_year_fe,level_ppp_controls_country_year_fe_country_cluster,level_ppp,PPP GDPpc level,gdp_pc_ppp_constant_2021_intl_usd_10k,234.08759271565788,79.33146365261068,0.003742927253762985,gdp_pc_ppp_constant_2021_intl_usd_10k_sq,-12.278735062423834,3.909579681204071,0.002074444085457859,95322.35671084216,True,False,795.772138310178,2252.6688962301046,74162.49564974211,174569.523171267,3240,135,0.9649635041268577,active_inverted_u,"statistical active-line bend, edge peak"
